game_started,game_count,games,minutes,gk_saves,clearances,tackles,assisted_shots,fouled,shots,crosses,shots_on_target,passes,interceptions,fouls,goals,assists,cards_yellow,dayofweek,comp,round,venue,result,team,opponent,position,pens_made,pens_att,cards_red,touches,blocks,xg,npxg,xg_assist,sca,gca,passes_completed,passes_pct,progressive_passes,carries,progressive_carries,take_ons,take_ons_won,match_report
N,1,0,31,0,0,0,0,0,0,0,0,9,1,0,0,0,0,Sat,Premier League,Matchweek 1,Home,D 1-1,Bournemouth,West Ham,LW,0,0,0,18,2,0.0,0.0,0.0,0,0,6,66.7,1,13,0,0,0,Match Report
N,2,0,28,0,0,0,0,0,1,0,1,8,1,0,0,0,0,Sat,Premier League,Matchweek 2,Away,L 1-3,Bournemouth,Liverpool,LW,0,0,0,14,0,0.2,0.2,0.1,3,0,7,87.5,2,8,2,1,1,Match Report
Y,3,0,59,0,0,1,0,0,1,0,0,21,0,0,0,0,0,Sat,Premier League,Matchweek 3,Home,L 0-2,Bournemouth,Tottenham,LW,0,0,0,28,0,0.0,0.0,0.0,2,0,14,66.7,3,20,2,2,2,Match Report
Y,4,0,70,0,0,2,0,0,1,0,0,15,0,0,0,0,0,Sat,Premier League,Matchweek 4,Away,D 2-2,Bournemouth,Brentford,LW,0,0,0,25,0,0.1,0.1,0.0,0,0,10,66.7,3,17,1,4,0,Match Report
N,5,0,28,0,0,0,0,0,1,0,0,10,1,0,0,0,0,Sun,Premier League,Matchweek 5,Home,D 0-0,Bournemouth,Chelsea,"RW,LW",0,0,0,14,0,0.0,0.0,0.1,3,0,8,80.0,2,13,3,0,0,Match Report
Y,6,0,63,0,0,1,0,0,0,0,0,14,1,0,0,0,0,Sun,Premier League,Matchweek 6,Away,L 1-3,Bournemouth,Brighton,LW,0,0,0,22,1,0.0,0.0,0.0,1,0,9,64.3,1,15,2,3,2,Match Report
Y,7,0,58,0,0,0,0,0,0,0,0,7,0,0,0,0,0,Sat,Premier League,Matchweek 7,Home,L 0-4,Bournemouth,Arsenal,LW,0,0,0,11,0,0.0,0.0,0.0,1,0,5,71.4,1,9,0,3,1,Match Report
N,8,0,6,0,0,0,0,0,0,0,0,4,0,0,0,0,0,Sat,Premier League,Matchweek 11,Away,L 1-6,Bournemouth,Manchester City,FW,0,0,0,5,0,0.0,0.0,0.0,0,0,3,75.0,1,1,0,0,0,Match Report
Y,9,0,67,0,0,1,0,0,1,0,1,14,0,0,0,0,0,Sat,Premier League,Matchweek 12,Home,W 2-0,Bournemouth,Newcastle Utd,AM,0,0,0,21,0,0.0,0.0,0.0,3,0,11,78.6,1,12,1,4,2,Match Report
Y,10,0,65,0,0,1,0,0,4,0,3,16,0,0,1,0,0,Sat,Premier League,Matchweek 13,Away,W 3-1,Bournemouth,Sheffield Utd,AM,0,0,0,24,0,0.4,0.4,0.1,4,1,10,62.5,0,13,2,3,2,Match Report
Y,11,0,69,0,0,3,0,0,2,0,0,11,0,0,0,0,1,Sun,Premier League,Matchweek 14,Home,D 2-2,Bournemouth,Aston Villa,AM,0,0,0,23,0,0.0,0.0,0.1,2,0,8,72.7,1,12,1,5,2,Match Report
Y,12,0,61,0,0,1,0,0,1,0,0,10,0,0,0,0,0,Wed,Premier League,Matchweek 15,Away,W 2-0,Bournemouth,Crystal Palace,AM,0,0,0,17,1,0.1,0.1,0.0,2,0,7,70.0,0,14,2,3,0,Match Report
Y,13,0,71,0,0,3,0,0,0,0,0,17,0,0,0,0,0,Sat,Premier League,Matchweek 16,Away,W 3-0,Bournemouth,Manchester Utd,"AM,RW",0,0,0,28,1,0.0,0.0,0.0,0,0,10,58.8,0,7,1,1,0,Match Report
Y,14,0,72,0,0,1,0,0,2,0,1,17,0,0,1,0,0,Tue,Premier League,Matchweek 19,Home,W 3-0,Bournemouth,Fulham,AM,0,0,0,29,1,0.3,0.3,0.2,3,0,12,70.6,3,22,1,1,0,Match Report
Y,15,0,60,0,0,2,0,0,3,0,0,26,0,0,0,0,1,Sun,Premier League,Matchweek 20,Away,L 1-3,Bournemouth,Tottenham,AM,0,0,0,35,0,0.3,0.3,0.3,1,0,17,65.4,4,22,4,2,0,Match Report
Y,16,0,68,0,0,1,0,0,3,0,0,11,1,0,0,0,0,Sun,Premier League,Matchweek 21,Home,L 0-4,Bournemouth,Liverpool,"AM,LW",0,0,0,25,0,0.3,0.3,0.0,2,0,8,72.7,2,13,2,4,2,Match Report
N,17,0,23,0,0,0,0,0,0,0,0,11,0,0,0,0,0,Thu,Premier League,Matchweek 22,Away,D 1-1,Bournemouth,West Ham,"AM,RW",0,0,0,15,0,0.0,0.0,0.1,1,0,5,45.5,1,8,4,1,0,Match Report
Y,18,0,55,0,0,1,0,0,3,0,1,9,0,0,1,0,1,Sun,Premier League,Matchweek 23,Home,D 1-1,Bournemouth,Nott'ham Forest,AM,0,0,0,20,1,1.0,1.0,0.0,1,0,5,55.6,0,10,0,2,0,Match Report
Y,19,0,70,0,0,2,0,0,2,0,0,7,0,0,0,0,0,Sat,Premier League,Matchweek 25,Away,D 2-2,Bournemouth,Newcastle Utd,AM,0,0,0,17,1,0.0,0.0,0.4,1,0,2,28.6,2,8,2,3,1,Match Report
Y,20,0,67,0,0,1,0,0,1,0,1,8,0,0,0,0,0,Sat,Premier League,Matchweek 26,Home,L 0-1,Bournemouth,Manchester City,AM,0,0,0,19,0,0.0,0.0,0.0,1,0,5,62.5,1,11,1,2,1,Match Report
Y,21,0,72,0,0,0,0,0,2,0,1,8,0,0,1,0,1,Sun,Premier League,Matchweek 27,Away,W 2-0,Bournemouth,Burnley,AM,0,0,0,14,1,0.5,0.5,0.2,4,1,6,75.0,2,7,3,1,1,Match Report
Y,22,0,61,0,0,0,0,0,2,0,1,19,0,0,0,0,0,Sat,Premier League,Matchweek 28,Home,D 2-2,Bournemouth,Sheffield Utd,AM,0,0,0,27,1,0.2,0.2,0.0,2,0,13,68.4,1,15,4,0,0,Match Report
Y,23,0,73,0,0,1,0,0,2,0,1,13,0,0,0,0,0,Sat,Premier League,Matchweek 30,Home,W 2-1,Bournemouth,Everton,AM,0,0,0,23,1,0.2,0.2,0.1,3,0,11,84.6,2,13,3,2,0,Match Report
N,24,0,28,0,0,0,0,0,2,0,2,5,0,0,1,0,0,Tue,Premier League,Matchweek 31,Home,W 1-0,Bournemouth,Crystal Palace,AM,0,0,0,12,0,0.4,0.4,0.0,0,0,3,60.0,1,5,0,2,0,Match Report
Y,25,0,67,0,0,1,0,0,3,0,0,18,0,0,0,1,0,Sat,Premier League,Matchweek 32,Away,L 1-2,Bournemouth,Luton Town,AM,0,0,0,27,1,0.2,0.2,0.0,1,1,11,61.1,1,16,2,1,1,Match Report
Y,26,0,75,0,0,0,0,0,5,0,2,24,1,0,1,0,0,Sat,Premier League,Matchweek 33,Home,D 2-2,Bournemouth,Manchester Utd,AM,0,0,0,35,0,0.4,0.4,0.0,2,0,18,75.0,5,21,3,4,2,Match Report
Y,27,0,75,0,0,0,0,0,2,0,1,11,0,0,0,0,0,Sun,Premier League,Matchweek 34,Away,L 1-3,Bournemouth,Aston Villa,"AM,RW",0,0,0,19,0,0.1,0.1,0.0,2,1,7,63.6,1,13,4,2,1,Match Report
Y,28,0,73,0,0,1,0,0,4,0,2,14,0,0,0,0,0,Wed,Premier League,Matchweek 29,Away,W 1-0,Bournemouth,Wolves,LW,0,0,0,26,0,0.8,0.8,0.1,2,0,11,78.6,1,14,4,1,0,Match Report
Y,29,0,89,0,0,0,0,0,3,0,2,23,0,0,1,0,1,Sun,Premier League,Matchweek 35,Home,W 3-0,Bournemouth,Brighton,"LM,LW",0,0,0,34,2,0.4,0.4,0.0,5,1,13,56.5,1,18,5,5,1,Match Report
Y,30,0,88,0,0,3,0,0,3,0,0,16,1,0,0,0,0,Sat,Premier League,Matchweek 36,Away,L 0-3,Bournemouth,Arsenal,"LW,LM",0,0,0,28,1,0.1,0.1,0.0,4,0,12,75.0,2,20,2,3,2,Match Report
Y,31,0,66,0,0,0,0,0,0,0,0,18,1,0,0,0,0,Sat,Premier League,Matchweek 37,Home,L 1-2,Bournemouth,Brentford,AM,0,0,0,23,1,0.0,0.0,0.1,2,0,14,77.8,4,14,4,0,0,Match Report
Y,32,0,58,0,0,1,0,0,2,0,0,7,0,0,0,0,0,Sun,Premier League,Matchweek 38,Away,L 1-2,Bournemouth,Chelsea,AM,0,0,0,16,0,0.1,0.1,0.0,1,0,7,100.0,0,10,0,2,0,Match Report
