game_started,game_count,games,minutes,gk_saves,clearances,tackles,assisted_shots,fouled,shots,crosses,shots_on_target,passes,interceptions,fouls,goals,assists,cards_yellow,dayofweek,comp,round,venue,result,team,opponent,position,pens_made,pens_att,cards_red,touches,blocks,xg,npxg,xg_assist,sca,gca,passes_completed,passes_pct,progressive_passes,carries,progressive_carries,take_ons,take_ons_won,match_report
N,1,0,20,0,0,0,0,0,1,0,1,2,0,0,0,0,0,Sat,Premier League,Matchweek 2,Away,W 3-0,Brentford,Fulham,"LM,LW",0,0,0,3,0,0.3,0.3,0.0,0,0,2,100.0,0,2,2,0,0,Match Report
N,2,0,11,0,0,0,0,0,0,0,0,4,0,0,0,0,0,Sat,Premier League,Matchweek 3,Home,D 1-1,Brentford,Crystal Palace,LW,0,0,0,7,0,0.0,0.0,0.0,0,0,1,25.0,0,5,1,1,0,Match Report
N,3,0,20,0,0,0,0,0,2,0,0,7,0,0,0,0,0,Sat,Premier League,Matchweek 4,Home,D 2-2,Brentford,Bournemouth,"FW,LW",0,0,0,11,0,0.5,0.5,0.0,0,0,7,100.0,0,8,0,2,1,Match Report
N,4,0,9,0,0,0,0,0,1,0,0,5,0,0,0,0,0,Sat,Premier League,Matchweek 5,Away,L 0-1,Brentford,Newcastle Utd,LB,0,0,0,6,0,0.0,0.0,0.1,3,0,3,60.0,1,5,1,1,1,Match Report
Y,5,0,88,0,0,1,0,0,1,0,0,13,0,0,0,0,0,Sat,Premier League,Matchweek 6,Home,L 1-3,Brentford,Everton,"LW,FW",0,0,0,17,0,0.2,0.2,0.0,1,0,10,76.9,2,13,4,3,1,Match Report
Y,6,0,74,0,0,1,0,0,1,0,0,35,1,0,0,0,0,Sun,Premier League,Matchweek 7,Away,D 1-1,Brentford,Nott'ham Forest,LW,0,0,0,46,0,0.0,0.0,0.0,0,0,26,74.3,3,36,4,5,2,Match Report
N,7,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,Sat,Premier League,Matchweek 13,Home,L 0-1,Brentford,Arsenal,"LW,CM",0,0,0,3,0,0.0,0.0,0.0,0,0,0,0.0,0,1,0,0,0,Match Report
N,8,0,13,0,0,0,0,0,5,0,1,4,0,0,0,0,0,Sat,Premier League,Matchweek 14,Home,W 3-1,Brentford,Luton Town,RW,0,0,0,13,1,0.5,0.5,0.0,4,1,4,100.0,0,3,2,1,1,Match Report
N,9,0,45,0,0,0,0,0,2,0,0,9,1,0,0,0,0,Wed,Premier League,Matchweek 15,Away,L 1-2,Brentford,Brighton,CM,0,0,0,13,0,0.0,0.0,0.0,1,0,5,55.6,0,5,0,0,0,Match Report
Y,10,0,65,0,0,0,0,0,0,0,0,19,0,0,0,0,0,Sat,Premier League,Matchweek 16,Away,L 0-1,Brentford,Sheffield Utd,RW,0,0,0,23,0,0.0,0.0,0.1,1,0,9,47.4,3,20,2,2,0,Match Report
