game_started,game_count,dayofweek,comp,round,venue,result,team,opponent,position,minutes,goals,assists,pens_made,pens_att,shots,shots_on_target,cards_yellow,cards_red,touches,tackles,interceptions,blocks,xg,npxg,xg_assist,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,take_ons,take_ons_won,match_report
Y,1,Fri,Premier League,Matchweek 1,Away,W 3-0,Manchester City,Burnley,DM,22,0,0,0,0,1,0,0,0,12,0,0,0,0.0,0.0,0.2,2,1,6,10,60.0,1,5,0,0,0,Match Report
N,2,Sat,Premier League,Matchweek 21,Away,W 3-2,Manchester City,Newcastle Utd,AM,22,1,1,0,0,2,1,0,0,35,0,0,0,0.2,0.2,1.1,2,0,19,32,59.4,3,18,1,0,0,Match Report
Y,3,Wed,Premier League,Matchweek 22,Home,W 3-1,Manchester City,Burnley,AM,70,0,1,0,0,3,0,0,0,69,2,0,0,0.1,0.1,0.4,5,3,50,60,83.3,6,24,2,4,1,Match Report
Y,4,Mon,Premier League,Matchweek 23,Away,W 3-1,Manchester City,Brentford,CM,90,0,1,0,0,3,2,0,0,121,1,0,0,0.1,0.1,0.4,8,1,79,106,74.5,8,81,2,4,1,Match Report
N,5,Sat,Premier League,Matchweek 24,Home,W 2-0,Manchester City,Everton,CM,34,0,1,0,0,1,0,0,0,33,1,0,0,0.2,0.2,0.5,3,1,21,29,72.4,1,23,2,1,0,Match Report
Y,6,Sat,Premier League,Matchweek 25,Home,D 1-1,Manchester City,Chelsea,CM,90,0,0,0,0,1,0,0,0,96,0,0,0,0.1,0.1,0.7,12,0,64,91,70.3,13,42,5,2,1,Match Report
N,7,Sat,Premier League,Matchweek 26,Away,W 1-0,Manchester City,Bournemouth,CM,7,0,0,0,0,0,0,1,0,10,0,0,0,0.0,0.0,0.0,0,0,7,9,77.8,1,8,1,0,0,Match Report
Y,8,Sun,Premier League,Matchweek 27,Home,W 3-1,Manchester City,Manchester Utd,CM,90,0,0,0,0,5,0,0,0,105,0,1,1,0.3,0.3,0.8,8,1,67,91,73.6,14,70,8,5,3,Match Report
Y,9,Sun,Premier League,Matchweek 28,Away,D 1-1,Manchester City,Liverpool,CM,68,0,1,0,0,2,1,0,0,33,0,1,1,0.1,0.1,1.2,5,1,19,29,65.5,5,22,3,0,0,Match Report
Y,10,Sun,Premier League,Matchweek 30,Home,D 0-0,Manchester City,Arsenal,CM,90,0,0,0,0,0,0,0,0,56,2,0,1,0.0,0.0,0.5,4,0,29,53,54.7,4,31,2,2,2,Match Report
Y,11,Sat,Premier League,Matchweek 32,Away,W 4-2,Manchester City,Crystal Palace,CM,89,2,1,0,0,3,2,0,0,94,2,0,1,0.1,0.1,1.0,5,1,63,87,72.4,11,60,0,0,0,Match Report
Y,12,Sat,Premier League,Matchweek 33,Home,W 5-1,Manchester City,Luton Town,AM,80,0,0,0,0,5,3,1,0,76,0,0,0,0.3,0.3,1.1,13,0,61,69,88.4,13,52,6,0,0,Match Report
Y,13,Thu,Premier League,Matchweek 29,Away,W 4-0,Manchester City,Brighton,CM,71,1,0,0,0,3,1,0,0,46,1,0,0,0.1,0.1,0.0,5,0,31,34,91.2,2,30,3,2,0,Match Report
Y,14,Sun,Premier League,Matchweek 35,Away,W 2-0,Manchester City,Nott'ham Forest,"CM,AM",88,0,2,0,0,5,2,0,0,70,0,0,1,0.2,0.2,0.6,3,2,48,60,80.0,7,29,1,3,0,Match Report
Y,15,Sat,Premier League,Matchweek 36,Home,W 5-1,Manchester City,Wolves,AM,78,0,0,0,0,1,0,0,0,54,0,1,0,0.0,0.0,0.1,5,1,38,49,77.6,9,25,5,3,2,Match Report
Y,16,Sat,Premier League,Matchweek 37,Away,W 4-0,Manchester City,Fulham,AM,74,0,1,0,0,2,1,0,0,57,0,0,0,0.1,0.1,1.6,8,2,35,47,74.5,4,31,1,3,0,Match Report
Y,17,Tue,Premier League,Matchweek 34,Away,W 2-0,Manchester City,Tottenham,AM,68,0,1,0,0,1,1,0,0,32,2,1,0,0.2,0.2,0.9,1,1,12,22,54.5,1,13,0,3,0,Match Report
Y,18,Sun,Premier League,Matchweek 38,Home,W 3-1,Manchester City,West Ham,CM,90,0,0,0,0,6,3,0,0,104,3,0,0,0.3,0.3,0.5,11,1,83,93,89.2,8,69,5,1,0,Match Report
