game_started,game_count,dayofweek,comp,round,venue,result,team,opponent,position,minutes,goals,assists,pens_made,pens_att,shots,shots_on_target,cards_yellow,cards_red,touches,tackles,interceptions,blocks,xg,npxg,xg_assist,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,take_ons,take_ons_won,match_report
Y,1,Sun,Premier League,Matchweek 13,Away,W 3-0,Manchester Utd,Everton,DM,71,0,0,0,0,0,0,0,0,57,1,2,1,0.0,0.0,0.0,0,0,38,46,82.6,3,36,0,3,2,Match Report
Y,2,Sat,Premier League,Matchweek 14,Away,L 0-1,Manchester Utd,Newcastle Utd,DM,79,0,0,0,0,0,0,0,0,43,0,0,0,0.0,0.0,0.0,1,0,35,38,92.1,2,30,0,0,0,Match Report
Y,3,Sun,Premier League,Matchweek 17,Away,D 0-0,Manchester Utd,Liverpool,DM,81,0,0,0,0,0,0,1,0,30,2,1,4,0.0,0.0,0.0,1,0,17,19,89.5,2,11,0,1,0,Match Report
Y,4,Sat,Premier League,Matchweek 18,Away,L 0-2,Manchester Utd,West Ham,DM,90,0,0,0,0,1,1,0,0,82,5,1,0,0.0,0.0,0.0,2,0,65,74,87.8,2,51,3,0,0,Match Report
Y,5,Tue,Premier League,Matchweek 19,Home,W 3-2,Manchester Utd,Aston Villa,DM,80,0,0,0,0,0,0,0,0,50,2,1,0,0.0,0.0,0.0,1,1,35,41,85.4,5,27,0,0,0,Match Report
Y,6,Sat,Premier League,Matchweek 20,Away,L 1-2,Manchester Utd,Nott'ham Forest,DM,45,0,0,0,0,0,0,0,0,21,0,0,1,0.0,0.0,0.0,0,0,9,11,81.8,0,3,0,3,0,Match Report
Y,7,Sun,Premier League,Matchweek 21,Home,D 2-2,Manchester Utd,Tottenham,DM,90,0,0,0,0,0,0,0,0,42,1,1,0,0.0,0.0,0.0,0,0,25,34,73.5,2,24,0,3,2,Match Report
Y,8,Thu,Premier League,Matchweek 22,Away,W 4-3,Manchester Utd,Wolves,DM,90,1,0,0,0,2,1,0,0,48,3,2,1,0.1,0.1,0.0,4,3,30,35,85.7,0,35,2,5,2,Match Report
Y,9,Sun,Premier League,Matchweek 23,Home,W 3-0,Manchester Utd,West Ham,DM,63,0,0,0,0,0,0,0,0,34,2,0,0,0.0,0.0,0.0,1,0,25,30,83.3,1,21,0,2,1,Match Report
Y,10,Sun,Premier League,Matchweek 24,Away,W 2-1,Manchester Utd,Aston Villa,DM,89,0,0,0,0,0,0,1,0,50,3,1,2,0.0,0.0,0.3,5,0,34,41,82.9,3,25,1,0,0,Match Report
Y,11,Sun,Premier League,Matchweek 25,Away,W 2-1,Manchester Utd,Luton Town,DM,90,0,0,0,0,0,0,1,0,45,0,1,1,0.0,0.0,0.1,3,0,35,40,87.5,5,24,2,7,6,Match Report
Y,12,Sat,Premier League,Matchweek 26,Home,L 1-2,Manchester Utd,Fulham,DM,79,0,0,0,0,2,0,0,0,41,1,1,1,0.1,0.1,0.0,1,0,27,31,87.1,4,31,0,1,0,Match Report
Y,13,Sun,Premier League,Matchweek 27,Away,L 1-3,Manchester Utd,Manchester City,CM,81,0,0,0,0,0,0,0,0,27,3,1,2,0.0,0.0,0.0,0,0,14,18,77.8,3,13,2,0,0,Match Report
Y,14,Sat,Premier League,Matchweek 28,Home,W 2-0,Manchester Utd,Everton,CM,78,0,0,0,0,0,0,0,0,30,1,1,0,0.0,0.0,0.0,2,0,20,25,80.0,1,19,0,0,0,Match Report
Y,15,Sat,Premier League,Matchweek 30,Away,D 1-1,Manchester Utd,Brentford,DM,79,0,0,0,0,0,0,0,0,54,2,1,1,0.0,0.0,0.0,0,0,37,42,88.1,3,31,0,3,1,Match Report
Y,16,Thu,Premier League,Matchweek 31,Away,L 3-4,Manchester Utd,Chelsea,DM,90,0,0,0,0,1,1,0,0,47,3,3,1,0.0,0.0,0.0,4,0,23,32,71.9,1,29,1,1,0,Match Report
Y,17,Sun,Premier League,Matchweek 32,Home,D 2-2,Manchester Utd,Liverpool,"DM,AM",83,1,0,0,0,1,1,0,0,32,5,1,2,0.1,0.1,0.0,0,0,14,18,77.8,2,22,2,3,2,Match Report
Y,18,Sat,Premier League,Matchweek 33,Away,D 2-2,Manchester Utd,Bournemouth,DM,77,0,0,0,0,1,0,0,0,45,1,0,0,0.0,0.0,0.0,1,1,35,38,92.1,6,27,0,2,1,Match Report
Y,19,Wed,Premier League,Matchweek 29,Home,W 4-2,Manchester Utd,Sheffield Utd,DM,89,0,1,0,0,1,0,0,0,54,1,0,0,0.1,0.1,0.0,3,2,40,44,90.9,4,38,1,5,3,Match Report
Y,20,Sat,Premier League,Matchweek 35,Home,D 1-1,Manchester Utd,Burnley,DM,64,0,0,0,0,1,0,0,0,35,1,1,0,0.0,0.0,0.0,4,0,27,29,93.1,2,28,0,4,2,Match Report
Y,21,Mon,Premier League,Matchweek 36,Away,L 0-4,Manchester Utd,Crystal Palace,"DM,AM",90,0,0,0,0,0,0,0,0,83,5,0,1,0.0,0.0,0.0,0,0,64,69,92.8,6,45,1,2,1,Match Report
Y,22,Sun,Premier League,Matchweek 37,Home,L 0-1,Manchester Utd,Arsenal,DM,90,0,0,0,0,0,0,0,0,62,1,0,0,0.0,0.0,0.1,4,0,50,53,94.3,4,45,4,7,4,Match Report
Y,23,Wed,Premier League,Matchweek 34,Home,W 3-2,Manchester Utd,Newcastle Utd,DM,82,1,0,0,0,1,1,0,0,37,2,3,2,0.5,0.5,0.0,2,1,21,27,77.8,2,23,4,2,1,Match Report
