game_started,game_count,games,minutes,gk_saves,clearances,tackles,assisted_shots,fouled,shots,crosses,shots_on_target,passes,interceptions,fouls,goals,assists,cards_yellow,dayofweek,comp,round,venue,result,team,opponent,position,pens_made,pens_att,cards_red,touches,blocks,xg,npxg,xg_assist,sca,gca,passes_completed,passes_pct,progressive_passes,carries,progressive_carries,take_ons,take_ons_won,match_report
N,1,0,17,0,0,1,0,0,0,0,0,10,0,0,0,0,0,Sat,Premier League,Matchweek 1,Home,W 2-1,Arsenal,Nott'ham Forest,"LM,LW",0,0,0,12,1,0.0,0.0,0.0,3,0,7,70.0,1,5,1,1,1,Match Report
Y,2,0,45,0,0,0,0,0,0,0,0,21,0,0,0,0,0,Sat,Premier League,Matchweek 3,Home,D 2-2,Arsenal,Fulham,FW,0,0,0,25,1,0.0,0.0,0.7,6,0,15,71.4,1,14,1,0,0,Match Report
N,3,0,67,0,0,2,0,0,1,0,1,27,2,0,1,0,0,Sun,Premier League,Matchweek 5,Away,W 1-0,Arsenal,Everton,LW,0,0,0,35,1,0.1,0.1,0.1,2,0,22,81.5,6,24,1,1,1,Match Report
Y,4,0,45,0,0,0,0,0,0,0,0,9,0,0,0,0,0,Sun,Premier League,Matchweek 8,Home,W 1-0,Arsenal,Manchester City,LW,0,0,0,12,0,0.0,0.0,0.0,1,0,9,100.0,1,9,0,0,0,Match Report
N,5,0,13,0,0,0,0,0,1,0,1,2,0,0,1,0,0,Sat,Premier League,Matchweek 9,Away,D 2-2,Arsenal,Chelsea,LW,0,0,0,4,0,0.2,0.2,0.0,0,0,1,50.0,0,3,0,0,0,Match Report
N,6,0,25,0,0,1,0,0,0,0,0,14,0,0,0,0,0,Sat,Premier League,Matchweek 10,Home,W 5-0,Arsenal,Sheffield Utd,LW,0,0,0,19,1,0.0,0.0,0.0,1,0,9,64.3,3,13,5,1,0,Match Report
N,7,0,12,0,0,0,0,0,2,0,0,9,0,0,0,0,0,Sat,Premier League,Matchweek 11,Away,L 0-1,Arsenal,Newcastle Utd,FW,0,0,0,11,0,0.0,0.0,0.0,1,0,5,55.6,0,5,0,0,0,Match Report
Y,8,0,80,0,0,0,0,0,3,0,2,37,0,0,1,1,0,Sat,Premier League,Matchweek 12,Home,W 3-1,Arsenal,Burnley,FW,0,0,0,47,4,0.5,0.5,0.7,3,1,24,64.9,8,26,3,2,1,Match Report
Y,9,0,90,0,0,1,0,0,2,0,0,36,0,0,0,0,0,Sat,Premier League,Matchweek 13,Away,W 1-0,Arsenal,Brentford,"LM,LW",0,0,0,43,1,0.3,0.3,0.0,4,0,20,55.6,4,28,2,1,0,Match Report
Y,10,0,90,0,0,3,0,0,5,0,2,46,3,0,0,0,0,Sat,Premier League,Matchweek 14,Home,W 2-1,Arsenal,Wolves,"LM,LW,CM",0,0,0,66,3,0.8,0.8,0.0,4,0,35,76.1,4,32,0,2,0,Match Report
