game_started,game_count,games,minutes,gk_saves,clearances,tackles,assisted_shots,fouled,shots,crosses,shots_on_target,passes,interceptions,fouls,goals,assists,cards_yellow,dayofweek,comp,round,venue,result,team,opponent,position,pens_made,pens_att,cards_red,touches,blocks,xg,npxg,xg_assist,sca,gca,passes_completed,passes_pct,progressive_passes,carries,progressive_carries,take_ons,take_ons_won,match_report
Y,1,0,45,0,0,0,0,0,0,0,0,17,1,0,0,0,0,Sat,Premier League,Matchweek 1,Away,L 1-5,Aston Villa,Newcastle Utd,RW,0,0,0,24,1,0.0,0.0,0.0,1,0,5,29.4,0,14,2,1,0,Match Report
Y,2,0,62,0,0,0,0,0,2,0,1,31,0,0,1,1,0,Sun,Premier League,Matchweek 2,Home,W 4-0,Aston Villa,Everton,RW,0,0,0,35,0,0.3,0.3,0.6,4,2,25,80.6,2,25,5,2,2,Match Report
N,3,0,46,0,0,0,0,0,0,0,0,12,0,0,0,0,0,Sun,Premier League,Matchweek 4,Away,L 0-3,Aston Villa,Liverpool,RM,0,0,0,15,0,0.0,0.0,0.1,2,0,7,58.3,1,11,2,3,2,Match Report
N,4,0,34,0,0,0,0,0,2,0,1,21,1,0,1,0,1,Sat,Premier League,Matchweek 5,Home,W 3-1,Aston Villa,Crystal Palace,"RM,LW",0,0,0,28,0,0.8,0.8,0.0,3,0,15,71.4,4,18,3,4,2,Match Report
N,5,0,16,0,0,0,0,0,0,0,0,6,0,0,0,0,0,Sun,Premier League,Matchweek 6,Away,W 1-0,Aston Villa,Chelsea,RM,0,0,0,11,0,0.0,0.0,0.2,2,0,4,66.7,0,8,0,4,0,Match Report
N,6,0,9,0,0,0,0,0,0,0,0,11,0,0,0,0,0,Sun,Premier League,Matchweek 8,Away,D 1-1,Aston Villa,Wolves,RW,0,0,0,13,0,0.0,0.0,0.1,1,0,8,72.7,1,7,0,1,0,Match Report
N,7,0,15,0,0,0,0,0,2,0,1,10,1,0,1,0,0,Sun,Premier League,Matchweek 9,Home,W 4-1,Aston Villa,West Ham,"RM,LM",0,0,0,15,0,0.3,0.3,0.0,1,0,9,90.0,2,11,3,1,1,Match Report
N,8,0,45,0,0,0,0,0,1,0,0,21,0,0,0,1,0,Sun,Premier League,Matchweek 10,Home,W 3-1,Aston Villa,Luton Town,RM,0,0,0,25,0,0.1,0.1,0.6,2,0,16,76.2,0,22,1,2,0,Match Report
N,9,0,45,0,0,0,0,0,3,0,0,20,0,0,0,0,0,Sun,Premier League,Matchweek 11,Away,L 0-2,Aston Villa,Nott'ham Forest,RM,0,0,0,32,1,0.3,0.3,0.0,1,0,13,65.0,0,25,3,6,2,Match Report
N,10,0,29,0,0,0,0,0,1,0,0,12,2,0,0,1,0,Sun,Premier League,Matchweek 12,Home,W 3-1,Aston Villa,Fulham,RM,0,0,0,20,0,0.1,0.1,1.0,1,1,10,83.3,2,14,2,3,1,Match Report
N,11,0,45,0,0,0,0,0,3,0,1,16,0,0,0,0,0,Sun,Premier League,Matchweek 13,Away,W 2-1,Aston Villa,Tottenham,RM,0,0,0,23,0,0.2,0.2,0.0,3,0,14,87.5,0,16,2,4,3,Match Report
Y,12,0,73,0,0,0,0,0,2,0,1,28,0,0,1,0,0,Sun,Premier League,Matchweek 14,Away,D 2-2,Aston Villa,Bournemouth,"RM,CM",0,0,0,35,0,0.1,0.1,0.2,1,0,22,78.6,2,29,5,5,2,Match Report
