game_started,game_count,games,minutes,gk_saves,clearances,tackles,assisted_shots,fouled,shots,crosses,shots_on_target,passes,interceptions,fouls,goals,assists,cards_yellow,dayofweek,comp,round,venue,result,team,opponent,position,pens_made,pens_att,cards_red,touches,blocks,xg,npxg,xg_assist,sca,gca,passes_completed,passes_pct,progressive_passes,carries,progressive_carries,take_ons,take_ons_won,match_report
N,1,0,45,0,0,2,0,0,1,0,0,28,3,0,0,0,0,Sat,Premier League,Matchweek 3,Home,L 0-2,Bournemouth,Tottenham,"DM,CM",0,0,0,35,1,0.0,0.0,0.0,0,0,22,78.6,0,13,0,0,0,Match Report
Y,2,0,90,0,0,3,0,0,0,0,0,48,0,0,0,0,0,Sat,Premier League,Matchweek 4,Away,D 2-2,Bournemouth,Brentford,"DM,CM",0,0,0,54,0,0.0,0.0,0.0,2,0,36,75.0,4,22,0,0,0,Match Report
Y,3,0,90,0,0,3,0,0,1,0,1,37,5,0,0,0,0,Sun,Premier League,Matchweek 5,Home,D 0-0,Bournemouth,Chelsea,DM,0,0,0,49,0,0.0,0.0,0.0,2,0,30,81.1,4,24,0,2,2,Match Report
Y,4,0,90,0,0,0,0,0,0,0,0,53,0,0,0,0,0,Sun,Premier League,Matchweek 6,Away,L 1-3,Bournemouth,Brighton,DM,0,0,0,56,1,0.0,0.0,0.2,2,0,47,88.7,1,41,0,1,1,Match Report
Y,5,0,90,0,0,0,0,0,0,0,0,52,4,0,0,0,0,Sat,Premier League,Matchweek 7,Home,L 0-4,Bournemouth,Arsenal,DM,0,0,0,58,0,0.0,0.0,0.0,0,0,46,88.5,6,35,1,4,1,Match Report
Y,6,0,65,0,0,1,0,0,0,0,0,48,2,0,0,0,0,Sat,Premier League,Matchweek 8,Away,L 0-3,Bournemouth,Everton,DM,0,0,0,55,2,0.0,0.0,0.0,3,0,41,85.4,2,30,1,0,0,Match Report
Y,7,0,53,0,0,2,0,0,0,0,0,26,2,0,0,0,0,Sat,Premier League,Matchweek 9,Home,L 1-2,Bournemouth,Wolves,DM,0,0,1,32,1,0.0,0.0,0.0,1,0,20,76.9,2,16,1,0,0,Match Report
Y,8,0,90,0,0,3,0,0,0,0,0,48,3,0,0,0,1,Sat,Premier League,Matchweek 12,Home,W 2-0,Bournemouth,Newcastle Utd,DM,0,0,0,58,0,0.0,0.0,0.1,2,0,31,64.6,1,22,0,2,1,Match Report
Y,9,0,90,0,0,3,0,0,0,0,0,51,2,0,0,0,0,Sat,Premier League,Matchweek 13,Away,W 3-1,Bournemouth,Sheffield Utd,DM,0,0,0,61,1,0.0,0.0,0.2,2,0,39,76.5,5,22,1,1,1,Match Report
Y,10,0,90,0,0,0,0,0,0,0,0,41,1,0,0,0,0,Sun,Premier League,Matchweek 14,Home,D 2-2,Bournemouth,Aston Villa,DM,0,0,0,48,1,0.0,0.0,0.3,5,0,33,80.5,6,12,0,1,1,Match Report
