game_started,game_count,games,minutes,gk_saves,clearances,tackles,assisted_shots,fouled,shots,crosses,shots_on_target,passes,interceptions,fouls,goals,assists,cards_yellow,dayofweek,comp,round,venue,result,team,opponent,position,pens_made,pens_att,cards_red,touches,blocks,xg,npxg,xg_assist,sca,gca,passes_completed,passes_pct,progressive_passes,carries,progressive_carries,take_ons,take_ons_won,match_report
N,1,0,15,0,0,0,0,0,0,0,0,13,0,0,0,0,0,Sat,Premier League,Matchweek 2,Away,L 1-3,Bournemouth,Liverpool,"CB,DM",0,0,0,14,0,0.0,0.0,0.0,0,0,10,76.9,1,9,1,0,0,Match Report
Y,2,0,90,0,0,2,0,0,0,0,0,48,0,0,0,0,1,Sat,Premier League,Matchweek 3,Home,L 0-2,Bournemouth,Tottenham,CB,0,0,0,50,0,0.0,0.0,0.0,0,0,40,83.3,4,29,2,1,1,Match Report
Y,3,0,90,0,0,1,0,0,0,0,0,47,1,0,0,0,0,Sun,Premier League,Matchweek 5,Home,D 0-0,Bournemouth,Chelsea,"CB,LB",0,0,0,55,2,0.0,0.0,0.0,1,0,37,78.7,6,33,2,0,0,Match Report
Y,4,0,82,0,0,1,0,0,0,0,0,39,2,0,0,0,0,Sun,Premier League,Matchweek 6,Away,L 1-3,Bournemouth,Brighton,CB,0,0,0,48,2,0.0,0.0,0.1,2,0,30,76.9,1,29,0,0,0,Match Report
Y,5,0,90,0,0,1,0,0,0,0,0,47,0,0,0,0,0,Sat,Premier League,Matchweek 9,Home,L 1-2,Bournemouth,Wolves,CB,0,0,0,56,1,0.0,0.0,0.0,0,0,33,70.2,0,34,1,0,0,Match Report
Y,6,0,90,0,0,4,0,0,1,0,0,58,1,0,0,0,0,Sat,Premier League,Matchweek 10,Home,W 2-1,Bournemouth,Burnley,LB,0,0,0,69,1,0.1,0.1,0.0,0,0,39,67.2,7,35,1,0,0,Match Report
Y,7,0,90,0,0,0,0,0,0,0,0,54,0,0,0,0,0,Sat,Premier League,Matchweek 11,Away,L 1-6,Bournemouth,Manchester City,CB,0,0,0,59,3,0.0,0.0,0.0,1,1,46,85.2,0,40,0,0,0,Match Report
Y,8,0,90,0,0,1,0,0,0,0,0,69,1,0,0,0,0,Sat,Premier League,Matchweek 12,Home,W 2-0,Bournemouth,Newcastle Utd,LB,0,0,0,72,0,0.0,0.0,0.0,2,0,54,78.3,6,45,0,0,0,Match Report
Y,9,0,45,0,0,0,0,0,0,0,0,49,1,0,0,0,0,Sat,Premier League,Matchweek 13,Away,W 3-1,Bournemouth,Sheffield Utd,LB,0,0,0,56,1,0.0,0.0,0.1,6,0,37,75.5,4,25,1,1,1,Match Report
N,10,0,36,0,0,2,0,0,0,0,0,28,0,0,0,0,0,Sun,Premier League,Matchweek 21,Home,L 0-4,Bournemouth,Liverpool,LB,0,0,0,31,1,0.0,0.0,0.0,0,0,19,67.9,1,11,0,0,0,Match Report
Y,11,0,77,0,0,5,0,0,1,0,1,42,0,0,0,0,0,Thu,Premier League,Matchweek 22,Away,D 1-1,Bournemouth,West Ham,LB,0,0,0,54,2,0.0,0.0,0.0,2,0,32,76.2,2,15,1,0,0,Match Report
Y,12,0,82,0,0,0,0,0,0,0,0,50,1,0,0,0,0,Sun,Premier League,Matchweek 23,Home,D 1-1,Bournemouth,Nott'ham Forest,LB,0,0,0,59,0,0.0,0.0,0.0,1,0,31,62.0,2,19,2,0,0,Match Report
Y,13,0,45,0,0,0,0,0,0,0,0,33,0,0,0,0,0,Sat,Premier League,Matchweek 24,Away,L 1-3,Bournemouth,Fulham,LB,0,0,0,42,1,0.0,0.0,0.0,0,0,24,72.7,1,22,0,0,0,Match Report
Y,14,0,90,0,0,2,0,0,0,0,0,31,0,0,0,0,0,Sat,Premier League,Matchweek 25,Away,D 2-2,Bournemouth,Newcastle Utd,LB,0,0,0,38,0,0.0,0.0,0.0,2,0,18,58.1,2,12,1,0,0,Match Report
N,15,0,28,0,0,0,0,0,0,0,0,12,0,0,0,1,0,Sat,Premier League,Matchweek 30,Home,W 2-1,Bournemouth,Everton,LB,0,0,0,14,1,0.0,0.0,0.6,1,1,9,75.0,1,9,1,0,0,Match Report
Y,16,0,90,0,0,2,0,0,1,0,0,67,1,0,0,0,1,Tue,Premier League,Matchweek 31,Home,W 1-0,Bournemouth,Crystal Palace,"LB,CB",0,0,0,84,0,0.1,0.1,0.0,0,0,51,76.1,8,44,1,1,0,Match Report
Y,17,0,90,0,0,3,0,0,0,0,0,54,0,0,0,0,0,Sat,Premier League,Matchweek 32,Away,L 1-2,Bournemouth,Luton Town,"CB,LB",0,0,0,67,1,0.0,0.0,0.0,0,0,35,64.8,0,33,1,0,0,Match Report
N,18,0,52,0,0,0,0,0,0,0,0,34,0,0,0,0,0,Sat,Premier League,Matchweek 33,Home,D 2-2,Bournemouth,Manchester Utd,LB,0,0,0,39,1,0.0,0.0,0.2,3,0,24,70.6,3,18,0,1,0,Match Report
Y,19,0,90,0,0,0,0,0,0,0,0,55,1,0,0,0,0,Sun,Premier League,Matchweek 34,Away,L 1-3,Bournemouth,Aston Villa,"LB,CB",0,0,0,61,1,0.0,0.0,0.2,3,0,49,89.1,5,37,0,0,0,Match Report
N,20,0,10,0,0,0,0,0,0,0,0,3,0,0,0,0,0,Wed,Premier League,Matchweek 29,Away,W 1-0,Bournemouth,Wolves,LB,0,0,0,6,0,0.0,0.0,0.0,0,0,1,33.3,0,0,0,0,0,Match Report
Y,21,0,90,0,0,0,0,0,0,0,0,26,1,0,0,0,0,Sun,Premier League,Matchweek 35,Home,W 3-0,Bournemouth,Brighton,CB,0,0,0,35,1,0.0,0.0,0.0,1,0,23,88.5,0,17,0,0,0,Match Report
Y,22,0,90,0,0,0,0,0,1,0,0,40,3,0,0,0,0,Sat,Premier League,Matchweek 37,Home,L 1-2,Bournemouth,Brentford,LB,0,0,0,48,2,0.0,0.0,0.0,4,1,27,67.5,2,19,0,0,0,Match Report
N,23,0,7,0,0,0,0,0,0,0,0,7,0,0,0,0,0,Sun,Premier League,Matchweek 38,Away,L 1-2,Bournemouth,Chelsea,CB,0,0,0,8,1,0.0,0.0,0.0,0,0,4,57.1,0,5,0,0,0,Match Report
