game_started,game_count,games,minutes,gk_saves,clearances,tackles,assisted_shots,fouled,shots,crosses,shots_on_target,passes,interceptions,fouls,goals,assists,cards_yellow,dayofweek,comp,round,venue,result,team,opponent,position,pens_made,pens_att,cards_red,touches,blocks,xg,npxg,xg_assist,sca,gca,passes_completed,passes_pct,progressive_passes,carries,progressive_carries,take_ons,take_ons_won,match_report
Y,1,0,90,0,0,2,0,0,0,0,0,50,1,0,0,0,1,Sat,Premier League,Matchweek 1,Away,L 1-5,Aston Villa,Newcastle Utd,"LB,LW",0,0,0,58,1,0.0,0.0,0.2,5,0,37,74.0,2,25,0,1,0,Match Report
Y,2,0,90,0,0,2,0,0,1,0,0,79,1,0,0,0,1,Sun,Premier League,Matchweek 2,Home,W 4-0,Aston Villa,Everton,"LB,WB",0,0,0,89,0,0.0,0.0,0.2,2,0,62,78.5,2,56,2,3,1,Match Report
Y,3,0,80,0,0,0,0,0,0,0,0,30,2,0,0,1,0,Sun,Premier League,Matchweek 3,Away,W 3-1,Aston Villa,Burnley,WB,0,0,0,35,0,0.0,0.0,0.1,2,1,23,76.7,3,14,1,1,0,Match Report
Y,4,0,90,0,0,2,0,0,0,0,0,49,5,0,0,0,0,Sun,Premier League,Matchweek 4,Away,L 0-3,Aston Villa,Liverpool,LB,0,0,0,60,1,0.0,0.0,0.3,4,0,37,75.5,3,27,2,0,0,Match Report
Y,5,0,90,0,0,3,0,0,1,0,0,96,1,0,0,1,0,Sat,Premier League,Matchweek 5,Home,W 3-1,Aston Villa,Crystal Palace,LB,0,0,0,112,3,0.0,0.0,0.3,5,1,69,71.9,8,67,1,0,0,Match Report
Y,6,0,90,0,0,4,0,0,2,0,1,48,3,0,0,0,1,Sun,Premier League,Matchweek 6,Away,W 1-0,Aston Villa,Chelsea,LB,0,0,0,59,0,0.0,0.0,0.0,3,0,33,68.8,4,28,1,0,0,Match Report
Y,7,0,90,0,0,2,0,0,1,0,0,33,0,0,0,0,1,Sat,Premier League,Matchweek 7,Home,W 6-1,Aston Villa,Brighton,LB,0,0,0,41,0,0.1,0.1,0.0,3,0,28,84.8,1,19,1,1,0,Match Report
Y,8,0,90,0,0,0,0,0,0,0,0,64,2,0,0,0,0,Sun,Premier League,Matchweek 8,Away,D 1-1,Aston Villa,Wolves,LB,0,0,0,69,3,0.0,0.0,0.3,5,0,40,62.5,4,27,2,0,0,Match Report
Y,9,0,90,0,0,1,0,0,0,0,0,45,0,0,0,0,0,Sun,Premier League,Matchweek 9,Home,W 4-1,Aston Villa,West Ham,LB,0,0,0,57,0,0.0,0.0,0.0,0,0,32,71.1,1,26,3,1,0,Match Report
Y,10,0,90,0,0,1,0,0,0,0,0,57,0,0,0,0,0,Sun,Premier League,Matchweek 10,Home,W 3-1,Aston Villa,Luton Town,LB,0,0,0,64,0,0.0,0.0,0.3,4,1,48,84.2,2,47,1,4,0,Match Report
Y,11,0,90,0,0,3,0,0,1,0,0,83,1,0,0,0,0,Sun,Premier League,Matchweek 11,Away,L 0-2,Aston Villa,Nott'ham Forest,LB,0,0,0,91,0,0.0,0.0,0.4,7,0,67,80.7,10,65,5,3,2,Match Report
Y,12,0,90,0,0,1,0,0,0,0,0,52,1,0,0,0,0,Sun,Premier League,Matchweek 12,Home,W 3-1,Aston Villa,Fulham,LB,0,0,0,60,1,0.0,0.0,0.3,4,0,39,75.0,4,32,3,0,0,Match Report
Y,13,0,90,0,0,3,0,0,1,0,1,43,1,0,0,0,0,Sun,Premier League,Matchweek 13,Away,W 2-1,Aston Villa,Tottenham,LB,0,0,0,52,1,0.1,0.1,0.4,3,0,30,69.8,2,30,2,2,1,Match Report
Y,14,0,73,0,0,2,0,0,1,0,0,42,0,0,0,0,0,Sun,Premier League,Matchweek 14,Away,D 2-2,Aston Villa,Bournemouth,LB,0,0,0,50,0,0.0,0.0,0.1,2,0,30,71.4,3,19,3,0,0,Match Report
Y,15,0,89,0,0,1,0,0,1,0,0,37,1,0,0,0,0,Wed,Premier League,Matchweek 15,Home,W 1-0,Aston Villa,Manchester City,LB,0,0,0,44,0,0.0,0.0,0.1,3,0,24,64.9,2,24,1,1,0,Match Report
Y,16,0,77,0,0,3,0,0,2,0,1,25,0,0,0,0,1,Sat,Premier League,Matchweek 16,Home,W 1-0,Aston Villa,Arsenal,LB,0,0,0,32,0,0.1,0.1,0.0,1,0,21,84.0,1,10,0,0,0,Match Report
Y,17,0,73,0,0,0,0,0,1,0,0,45,0,0,0,0,0,Fri,Premier League,Matchweek 18,Home,D 1-1,Aston Villa,Sheffield Utd,LB,0,0,0,49,0,0.0,0.0,0.0,0,0,40,88.9,2,25,1,0,0,Match Report
Y,18,0,49,0,0,0,0,0,0,0,0,24,0,0,0,0,0,Tue,Premier League,Matchweek 19,Away,L 2-3,Aston Villa,Manchester Utd,LB,0,0,0,27,0,0.0,0.0,0.0,1,0,15,62.5,1,17,1,0,0,Match Report
N,19,0,4,0,0,0,0,0,0,0,0,4,0,0,0,0,0,Sun,Premier League,Matchweek 24,Home,L 1-2,Aston Villa,Manchester Utd,LB,0,0,0,4,0,0.0,0.0,0.0,0,0,4,100.0,0,3,0,0,0,Match Report
N,20,0,10,0,0,0,0,0,0,0,0,2,0,0,0,0,0,Sat,Premier League,Matchweek 25,Away,W 2-1,Aston Villa,Fulham,LB,0,0,0,3,0,0.0,0.0,0.0,0,0,2,100.0,0,2,0,1,0,Match Report
N,21,0,32,0,0,1,0,0,1,0,0,31,0,0,0,0,0,Sat,Premier League,Matchweek 26,Home,W 4-2,Aston Villa,Nott'ham Forest,LB,0,0,0,33,1,0.1,0.1,0.0,1,0,27,87.1,3,17,0,1,0,Match Report
N,22,0,12,0,0,0,0,0,1,0,1,9,0,0,1,0,0,Sat,Premier League,Matchweek 27,Away,W 3-2,Aston Villa,Luton Town,LB,0,0,0,13,0,0.3,0.3,0.0,0,0,7,77.8,0,7,0,0,0,Match Report
Y,23,0,57,0,0,2,0,0,1,0,0,12,1,0,0,0,0,Sun,Premier League,Matchweek 28,Home,L 0-4,Aston Villa,Tottenham,LB,0,0,0,19,1,0.0,0.0,0.0,0,0,8,66.7,0,7,0,1,0,Match Report
N,24,0,28,0,0,0,0,0,0,0,0,23,0,0,0,0,0,Sun,Premier League,Matchweek 29,Away,D 1-1,Aston Villa,West Ham,LB,0,0,0,24,0,0.0,0.0,0.0,1,0,17,73.9,2,16,1,0,0,Match Report
N,25,0,28,0,0,1,0,0,0,0,0,16,1,0,0,0,1,Sat,Premier League,Matchweek 30,Home,W 2-0,Aston Villa,Wolves,LB,0,0,0,21,0,0.0,0.0,0.0,2,0,15,93.8,0,10,1,1,0,Match Report
Y,26,0,90,0,0,2,0,0,0,0,0,29,0,0,0,0,0,Wed,Premier League,Matchweek 31,Away,L 1-4,Aston Villa,Manchester City,LB,0,0,0,34,0,0.0,0.0,0.0,2,0,23,79.3,2,16,1,0,0,Match Report
Y,27,0,89,0,0,0,0,0,2,0,0,56,1,0,0,0,0,Sat,Premier League,Matchweek 32,Home,D 3-3,Aston Villa,Brentford,LB,0,0,0,62,0,0.1,0.1,0.0,1,0,45,80.4,5,39,2,0,0,Match Report
Y,28,0,90,0,0,0,0,0,1,0,0,43,2,0,0,1,0,Sun,Premier League,Matchweek 33,Away,W 2-0,Aston Villa,Arsenal,LB,0,0,0,56,2,0.1,0.1,0.3,2,1,25,58.1,2,21,1,0,0,Match Report
Y,29,0,90,0,0,1,0,0,0,0,0,46,0,0,0,0,0,Sun,Premier League,Matchweek 34,Home,W 3-1,Aston Villa,Bournemouth,"LB,WB",0,0,0,48,0,0.0,0.0,0.0,1,0,37,80.4,1,21,2,1,1,Match Report
Y,30,0,90,0,0,4,0,0,1,0,0,30,0,0,0,0,0,Sat,Premier League,Matchweek 35,Home,D 2-2,Aston Villa,Chelsea,"LB,WB",0,0,0,39,1,0.1,0.1,0.6,3,0,23,76.7,1,21,1,1,1,Match Report
Y,31,0,89,0,0,1,0,0,0,0,0,48,1,0,0,0,0,Sun,Premier League,Matchweek 36,Away,L 0-1,Aston Villa,Brighton,LB,0,0,0,58,3,0.0,0.0,0.0,0,0,38,79.2,2,40,2,3,1,Match Report
Y,32,0,90,0,0,1,0,0,1,0,0,54,1,0,0,0,0,Mon,Premier League,Matchweek 37,Home,D 3-3,Aston Villa,Liverpool,LB,0,0,0,67,1,0.0,0.0,0.0,2,0,34,63.0,3,39,1,6,2,Match Report
Y,33,0,90,0,0,4,0,0,0,0,0,46,0,0,0,0,1,Sun,Premier League,Matchweek 38,Away,L 0-5,Aston Villa,Crystal Palace,LB,0,0,0,60,1,0.0,0.0,0.3,5,0,35,76.1,1,23,0,1,1,Match Report
