game_started,game_count,dayofweek,comp,round,venue,result,team,opponent,position,minutes,goals,assists,pens_made,pens_att,shots,shots_on_target,cards_yellow,cards_red,touches,tackles,interceptions,blocks,xg,npxg,xg_assist,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,take_ons,take_ons_won,match_report
Y,1,Sun,Premier League,Matchweek 1,Away,D 1-1,Liverpool,Chelsea,LW,76,1,0,0,0,4,1,0,0,28,1,0,1,0.8,0.8,0.2,4,0,18,20,90.0,3,21,4,3,2,Match Report
Y,2,Sat,Premier League,Matchweek 2,Home,W 3-1,Liverpool,Bournemouth,"LW,LM",85,1,0,0,0,3,1,0,0,47,0,0,1,0.4,0.4,0.2,8,0,32,40,80.0,2,27,2,4,3,Match Report
Y,3,Sun,Premier League,Matchweek 3,Away,W 2-1,Liverpool,Newcastle Utd,LW,32,0,0,0,0,1,1,0,0,7,0,0,0,0.1,0.1,0.0,1,0,2,4,50.0,0,7,1,1,1,Match Report
Y,4,Sun,Premier League,Matchweek 4,Home,W 3-0,Liverpool,Aston Villa,LW,64,0,0,0,0,1,0,0,0,33,0,1,0,0.0,0.0,0.0,2,0,22,27,81.5,1,26,5,1,0,Match Report
N,5,Sat,Premier League,Matchweek 5,Away,W 3-1,Liverpool,Wolves,"LW,LM",45,0,0,0,0,3,1,0,0,44,3,0,0,0.3,0.3,0.2,3,0,26,34,76.5,2,22,1,1,0,Match Report
Y,6,Sun,Premier League,Matchweek 6,Home,W 3-1,Liverpool,West Ham,LW,80,0,0,0,0,1,0,0,0,36,1,0,0,0.0,0.0,0.2,7,1,21,27,77.8,1,26,3,3,1,Match Report
Y,7,Sat,Premier League,Matchweek 7,Away,L 1-2,Liverpool,Tottenham,"LM,LW",72,0,0,0,0,2,0,0,0,32,1,0,1,0.7,0.7,0.0,3,0,16,24,66.7,2,25,2,4,3,Match Report
Y,8,Sun,Premier League,Matchweek 8,Away,D 2-2,Liverpool,Brighton,LW,90,0,0,0,0,2,0,0,0,37,3,0,0,0.1,0.1,0.0,3,1,23,27,85.2,4,25,2,4,2,Match Report
Y,9,Sat,Premier League,Matchweek 9,Home,W 2-0,Liverpool,Everton,"LW,LB",80,0,0,0,0,3,0,0,0,55,2,0,0,0.2,0.2,0.0,3,0,38,46,82.6,4,36,4,7,3,Match Report
N,10,Sun,Premier League,Matchweek 11,Away,D 1-1,Liverpool,Luton Town,LW,8,1,0,0,0,1,1,0,0,13,0,0,0,0.2,0.2,0.0,0,0,7,9,77.8,1,10,3,1,0,Match Report
N,11,Sun,Premier League,Matchweek 12,Home,W 3-0,Liverpool,Brentford,LW,8,0,0,0,0,0,0,0,0,7,0,0,0,0.0,0.0,0.0,0,0,2,4,50.0,0,4,0,1,0,Match Report
N,12,Sat,Premier League,Matchweek 13,Away,D 1-1,Liverpool,Manchester City,LW,37,0,0,0,0,0,0,0,0,11,0,0,0,0.0,0.0,0.0,2,1,6,9,66.7,1,10,1,0,0,Match Report
Y,13,Sun,Premier League,Matchweek 14,Home,W 4-3,Liverpool,Fulham,"LW,AM",90,0,0,0,0,5,4,0,0,57,1,0,1,0.5,0.5,0.0,3,0,29,38,76.3,6,31,2,4,1,Match Report
Y,14,Wed,Premier League,Matchweek 15,Away,W 2-0,Liverpool,Sheffield Utd,LW,66,0,0,0,0,0,0,0,0,29,0,0,0,0.0,0.0,0.1,2,0,17,19,89.5,3,23,2,4,2,Match Report
Y,15,Sat,Premier League,Matchweek 16,Away,W 2-1,Liverpool,Crystal Palace,LW,90,0,0,0,0,2,0,1,0,40,0,0,0,0.1,0.1,0.2,2,0,25,29,86.2,4,31,1,6,2,Match Report
Y,16,Sun,Premier League,Matchweek 17,Home,D 0-0,Liverpool,Manchester Utd,LW,77,0,0,0,0,3,0,0,0,38,1,0,1,0.2,0.2,0.3,9,0,25,28,89.3,6,29,3,4,0,Match Report
Y,17,Sat,Premier League,Matchweek 18,Home,D 1-1,Liverpool,Arsenal,LW,67,0,0,0,0,2,0,0,0,22,0,0,0,0.1,0.1,0.0,1,0,10,14,71.4,2,16,2,2,1,Match Report
N,18,Tue,Premier League,Matchweek 19,Away,W 2-0,Liverpool,Burnley,LW,24,0,1,0,0,1,1,0,0,14,0,0,0,0.2,0.2,0.1,1,1,10,11,90.9,0,10,0,2,0,Match Report
Y,19,Mon,Premier League,Matchweek 20,Home,W 4-2,Liverpool,Newcastle Utd,LW,63,0,0,0,0,1,1,1,0,46,0,1,0,0.1,0.1,0.1,10,1,30,35,85.7,6,26,5,9,5,Match Report
Y,20,Sun,Premier League,Matchweek 21,Away,W 4-0,Liverpool,Bournemouth,RW,63,0,0,0,0,1,1,0,0,30,1,0,2,0.0,0.0,0.0,0,0,18,21,85.7,3,19,1,1,0,Match Report
Y,21,Wed,Premier League,Matchweek 22,Home,W 4-1,Liverpool,Chelsea,LW,90,1,1,0,0,3,2,0,0,53,1,0,2,0.5,0.5,0.1,3,1,30,40,75.0,2,36,7,2,1,Match Report
Y,22,Sun,Premier League,Matchweek 23,Away,L 1-3,Liverpool,Arsenal,"LW,RB",90,0,0,0,0,3,1,0,0,45,0,0,0,0.2,0.2,0.0,1,0,22,28,78.6,1,34,5,8,3,Match Report
Y,23,Sat,Premier League,Matchweek 24,Home,W 3-1,Liverpool,Burnley,LW,81,1,0,0,0,5,4,0,0,42,1,0,1,1.0,1.0,0.1,5,0,25,27,92.6,9,30,4,3,2,Match Report
Y,24,Sat,Premier League,Matchweek 25,Away,W 4-1,Liverpool,Brentford,LW,90,0,1,0,0,2,0,0,0,62,0,0,0,0.1,0.1,0.7,8,1,48,53,90.6,4,50,4,5,4,Match Report
Y,25,Wed,Premier League,Matchweek 26,Home,W 4-1,Liverpool,Luton Town,LW,88,1,0,0,0,10,3,0,0,48,2,0,0,1.8,1.8,0.0,7,0,24,27,88.9,1,37,7,6,2,Match Report
Y,26,Sat,Premier League,Matchweek 27,Away,W 1-0,Liverpool,Nott'ham Forest,LW,90,0,0,0,0,6,0,0,0,69,2,0,3,0.6,0.6,0.0,8,0,41,46,89.1,6,47,9,1,0,Match Report
Y,27,Sun,Premier League,Matchweek 28,Home,D 1-1,Liverpool,Manchester City,LW,90,0,0,0,0,2,0,0,0,56,2,1,1,0.6,0.6,0.3,5,0,36,43,83.7,1,33,6,6,4,Match Report
Y,28,Sun,Premier League,Matchweek 30,Home,W 2-1,Liverpool,Brighton,LW,88,1,0,0,0,4,2,0,0,50,1,0,0,0.6,0.6,0.5,5,0,34,37,91.9,5,37,8,7,2,Match Report
Y,29,Thu,Premier League,Matchweek 31,Home,W 3-1,Liverpool,Sheffield Utd,"LW,AM",90,0,1,0,0,3,0,0,0,67,2,0,0,0.1,0.1,0.5,12,1,49,55,89.1,5,50,7,4,2,Match Report
Y,30,Sun,Premier League,Matchweek 32,Away,D 2-2,Liverpool,Manchester Utd,LW,90,1,0,0,0,6,2,0,0,54,0,0,0,1.0,1.0,0.3,10,0,29,34,85.3,6,39,4,10,6,Match Report
Y,31,Sun,Premier League,Matchweek 33,Home,L 0-1,Liverpool,Crystal Palace,LW,65,0,0,0,0,1,1,0,0,25,1,0,0,0.2,0.2,0.0,4,0,12,17,70.6,2,17,2,2,1,Match Report
Y,32,Sun,Premier League,Matchweek 34,Away,W 3-1,Liverpool,Fulham,RW,73,0,0,0,0,1,0,0,0,27,1,0,0,0.1,0.1,0.0,3,0,17,22,77.3,1,19,2,4,3,Match Report
Y,33,Wed,Premier League,Matchweek 29,Away,L 0-2,Liverpool,Everton,LW,90,0,0,0,0,3,1,1,0,64,2,0,0,0.3,0.3,0.4,5,0,46,51,90.2,10,47,7,4,2,Match Report
Y,34,Sat,Premier League,Matchweek 35,Away,D 2-2,Liverpool,West Ham,LW,78,0,1,0,0,3,2,0,0,51,0,0,1,0.1,0.1,0.5,10,1,36,44,81.8,5,37,7,4,3,Match Report
Y,35,Sun,Premier League,Matchweek 36,Home,W 4-2,Liverpool,Tottenham,LW,74,0,0,0,0,2,1,0,0,30,2,0,0,0.3,0.3,0.1,3,0,19,19,100.0,3,20,4,2,2,Match Report
Y,36,Mon,Premier League,Matchweek 37,Away,D 3-3,Liverpool,Aston Villa,LW,75,0,0,0,0,0,0,0,0,35,3,0,0,0.0,0.0,0.2,4,0,23,30,76.7,1,22,4,1,1,Match Report
