game_started,game_count,games,minutes,gk_saves,clearances,tackles,assisted_shots,fouled,shots,crosses,shots_on_target,passes,interceptions,fouls,goals,assists,cards_yellow,dayofweek,comp,round,venue,result,team,opponent,position,pens_made,pens_att,cards_red,touches,blocks,xg,npxg,xg_assist,sca,gca,passes_completed,passes_pct,progressive_passes,carries,progressive_carries,take_ons,take_ons_won,match_report
Y,1,0,59,0,0,2,0,0,0,0,0,52,1,0,0,0,0,Sat,Premier League,Matchweek 1,Home,D 1-1,Bournemouth,West Ham,CB,0,0,0,62,1,0.0,0.0,0.0,0,0,44,84.6,3,40,0,0,0,Match Report
Y,2,0,83,0,0,4,0,0,0,0,0,40,2,0,0,0,0,Sat,Premier League,Matchweek 2,Away,L 1-3,Bournemouth,Liverpool,CB,0,0,0,57,3,0.0,0.0,0.0,3,0,28,70.0,8,25,2,0,0,Match Report
Y,3,0,90,0,0,1,0,0,0,0,0,40,0,0,0,1,0,Sat,Premier League,Matchweek 4,Away,D 2-2,Bournemouth,Brentford,CB,0,0,0,52,1,0.0,0.0,0.2,4,1,29,72.5,0,28,1,2,1,Match Report
N,4,0,17,0,0,0,0,0,0,0,0,8,0,0,0,0,0,Sun,Premier League,Matchweek 5,Home,D 0-0,Bournemouth,Chelsea,CB,0,0,0,12,1,0.0,0.0,0.0,0,0,6,75.0,0,4,0,0,0,Match Report
N,5,0,8,0,0,2,0,0,0,0,0,4,0,0,0,0,1,Sun,Premier League,Matchweek 6,Away,L 1-3,Bournemouth,Brighton,CB,0,0,0,8,1,0.0,0.0,0.0,0,0,4,100.0,0,4,0,0,0,Match Report
Y,6,0,90,0,0,1,0,0,0,0,0,67,0,0,0,0,0,Sat,Premier League,Matchweek 7,Home,L 0-4,Bournemouth,Arsenal,CB,0,0,0,75,3,0.0,0.0,0.0,1,0,52,77.6,4,57,3,4,2,Match Report
Y,7,0,90,0,0,5,0,0,0,0,0,67,0,0,0,0,0,Sat,Premier League,Matchweek 8,Away,L 0-3,Bournemouth,Everton,CB,0,0,0,83,0,0.0,0.0,0.0,0,0,51,76.1,7,42,3,1,1,Match Report
N,8,0,6,0,0,0,0,0,0,0,0,4,0,0,0,0,0,Sat,Premier League,Matchweek 9,Home,L 1-2,Bournemouth,Wolves,LB,0,0,0,4,0,0.0,0.0,0.0,0,0,3,75.0,1,3,0,0,0,Match Report
N,9,0,45,0,0,2,0,0,0,0,0,27,1,0,0,0,0,Sat,Premier League,Matchweek 11,Away,L 1-6,Bournemouth,Manchester City,CB,0,0,0,28,0,0.0,0.0,0.0,0,0,22,81.5,0,12,1,0,0,Match Report
Y,10,0,90,0,0,3,0,0,0,0,0,70,1,0,0,0,1,Sat,Premier League,Matchweek 12,Home,W 2-0,Bournemouth,Newcastle Utd,CB,0,0,0,77,0,0.0,0.0,0.0,2,1,61,87.1,5,53,2,0,0,Match Report
Y,11,0,90,0,0,1,0,0,0,0,0,62,1,0,0,0,0,Sat,Premier League,Matchweek 13,Away,W 3-1,Bournemouth,Sheffield Utd,CB,0,0,0,75,2,0.0,0.0,0.0,2,0,49,79.0,2,36,0,1,1,Match Report
Y,12,0,90,0,0,2,0,0,0,0,0,30,2,0,0,0,1,Sun,Premier League,Matchweek 14,Home,D 2-2,Bournemouth,Aston Villa,CB,0,0,0,47,5,0.0,0.0,0.0,1,0,20,66.7,2,20,0,0,0,Match Report
Y,13,0,90,0,0,0,0,0,2,0,1,46,2,0,1,0,1,Wed,Premier League,Matchweek 15,Away,W 2-0,Bournemouth,Crystal Palace,CB,0,0,0,52,1,0.6,0.6,0.1,1,0,37,80.4,4,35,0,0,0,Match Report
Y,14,0,90,0,0,2,0,0,1,0,1,33,1,0,1,0,0,Sat,Premier League,Matchweek 16,Away,W 3-0,Bournemouth,Manchester Utd,CB,0,0,0,53,3,0.1,0.1,0.1,1,0,26,78.8,4,19,0,0,0,Match Report
Y,15,0,90,0,0,0,0,0,0,0,0,95,2,0,0,1,0,Sat,Premier League,Matchweek 18,Away,W 3-2,Bournemouth,Nott'ham Forest,CB,0,0,0,109,5,0.0,0.0,0.1,5,2,81,85.3,13,61,2,0,0,Match Report
Y,16,0,90,0,0,1,0,0,0,0,0,63,0,0,0,0,0,Tue,Premier League,Matchweek 19,Home,W 3-0,Bournemouth,Fulham,CB,0,0,0,73,3,0.0,0.0,0.0,1,0,47,74.6,4,52,2,0,0,Match Report
Y,17,0,90,0,0,5,0,0,1,0,0,52,2,0,0,0,1,Sun,Premier League,Matchweek 20,Away,L 1-3,Bournemouth,Tottenham,CB,0,0,0,65,1,0.0,0.0,0.1,4,0,48,92.3,5,32,0,0,0,Match Report
Y,18,0,90,0,0,1,0,0,1,0,0,64,1,0,0,0,0,Thu,Premier League,Matchweek 22,Away,D 1-1,Bournemouth,West Ham,CB,0,0,0,76,1,0.1,0.1,0.0,1,0,48,75.0,5,40,0,0,0,Match Report
Y,19,0,90,0,0,2,0,0,0,0,0,46,1,0,0,0,1,Sun,Premier League,Matchweek 23,Home,D 1-1,Bournemouth,Nott'ham Forest,CB,0,0,0,56,0,0.0,0.0,0.0,1,0,30,65.2,5,31,0,2,1,Match Report
Y,20,0,90,0,0,1,0,0,1,0,1,79,1,0,1,0,0,Sat,Premier League,Matchweek 24,Away,L 1-3,Bournemouth,Fulham,CB,0,0,0,89,3,0.1,0.1,0.3,5,0,67,84.8,11,59,5,2,2,Match Report
Y,21,0,90,0,0,0,0,0,1,0,0,27,2,0,0,0,1,Sat,Premier League,Matchweek 25,Away,D 2-2,Bournemouth,Newcastle Utd,CB,0,0,0,34,0,0.0,0.0,0.0,1,1,16,59.3,2,19,0,0,0,Match Report
Y,22,0,79,0,0,4,0,0,0,0,0,26,3,0,0,0,1,Sat,Premier League,Matchweek 26,Home,L 0-1,Bournemouth,Manchester City,CB,0,0,0,41,2,0.0,0.0,0.0,1,0,18,69.2,1,22,0,1,0,Match Report
Y,23,0,11,0,0,0,0,0,0,0,0,5,0,0,0,0,0,Sun,Premier League,Matchweek 27,Away,W 2-0,Bournemouth,Burnley,CB,0,0,0,7,0,0.0,0.0,0.0,1,0,3,60.0,2,3,0,0,0,Match Report
N,24,0,5,0,0,0,0,0,0,0,0,3,0,0,0,0,0,Sat,Premier League,Matchweek 32,Away,L 1-2,Bournemouth,Luton Town,"CB,LB",0,0,0,3,0,0.0,0.0,0.0,0,0,3,100.0,2,3,1,0,0,Match Report
Y,25,0,90,0,0,3,0,0,0,0,0,46,3,0,0,2,1,Sat,Premier League,Matchweek 33,Home,D 2-2,Bournemouth,Manchester Utd,CB,0,0,0,57,0,0.0,0.0,0.1,2,2,35,76.1,10,27,0,0,0,Match Report
Y,26,0,62,0,0,1,0,0,0,0,0,37,1,0,0,0,1,Sun,Premier League,Matchweek 34,Away,L 1-3,Bournemouth,Aston Villa,CB,0,0,0,42,2,0.0,0.0,0.0,0,0,25,67.6,3,29,0,0,0,Match Report
Y,27,0,86,0,0,5,0,0,4,0,0,30,0,0,0,0,0,Wed,Premier League,Matchweek 29,Away,W 1-0,Bournemouth,Wolves,CB,0,0,0,48,2,0.4,0.4,0.4,2,0,20,66.7,4,22,4,3,2,Match Report
Y,28,0,89,0,0,0,0,0,1,0,1,29,1,0,1,0,1,Sun,Premier League,Matchweek 35,Home,W 3-0,Bournemouth,Brighton,CB,0,0,0,42,1,0.6,0.6,0.0,0,0,24,82.8,2,18,0,2,0,Match Report
Y,29,0,79,0,0,0,0,0,0,0,0,50,1,0,0,0,0,Sat,Premier League,Matchweek 36,Away,L 0-3,Bournemouth,Arsenal,CB,0,0,0,63,6,0.0,0.0,0.0,0,0,36,72.0,4,41,0,1,0,Match Report
Y,30,0,90,0,0,1,0,0,0,0,0,49,3,0,0,1,1,Sat,Premier League,Matchweek 37,Home,L 1-2,Bournemouth,Brentford,CB,0,0,0,60,0,0.0,0.0,0.2,3,1,39,79.6,7,39,3,1,1,Match Report
Y,31,0,83,0,0,6,0,0,1,0,0,46,3,0,0,0,1,Sun,Premier League,Matchweek 38,Away,L 1-2,Bournemouth,Chelsea,CB,0,0,0,64,3,0.1,0.1,0.1,7,0,33,71.7,7,34,2,0,0,Match Report
