game_started,game_count,games,minutes,gk_saves,clearances,tackles,assisted_shots,fouled,shots,crosses,shots_on_target,passes,interceptions,fouls,goals,assists,cards_yellow,dayofweek,comp,round,venue,result,team,opponent,position,pens_made,pens_att,cards_red,touches,blocks,xg,npxg,xg_assist,sca,gca,passes_completed,passes_pct,progressive_passes,carries,progressive_carries,take_ons,take_ons_won,match_report
N,1,0,20,0,0,0,0,0,0,0,0,4,0,0,0,1,0,Sat,Premier League,Matchweek 4,Away,D 2-2,Bournemouth,Brentford,"LW,LM",0,0,0,6,1,0.0,0.0,1.0,1,1,2,50.0,0,2,0,0,0,Match Report
Y,2,0,72,0,0,1,0,0,2,0,1,19,0,0,0,0,0,Sun,Premier League,Matchweek 5,Home,D 0-0,Bournemouth,Chelsea,RW,0,0,0,26,0,0.1,0.1,0.0,3,0,15,78.9,0,16,3,5,3,Match Report
Y,3,0,62,0,0,2,0,0,0,0,0,19,2,0,0,0,0,Sun,Premier League,Matchweek 6,Away,L 1-3,Bournemouth,Brighton,RW,0,0,0,29,2,0.0,0.0,0.1,1,0,14,73.7,2,15,0,5,4,Match Report
Y,4,0,58,0,0,0,0,0,1,0,0,18,0,0,0,0,0,Sat,Premier League,Matchweek 7,Home,L 0-4,Bournemouth,Arsenal,RW,0,0,0,26,1,0.0,0.0,0.1,2,0,9,50.0,1,13,4,4,2,Match Report
Y,5,0,90,0,0,1,0,0,2,0,1,46,0,0,0,0,0,Sat,Premier League,Matchweek 8,Away,L 0-3,Bournemouth,Everton,"RW,LB",0,0,0,64,3,0.0,0.0,0.0,2,0,36,78.3,4,32,5,10,7,Match Report
Y,6,0,74,0,0,3,0,0,0,0,0,20,0,0,0,0,0,Sat,Premier League,Matchweek 9,Home,L 1-2,Bournemouth,Wolves,LW,0,0,0,29,0,0.0,0.0,0.0,2,0,16,80.0,1,18,3,4,2,Match Report
Y,7,0,81,0,0,8,0,0,3,0,2,41,0,0,0,0,0,Sat,Premier League,Matchweek 10,Home,W 2-1,Bournemouth,Burnley,LW,0,0,0,55,1,0.4,0.4,0.0,2,0,25,61.0,1,29,0,3,2,Match Report
Y,8,0,71,0,0,0,0,0,0,0,0,20,0,0,0,0,0,Sat,Premier League,Matchweek 11,Away,L 1-6,Bournemouth,Manchester City,LM,0,0,0,25,0,0.0,0.0,0.0,0,0,13,65.0,0,13,0,0,0,Match Report
Y,9,0,89,0,0,3,0,0,2,0,1,43,0,0,0,0,0,Sat,Premier League,Matchweek 12,Home,W 2-0,Bournemouth,Newcastle Utd,"LW,RW",0,0,0,57,2,0.2,0.2,0.1,4,0,36,83.7,6,32,7,2,2,Match Report
Y,10,0,81,0,0,1,0,0,6,0,5,48,0,0,2,0,0,Sat,Premier League,Matchweek 13,Away,W 3-1,Bournemouth,Sheffield Utd,LW,0,0,0,65,1,1.2,1.2,0.2,3,0,33,68.8,5,38,5,2,1,Match Report
