game_started,game_count,games,minutes,gk_saves,clearances,tackles,assisted_shots,fouled,shots,crosses,shots_on_target,passes,interceptions,fouls,goals,assists,cards_yellow,dayofweek,comp,round,venue,result,team,opponent,position,match_report
Y,1,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Sun,Premier League,Matchweek 1,Home,D 2-2,Brentford,Tottenham,GK,Match Report
Y,2,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Sat,Premier League,Matchweek 2,Away,W 3-0,Brentford,Fulham,GK,Match Report
Y,3,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Sat,Premier League,Matchweek 3,Home,D 1-1,Brentford,Crystal Palace,GK,Match Report
Y,4,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Sat,Premier League,Matchweek 4,Home,D 2-2,Brentford,Bournemouth,GK,Match Report
Y,5,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Sat,Premier League,Matchweek 5,Away,L 0-1,Brentford,Newcastle Utd,GK,Match Report
Y,6,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Sat,Premier League,Matchweek 6,Home,L 1-3,Brentford,Everton,GK,Match Report
Y,7,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Sun,Premier League,Matchweek 7,Away,D 1-1,Brentford,Nott'ham Forest,GK,Match Report
Y,8,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Sat,Premier League,Matchweek 9,Home,W 3-0,Brentford,Burnley,GK,Match Report
Y,9,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Sat,Premier League,Matchweek 10,Away,W 2-0,Brentford,Chelsea,GK,Match Report
Y,10,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Sat,Premier League,Matchweek 11,Home,W 3-2,Brentford,West Ham,GK,Match Report
Y,11,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Sun,Premier League,Matchweek 12,Away,L 0-3,Brentford,Liverpool,GK,Match Report
Y,12,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Sat,Premier League,Matchweek 13,Home,L 0-1,Brentford,Arsenal,GK,Match Report
Y,13,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Sat,Premier League,Matchweek 14,Home,W 3-1,Brentford,Luton Town,GK,Match Report
Y,14,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Wed,Premier League,Matchweek 15,Away,L 1-2,Brentford,Brighton,GK,Match Report
Y,15,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Sat,Premier League,Matchweek 16,Away,L 0-1,Brentford,Sheffield Utd,GK,Match Report
Y,16,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Sun,Premier League,Matchweek 17,Home,L 1-2,Brentford,Aston Villa,GK,Match Report
Y,17,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Wed,Premier League,Matchweek 19,Home,L 1-4,Brentford,Wolves,GK,Match Report
Y,18,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Sat,Premier League,Matchweek 20,Away,L 1-3,Brentford,Crystal Palace,GK,Match Report
Y,19,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Sat,Premier League,Matchweek 21,Home,W 3-2,Brentford,Nott'ham Forest,GK,Match Report
Y,20,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Wed,Premier League,Matchweek 22,Away,L 2-3,Brentford,Tottenham,GK,Match Report
Y,21,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Mon,Premier League,Matchweek 23,Home,L 1-3,Brentford,Manchester City,GK,Match Report
Y,22,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Sat,Premier League,Matchweek 24,Away,W 2-0,Brentford,Wolves,GK,Match Report
Y,23,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Sat,Premier League,Matchweek 25,Home,L 1-4,Brentford,Liverpool,GK,Match Report
Y,24,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Tue,Premier League,Matchweek 18,Away,L 0-1,Brentford,Manchester City,GK,Match Report
Y,25,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Mon,Premier League,Matchweek 26,Away,L 2-4,Brentford,West Ham,GK,Match Report
Y,26,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Sat,Premier League,Matchweek 27,Home,D 2-2,Brentford,Chelsea,GK,Match Report
Y,27,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Sat,Premier League,Matchweek 28,Away,L 1-2,Brentford,Arsenal,GK,Match Report
Y,28,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Sat,Premier League,Matchweek 29,Away,L 1-2,Brentford,Burnley,GK,Match Report
Y,29,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Sat,Premier League,Matchweek 30,Home,D 1-1,Brentford,Manchester Utd,GK,Match Report
Y,30,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Wed,Premier League,Matchweek 31,Home,D 0-0,Brentford,Brighton,GK,Match Report
Y,31,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Sat,Premier League,Matchweek 32,Away,D 3-3,Brentford,Aston Villa,GK,Match Report
Y,32,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Sat,Premier League,Matchweek 33,Home,W 2-0,Brentford,Sheffield Utd,GK,Match Report
Y,33,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Sat,Premier League,Matchweek 34,Away,W 5-1,Brentford,Luton Town,GK,Match Report
Y,34,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Sat,Premier League,Matchweek 35,Away,L 0-1,Brentford,Everton,GK,Match Report
Y,35,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Sat,Premier League,Matchweek 36,Home,D 0-0,Brentford,Fulham,GK,Match Report
Y,36,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Sat,Premier League,Matchweek 37,Away,W 2-1,Brentford,Bournemouth,GK,Match Report
Y,37,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Sun,Premier League,Matchweek 38,Home,L 2-4,Brentford,Newcastle Utd,GK,Match Report
