game_started,game_count,dayofweek,comp,round,venue,result,team,opponent,position,minutes,goals,assists,pens_made,pens_att,shots,shots_on_target,cards_yellow,cards_red,touches,tackles,interceptions,blocks,xg,npxg,xg_assist,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,take_ons,take_ons_won,match_report
Y,1,Sat,Premier League,Matchweek 1,Home,W 2-1,Arsenal,Nott'ham Forest,RM,90,0,0,0,0,3,0,0,0,80,3,0,0,0.1,0.1,0.0,6,0,55,69,79.7,9,65,8,0,0,Match Report
Y,2,Mon,Premier League,Matchweek 2,Away,W 1-0,Arsenal,Crystal Palace,"RM,CM",88,1,0,1,1,2,1,0,0,47,4,0,0,0.8,0.0,0.0,3,0,33,37,89.2,3,28,1,1,0,Match Report
Y,3,Sat,Premier League,Matchweek 3,Home,D 2-2,Arsenal,Fulham,RM,83,0,0,0,0,3,2,0,0,60,2,0,2,0.1,0.1,0.0,2,0,45,51,88.2,6,38,3,5,3,Match Report
Y,4,Sun,Premier League,Matchweek 4,Home,W 3-1,Arsenal,Manchester Utd,RM,89,1,0,0,0,5,2,0,0,46,0,1,2,0.3,0.3,0.0,5,1,26,35,74.3,7,31,4,1,1,Match Report
Y,5,Sun,Premier League,Matchweek 5,Away,W 1-0,Arsenal,Everton,RM,90,0,0,0,0,2,2,0,0,57,0,0,0,0.3,0.3,0.1,9,1,44,51,86.3,7,42,3,2,1,Match Report
Y,6,Sun,Premier League,Matchweek 6,Home,D 2-2,Arsenal,Tottenham,RM,90,0,0,0,0,1,1,1,0,44,3,0,2,0.0,0.0,0.1,5,0,20,33,60.6,5,19,0,0,0,Match Report
Y,7,Sat,Premier League,Matchweek 7,Away,W 4-0,Arsenal,Bournemouth,RM,90,1,1,1,1,0,0,0,0,67,2,0,1,0.8,0.0,0.2,6,2,49,56,87.5,4,43,2,2,1,Match Report
Y,8,Sun,Premier League,Matchweek 8,Home,W 1-0,Arsenal,Manchester City,RM,90,0,0,0,0,3,0,0,0,57,3,1,2,0.1,0.1,0.1,3,0,32,42,76.2,3,38,1,4,1,Match Report
Y,9,Sat,Premier League,Matchweek 9,Away,D 2-2,Arsenal,Chelsea,RM,77,0,0,0,0,0,0,0,0,37,1,1,0,0.0,0.0,0.2,1,0,21,27,77.8,2,19,0,1,0,Match Report
Y,10,Sat,Premier League,Matchweek 13,Away,W 1-0,Arsenal,Brentford,RM,89,0,0,0,0,1,0,0,0,66,0,0,1,0.1,0.1,0.1,4,1,52,59,88.1,11,51,3,3,1,Match Report
