game_started,game_count,games,minutes,gk_saves,clearances,tackles,assisted_shots,fouled,shots,crosses,shots_on_target,passes,interceptions,fouls,goals,assists,cards_yellow,dayofweek,comp,round,venue,result,team,opponent,position,pens_made,pens_att,cards_red,touches,blocks,xg,npxg,xg_assist,sca,gca,passes_completed,passes_pct,progressive_passes,carries,progressive_carries,take_ons,take_ons_won,match_report
Y,1,0,48,0,0,2,0,0,0,0,0,26,0,0,0,0,0,Sun,Premier League,Matchweek 1,Home,D 2-2,Brentford,Tottenham,CM,0,0,0,34,0,0.0,0.0,0.0,2,1,13,50.0,2,15,1,2,0,Match Report
Y,2,0,90,0,0,3,0,0,2,0,1,59,2,0,0,0,0,Sat,Premier League,Matchweek 2,Away,W 3-0,Brentford,Fulham,"LM,CM",0,0,0,71,0,0.1,0.1,0.3,7,0,46,78.0,6,36,1,3,2,Match Report
Y,3,0,70,0,0,1,0,0,0,0,0,43,0,0,0,0,0,Sat,Premier League,Matchweek 3,Home,D 1-1,Brentford,Crystal Palace,RM,0,0,0,53,3,0.0,0.0,0.1,2,0,35,81.4,3,24,0,0,0,Match Report
Y,4,0,80,0,0,3,0,0,1,0,1,50,0,0,1,0,1,Sat,Premier League,Matchweek 4,Home,D 2-2,Brentford,Bournemouth,RM,0,0,0,62,1,0.0,0.0,0.4,3,0,36,72.0,1,20,0,1,0,Match Report
Y,5,0,90,0,0,3,0,0,0,0,0,60,3,0,0,0,0,Sat,Premier League,Matchweek 5,Away,L 0-1,Brentford,Newcastle Utd,CM,0,0,0,70,2,0.0,0.0,0.2,3,0,41,68.3,11,37,0,0,0,Match Report
Y,6,0,90,0,0,2,0,0,1,0,1,50,0,0,1,0,0,Sat,Premier League,Matchweek 6,Home,L 1-3,Brentford,Everton,"RM,CM",0,0,0,58,2,0.1,0.1,0.0,0,0,37,74.0,2,31,2,3,0,Match Report
Y,7,0,68,0,0,2,0,0,0,0,0,31,1,0,0,1,0,Sun,Premier League,Matchweek 7,Away,D 1-1,Brentford,Nott'ham Forest,RM,0,0,0,42,0,0.0,0.0,0.3,3,1,20,64.5,5,22,0,0,0,Match Report
Y,8,0,82,0,0,3,0,0,1,0,1,34,0,0,1,0,0,Sat,Premier League,Matchweek 8,Away,L 1-2,Brentford,Manchester Utd,CM,0,0,0,43,3,0.1,0.1,0.1,5,0,26,76.5,2,17,0,1,1,Match Report
Y,9,0,75,0,0,2,0,0,1,0,0,44,0,0,0,0,1,Sat,Premier League,Matchweek 9,Home,W 3-0,Brentford,Burnley,LM,0,0,0,52,2,0.1,0.1,0.3,5,0,34,77.3,4,22,1,3,2,Match Report
Y,10,0,63,0,0,2,0,0,0,0,0,21,0,0,0,0,0,Sat,Premier League,Matchweek 10,Away,W 2-0,Brentford,Chelsea,CM,0,0,0,30,1,0.0,0.0,0.0,1,1,14,66.7,1,14,0,1,0,Match Report
Y,11,0,78,0,0,1,0,0,0,0,0,56,0,0,0,1,0,Sat,Premier League,Matchweek 11,Home,W 3-2,Brentford,West Ham,LM,0,0,0,62,2,0.0,0.0,0.2,7,1,48,85.7,10,34,1,1,1,Match Report
Y,12,0,71,0,0,0,0,0,1,0,1,20,2,0,0,0,0,Sun,Premier League,Matchweek 12,Away,L 0-3,Brentford,Liverpool,CM,0,0,0,27,1,0.1,0.1,0.5,1,0,13,65.0,2,9,1,2,1,Match Report
N,13,0,24,0,0,0,0,0,1,0,0,43,0,0,0,0,0,Wed,Premier League,Matchweek 19,Home,L 1-4,Brentford,Wolves,RM,0,0,0,47,1,0.0,0.0,0.0,2,0,30,69.8,5,29,1,2,0,Match Report
Y,14,0,62,0,0,3,0,0,0,0,0,41,0,0,0,0,0,Sat,Premier League,Matchweek 20,Away,L 1-3,Brentford,Crystal Palace,CM,0,0,0,50,1,0.0,0.0,0.0,4,1,30,73.2,7,24,0,2,0,Match Report
Y,15,0,89,0,0,1,0,0,1,0,1,56,0,0,0,1,0,Sat,Premier League,Matchweek 21,Home,W 3-2,Brentford,Nott'ham Forest,CM,0,0,0,65,3,0.0,0.0,0.3,3,1,50,89.3,5,22,1,1,0,Match Report
