game_started,game_count,games,minutes,gk_saves,clearances,tackles,assisted_shots,fouled,shots,crosses,shots_on_target,passes,interceptions,fouls,goals,assists,cards_yellow,dayofweek,comp,round,venue,result,team,opponent,position,pens_made,pens_att,cards_red,touches,blocks,xg,npxg,xg_assist,sca,gca,passes_completed,passes_pct,progressive_passes,carries,progressive_carries,take_ons,take_ons_won,match_report
Y,1,0,86,0,0,0,0,0,2,0,1,51,1,0,0,0,1,Sat,Premier League,Matchweek 1,Away,L 1-5,Aston Villa,Newcastle Utd,"RB,RW",0,0,0,62,2,0.7,0.7,0.0,2,0,43,84.3,2,25,2,2,1,Match Report
Y,2,0,90,0,0,0,0,0,0,0,0,51,0,0,0,0,0,Sun,Premier League,Matchweek 2,Home,W 4-0,Aston Villa,Everton,"RB,WB",0,0,0,63,5,0.0,0.0,0.1,1,0,44,86.3,4,41,1,5,1,Match Report
Y,3,0,90,0,0,3,0,0,6,0,3,35,0,0,2,0,0,Sun,Premier League,Matchweek 3,Away,W 3-1,Aston Villa,Burnley,WB,0,0,0,52,0,1.3,1.3,0.0,4,1,28,80.0,2,33,3,2,2,Match Report
Y,4,0,90,0,0,4,0,0,1,0,1,32,0,0,0,0,0,Sun,Premier League,Matchweek 4,Away,L 0-3,Aston Villa,Liverpool,"RB,RM",0,0,0,45,1,0.1,0.1,0.0,1,0,23,71.9,1,25,1,1,0,Match Report
Y,5,0,90,0,0,6,0,0,2,0,0,62,1,0,0,0,1,Sat,Premier League,Matchweek 5,Home,W 3-1,Aston Villa,Crystal Palace,RB,0,0,0,74,1,0.6,0.6,0.0,1,0,53,85.5,6,42,6,2,0,Match Report
Y,6,0,90,0,0,0,0,0,3,0,2,40,1,0,0,0,0,Sun,Premier League,Matchweek 6,Away,W 1-0,Aston Villa,Chelsea,RB,0,0,0,46,1,0.1,0.1,0.0,0,0,36,90.0,1,31,3,0,0,Match Report
Y,7,0,90,0,0,6,0,0,0,0,0,33,1,0,0,1,0,Sat,Premier League,Matchweek 7,Home,W 6-1,Aston Villa,Brighton,RB,0,0,0,46,3,0.0,0.0,0.4,1,1,26,78.8,1,17,1,1,0,Match Report
Y,8,0,81,0,0,2,0,0,2,0,1,15,2,0,0,0,0,Sun,Premier League,Matchweek 8,Away,D 1-1,Aston Villa,Wolves,RM,0,0,0,27,0,0.2,0.2,0.0,3,1,7,46.7,1,10,2,2,0,Match Report
Y,9,0,90,0,0,5,0,0,0,0,0,44,1,0,0,0,0,Sun,Premier League,Matchweek 9,Home,W 4-1,Aston Villa,West Ham,RB,0,0,0,59,1,0.0,0.0,0.0,1,0,39,88.6,3,35,3,2,0,Match Report
Y,10,0,78,0,0,1,0,0,0,0,0,56,0,0,0,0,1,Sun,Premier League,Matchweek 10,Home,W 3-1,Aston Villa,Luton Town,RB,0,0,0,61,0,0.0,0.0,0.5,3,0,52,92.9,4,46,2,2,1,Match Report
