game_started,game_count,games,minutes,gk_saves,clearances,tackles,assisted_shots,fouled,shots,crosses,shots_on_target,passes,interceptions,fouls,goals,assists,cards_yellow,dayofweek,comp,round,venue,result,team,opponent,position,pens_made,pens_att,cards_red,touches,blocks,xg,npxg,xg_assist,sca,gca,passes_completed,passes_pct,progressive_passes,carries,progressive_carries,take_ons,take_ons_won,match_report
Y,1,0,74,0,0,2,0,0,0,0,0,44,0,0,0,0,0,Sat,Premier League,Matchweek 1,Home,D 1-1,Bournemouth,West Ham,RB,0,0,0,50,0,0.0,0.0,0.1,4,0,39,88.6,3,27,3,3,2,Match Report
Y,2,0,90,0,0,2,0,0,1,0,0,43,0,0,0,0,0,Sat,Premier League,Matchweek 2,Away,L 1-3,Bournemouth,Liverpool,RB,0,0,0,59,3,0.0,0.0,0.0,1,0,33,76.7,4,27,0,5,0,Match Report
Y,3,0,90,0,0,1,0,0,0,0,0,56,0,0,0,0,0,Sat,Premier League,Matchweek 3,Home,L 0-2,Bournemouth,Tottenham,RB,0,0,0,61,2,0.0,0.0,0.1,2,0,42,75.0,4,25,0,2,2,Match Report
Y,4,0,90,0,0,6,0,0,0,0,0,35,0,0,0,0,1,Sat,Premier League,Matchweek 4,Away,D 2-2,Bournemouth,Brentford,RB,0,0,0,47,1,0.0,0.0,0.0,1,0,22,62.9,2,19,0,2,1,Match Report
Y,5,0,90,0,0,1,0,0,0,0,0,39,3,0,0,0,0,Sun,Premier League,Matchweek 5,Home,D 0-0,Bournemouth,Chelsea,RB,0,0,0,51,1,0.0,0.0,0.0,4,0,27,69.2,4,25,3,0,0,Match Report
Y,6,0,90,0,0,3,0,0,0,0,0,29,0,0,0,0,0,Sun,Premier League,Matchweek 6,Away,L 1-3,Bournemouth,Brighton,RB,0,0,0,38,1,0.0,0.0,0.0,0,0,20,69.0,2,17,1,1,1,Match Report
Y,7,0,90,0,0,1,0,0,0,0,0,44,0,0,0,0,0,Sat,Premier League,Matchweek 7,Home,L 0-4,Bournemouth,Arsenal,RB,0,0,0,48,0,0.0,0.0,0.1,1,0,37,84.1,1,33,4,1,0,Match Report
N,8,0,5,0,0,0,0,0,0,0,0,5,0,0,0,0,0,Sat,Premier League,Matchweek 8,Away,L 0-3,Bournemouth,Everton,RB,0,0,0,6,0,0.0,0.0,0.0,0,0,5,100.0,0,3,0,0,0,Match Report
Y,9,0,90,0,0,1,0,0,0,0,0,35,0,0,0,0,0,Sat,Premier League,Matchweek 9,Home,L 1-2,Bournemouth,Wolves,RB,0,0,0,46,1,0.0,0.0,0.0,0,0,26,74.3,3,30,1,2,0,Match Report
Y,10,0,84,0,0,3,0,0,0,0,0,34,1,0,0,0,0,Sat,Premier League,Matchweek 10,Home,W 2-1,Bournemouth,Burnley,RB,0,0,0,46,0,0.0,0.0,0.0,1,0,24,70.6,3,25,0,5,2,Match Report
Y,11,0,90,0,0,1,0,0,0,0,0,40,0,0,0,1,0,Sat,Premier League,Matchweek 11,Away,L 1-6,Bournemouth,Manchester City,RB,0,0,0,47,0,0.0,0.0,0.6,2,1,29,72.5,2,28,2,1,0,Match Report
Y,12,0,67,0,0,3,0,0,0,0,0,37,1,0,0,0,0,Sat,Premier League,Matchweek 12,Home,W 2-0,Bournemouth,Newcastle Utd,RB,0,0,0,43,0,0.0,0.0,0.0,1,0,28,75.7,3,21,2,4,2,Match Report
N,13,0,45,0,0,1,0,0,0,0,0,29,0,0,0,0,0,Sun,Premier League,Matchweek 20,Away,L 1-3,Bournemouth,Tottenham,"LB,RB",0,0,0,31,0,0.0,0.0,0.0,2,0,28,96.6,5,15,1,1,0,Match Report
Y,14,0,90,0,0,3,0,0,0,0,0,31,1,0,0,0,0,Sun,Premier League,Matchweek 21,Home,L 0-4,Bournemouth,Liverpool,RB,0,0,0,42,0,0.0,0.0,0.0,1,0,19,61.3,4,19,2,4,2,Match Report
N,15,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,Tue,Premier League,Matchweek 31,Home,W 1-0,Bournemouth,Crystal Palace,RB,0,0,0,3,0,0.0,0.0,0.0,0,0,3,100.0,0,1,0,0,0,Match Report
N,16,0,21,0,0,0,0,0,1,0,0,12,0,0,0,0,0,Sat,Premier League,Matchweek 33,Home,D 2-2,Bournemouth,Manchester Utd,RB,0,0,0,14,0,0.0,0.0,0.0,0,0,12,100.0,1,9,0,0,0,Match Report
N,17,0,45,0,0,1,0,0,0,0,0,24,0,0,0,0,0,Sun,Premier League,Matchweek 34,Away,L 1-3,Bournemouth,Aston Villa,RB,0,0,0,29,0,0.0,0.0,0.0,0,0,20,83.3,1,18,2,1,1,Match Report
N,18,0,14,0,0,0,0,0,0,0,0,10,0,0,0,0,0,Sun,Premier League,Matchweek 35,Home,W 3-0,Bournemouth,Brighton,AM,0,0,0,11,0,0.0,0.0,0.0,1,1,8,80.0,0,4,1,0,0,Match Report
N,19,0,2,0,0,0,0,0,0,0,0,7,0,0,0,0,0,Sat,Premier League,Matchweek 36,Away,L 0-3,Bournemouth,Arsenal,RB,0,0,0,7,0,0.0,0.0,0.0,0,0,7,100.0,0,5,0,0,0,Match Report
Y,20,0,69,0,0,0,0,0,0,0,0,24,2,0,0,0,0,Sun,Premier League,Matchweek 38,Away,L 1-2,Bournemouth,Chelsea,RB,0,0,0,32,0,0.0,0.0,0.0,2,0,21,87.5,1,13,0,2,1,Match Report
