game_started,game_count,games,minutes,gk_saves,clearances,tackles,assisted_shots,fouled,shots,crosses,shots_on_target,passes,interceptions,fouls,goals,assists,cards_yellow,dayofweek,comp,round,venue,result,team,opponent,position,pens_made,pens_att,cards_red,touches,blocks,xg,npxg,xg_assist,sca,gca,passes_completed,passes_pct,progressive_passes,carries,progressive_carries,take_ons,take_ons_won,match_report
Y,1,0,90,0,0,2,0,0,0,0,0,56,0,0,0,0,0,Sat,Premier League,Matchweek 1,Home,D 1-1,Bournemouth,West Ham,LB,0,0,0,69,1,0.0,0.0,0.0,1,0,43,76.8,3,35,1,3,1,Match Report
Y,2,0,90,0,0,5,0,0,0,0,0,44,4,0,0,0,0,Sat,Premier League,Matchweek 2,Away,L 1-3,Bournemouth,Liverpool,LB,0,0,0,62,2,0.0,0.0,0.0,0,0,32,72.7,3,21,1,2,1,Match Report
Y,3,0,90,0,0,2,0,0,0,0,0,46,0,0,0,0,0,Sat,Premier League,Matchweek 3,Home,L 0-2,Bournemouth,Tottenham,LB,0,0,0,54,2,0.0,0.0,0.0,2,0,32,69.6,2,28,2,2,2,Match Report
Y,4,0,90,0,0,5,0,0,0,0,0,34,0,0,0,0,0,Sat,Premier League,Matchweek 4,Away,D 2-2,Bournemouth,Brentford,LB,0,0,0,47,0,0.0,0.0,0.0,2,1,23,67.6,0,19,1,0,0,Match Report
Y,5,0,73,0,0,2,0,0,0,0,0,35,2,0,0,0,1,Sun,Premier League,Matchweek 5,Home,D 0-0,Bournemouth,Chelsea,LB,0,0,0,44,2,0.0,0.0,0.0,0,0,25,71.4,3,18,3,0,0,Match Report
Y,6,0,90,0,0,3,0,0,0,0,0,30,1,0,0,0,0,Sun,Premier League,Matchweek 6,Away,L 1-3,Bournemouth,Brighton,LB,0,0,0,39,0,0.0,0.0,0.0,0,0,23,76.7,0,20,3,1,1,Match Report
Y,7,0,82,0,0,2,0,0,1,0,0,37,0,0,0,0,0,Sat,Premier League,Matchweek 7,Home,L 0-4,Bournemouth,Arsenal,LB,0,0,0,45,1,0.1,0.1,0.0,0,0,28,75.7,1,24,1,2,1,Match Report
Y,8,0,66,0,0,2,0,0,1,0,0,31,1,0,0,0,0,Sat,Premier League,Matchweek 8,Away,L 0-3,Bournemouth,Everton,LB,0,0,0,45,1,0.0,0.0,0.0,0,0,21,67.7,0,15,2,1,1,Match Report
Y,9,0,84,0,0,2,0,0,0,0,0,33,0,0,0,0,0,Sat,Premier League,Matchweek 9,Home,L 1-2,Bournemouth,Wolves,LB,0,0,0,44,2,0.0,0.0,0.0,1,0,20,60.6,2,25,2,3,0,Match Report
N,10,0,9,0,0,1,0,0,1,0,0,3,0,0,0,0,0,Sat,Premier League,Matchweek 10,Home,W 2-1,Bournemouth,Burnley,LW,0,0,0,5,0,0.0,0.0,0.0,0,0,1,33.3,0,2,0,0,0,Match Report
