game_started,game_count,dayofweek,comp,round,venue,result,team,opponent,position,minutes,goals,assists,pens_made,pens_att,shots,shots_on_target,cards_yellow,cards_red,touches,tackles,interceptions,blocks,xg,npxg,xg_assist,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,take_ons,take_ons_won,match_report
Y,1,Sun,Premier League,Matchweek 1,Away,D 1-1,Liverpool,Chelsea,RW,76,0,1,0,0,3,0,0,0,29,1,0,1,0.3,0.3,0.5,3,1,18,23,78.3,3,21,2,0,0,Match Report
Y,2,Sat,Premier League,Matchweek 2,Home,W 3-1,Liverpool,Bournemouth,"RW,FW",85,1,0,0,1,4,2,0,0,44,1,0,1,1.2,0.3,0.0,3,1,28,33,84.8,4,30,2,3,0,Match Report
Y,3,Sun,Premier League,Matchweek 3,Away,W 2-1,Liverpool,Newcastle Utd,"FW,RW,RM",90,0,1,0,0,2,1,0,0,36,1,1,0,0.2,0.2,0.4,4,2,23,24,95.8,1,28,1,5,3,Match Report
Y,4,Sun,Premier League,Matchweek 4,Home,W 3-0,Liverpool,Aston Villa,RW,90,1,0,0,0,4,3,0,0,40,2,0,0,0.8,0.8,0.4,5,0,22,27,81.5,4,24,3,3,0,Match Report
Y,5,Sat,Premier League,Matchweek 5,Away,W 3-1,Liverpool,Wolves,"RW,FW",89,0,2,0,0,1,0,0,0,31,1,0,0,0.2,0.2,1.6,6,2,19,25,76.0,2,19,2,3,0,Match Report
Y,6,Sun,Premier League,Matchweek 6,Home,W 3-1,Liverpool,West Ham,RW,90,1,0,1,1,4,1,0,0,57,1,0,0,1.0,0.2,0.6,5,1,29,43,67.4,8,51,7,4,2,Match Report
Y,7,Sat,Premier League,Matchweek 7,Away,L 1-2,Liverpool,Tottenham,"FW,RW,RM",73,0,0,0,0,1,0,1,0,30,0,0,0,0.0,0.0,0.7,3,0,13,21,61.9,3,22,6,5,1,Match Report
Y,8,Sun,Premier League,Matchweek 8,Away,D 2-2,Liverpool,Brighton,RW,90,2,0,1,1,4,1,0,0,46,1,0,1,1.4,0.6,0.0,3,0,23,32,71.9,5,29,2,5,2,Match Report
Y,9,Sat,Premier League,Matchweek 9,Home,W 2-0,Liverpool,Everton,RW,90,2,0,1,1,3,1,0,0,38,0,0,0,1.4,0.6,0.2,5,0,21,29,72.4,4,23,3,2,0,Match Report
Y,10,Sun,Premier League,Matchweek 10,Home,W 3-0,Liverpool,Nott'ham Forest,RW,90,1,0,0,0,3,1,0,0,64,0,0,2,0.8,0.8,0.1,5,1,37,55,67.3,11,37,6,1,0,Match Report
Y,11,Sun,Premier League,Matchweek 11,Away,D 1-1,Liverpool,Luton Town,RW,90,0,0,0,0,2,0,0,0,43,1,0,0,0.6,0.6,0.6,4,0,26,31,83.9,4,34,2,3,1,Match Report
Y,12,Sun,Premier League,Matchweek 12,Home,W 3-0,Liverpool,Brentford,RW,90,2,0,0,0,3,2,0,0,64,0,0,0,1.0,1.0,0.1,2,0,39,55,70.9,6,53,2,1,0,Match Report
Y,13,Sat,Premier League,Matchweek 13,Away,D 1-1,Liverpool,Manchester City,RW,90,0,1,0,0,0,0,0,0,36,1,0,2,0.0,0.0,0.2,3,1,21,29,72.4,5,27,2,4,3,Match Report
Y,14,Sun,Premier League,Matchweek 14,Home,W 4-3,Liverpool,Fulham,"RW,AM",90,0,1,0,0,2,1,0,0,53,1,0,1,0.8,0.8,0.5,5,1,25,42,59.5,7,36,2,3,1,Match Report
Y,15,Wed,Premier League,Matchweek 15,Away,W 2-0,Liverpool,Sheffield Utd,RW,66,0,0,0,0,4,2,0,0,36,0,0,1,0.4,0.4,0.1,3,0,23,28,82.1,3,28,1,2,1,Match Report
Y,16,Sat,Premier League,Matchweek 16,Away,W 2-1,Liverpool,Crystal Palace,"RW,FW",90,1,1,0,0,3,1,0,0,51,0,1,1,0.3,0.3,0.0,2,1,31,40,77.5,7,41,1,0,0,Match Report
Y,17,Sun,Premier League,Matchweek 17,Home,D 0-0,Liverpool,Manchester Utd,RW,90,0,0,0,0,6,4,0,0,73,1,0,0,0.4,0.4,0.4,11,0,39,58,67.2,8,58,6,2,1,Match Report
Y,18,Sat,Premier League,Matchweek 18,Home,D 1-1,Liverpool,Arsenal,"RW,LW",90,1,0,0,0,3,2,1,0,37,1,0,0,0.3,0.3,0.5,3,1,11,21,52.4,3,27,3,4,1,Match Report
Y,19,Tue,Premier League,Matchweek 19,Away,W 2-0,Liverpool,Burnley,RW,90,0,0,0,0,3,2,0,0,46,0,0,2,0.4,0.4,0.0,3,0,31,37,83.8,7,37,4,0,0,Match Report
Y,20,Mon,Premier League,Matchweek 20,Home,W 4-2,Liverpool,Newcastle Utd,RW,90,2,1,1,2,4,2,0,0,60,0,0,2,2.7,1.1,1.5,10,2,28,43,65.1,4,37,12,3,1,Match Report
N,21,Sat,Premier League,Matchweek 25,Away,W 4-1,Liverpool,Brentford,RW,47,1,1,0,0,2,1,0,0,30,0,0,1,0.5,0.5,0.4,3,2,21,23,91.3,2,27,5,2,2,Match Report
N,22,Sun,Premier League,Matchweek 28,Home,D 1-1,Liverpool,Manchester City,RW,30,0,0,0,0,3,1,0,0,24,0,0,0,0.2,0.2,0.4,2,0,11,18,61.1,4,16,2,1,0,Match Report
Y,23,Sun,Premier League,Matchweek 30,Home,W 2-1,Liverpool,Brighton,"RW,FW",90,1,0,0,0,12,4,0,0,68,0,0,1,1.5,1.5,0.1,9,1,29,39,74.4,5,46,5,9,3,Match Report
Y,24,Thu,Premier League,Matchweek 31,Home,W 3-1,Liverpool,Sheffield Utd,RW,59,0,0,0,0,3,2,0,0,43,0,0,0,0.1,0.1,0.0,2,0,27,34,79.4,6,30,0,1,1,Match Report
Y,25,Sun,Premier League,Matchweek 32,Away,D 2-2,Liverpool,Manchester Utd,RW,90,1,0,1,1,5,2,0,0,44,0,0,0,1.3,0.5,0.6,7,0,25,34,73.5,7,28,1,2,1,Match Report
Y,26,Sun,Premier League,Matchweek 33,Home,L 0-1,Liverpool,Crystal Palace,RW,90,0,0,0,0,2,1,0,0,41,0,0,1,0.4,0.4,0.4,6,0,22,27,81.5,4,22,2,2,0,Match Report
N,27,Sun,Premier League,Matchweek 34,Away,W 3-1,Liverpool,Fulham,RW,17,0,0,0,0,0,0,0,0,11,1,0,0,0.0,0.0,0.0,0,0,3,7,42.9,2,5,0,0,0,Match Report
Y,28,Wed,Premier League,Matchweek 29,Away,L 0-2,Liverpool,Everton,RW,90,0,0,0,0,7,2,0,0,37,0,0,1,0.6,0.6,0.5,7,0,21,26,80.8,5,29,0,0,0,Match Report
N,29,Sat,Premier League,Matchweek 35,Away,D 2-2,Liverpool,West Ham,RW,12,0,0,0,0,0,0,0,0,12,0,0,0,0.0,0.0,0.0,1,0,9,11,81.8,2,8,2,0,0,Match Report
Y,30,Sun,Premier League,Matchweek 36,Home,W 4-2,Liverpool,Tottenham,RW,90,1,1,0,0,6,4,0,0,49,0,0,0,1.2,1.2,0.6,6,2,24,36,66.7,5,40,4,1,0,Match Report
Y,31,Mon,Premier League,Matchweek 37,Away,D 3-3,Liverpool,Aston Villa,RW,90,0,0,0,0,1,0,0,0,34,1,0,0,0.1,0.1,0.3,4,0,18,26,69.2,4,28,2,2,2,Match Report
Y,32,Sun,Premier League,Matchweek 38,Home,W 2-0,Liverpool,Wolves,RW,90,0,0,0,0,7,4,0,0,52,2,0,1,1.1,1.1,0.0,4,1,20,33,60.6,2,36,6,4,1,Match Report
