game_started,game_count,games,minutes,gk_saves,clearances,tackles,assisted_shots,fouled,shots,crosses,shots_on_target,passes,interceptions,fouls,goals,assists,cards_yellow,dayofweek,comp,round,venue,result,team,opponent,position,pens_made,pens_att,cards_red,touches,blocks,xg,npxg,xg_assist,sca,gca,passes_completed,passes_pct,progressive_passes,carries,progressive_carries,take_ons,take_ons_won,match_report
Y,1,0,86,0,0,1,0,0,3,0,2,24,0,0,1,0,0,Sat,Premier League,Matchweek 1,Away,L 1-5,Aston Villa,Newcastle Utd,"AM,FW,RW",0,0,0,30,0,0.3,0.3,0.3,4,0,21,87.5,5,21,5,2,2,Match Report
Y,2,0,63,0,0,0,0,0,3,0,2,20,0,0,0,0,0,Sun,Premier League,Matchweek 2,Home,W 4-0,Aston Villa,Everton,AM,0,0,0,33,1,0.3,0.3,0.4,3,1,17,85.0,3,24,3,2,0,Match Report
Y,3,0,72,0,0,0,0,0,2,0,1,25,0,0,1,1,0,Sun,Premier League,Matchweek 3,Away,W 3-1,Aston Villa,Burnley,AM,0,0,0,32,0,0.2,0.2,0.7,2,1,22,88.0,1,15,2,1,1,Match Report
Y,4,0,90,0,0,0,0,0,1,0,0,21,1,0,0,0,0,Sun,Premier League,Matchweek 4,Away,L 0-3,Aston Villa,Liverpool,FW,0,0,0,29,0,0.1,0.1,0.1,2,0,18,85.7,3,13,2,5,1,Match Report
Y,5,0,90,0,0,0,0,0,2,0,0,33,0,0,0,1,0,Sat,Premier League,Matchweek 5,Home,W 3-1,Aston Villa,Crystal Palace,"AM,LM",0,0,0,39,0,0.1,0.1,0.8,2,1,23,69.7,6,34,4,0,0,Match Report
Y,6,0,80,0,0,1,0,0,2,0,1,19,0,0,0,0,0,Sun,Premier League,Matchweek 6,Away,W 1-0,Aston Villa,Chelsea,"AM,FW",0,0,0,26,1,0.2,0.2,0.1,2,0,17,89.5,1,19,3,1,0,Match Report
Y,7,0,78,0,0,0,0,0,5,0,2,17,0,0,0,1,0,Sat,Premier League,Matchweek 7,Home,W 6-1,Aston Villa,Brighton,AM,0,0,0,27,0,0.4,0.4,0.1,3,1,13,76.5,2,16,2,5,4,Match Report
Y,8,0,61,0,0,1,0,0,0,0,0,9,0,0,0,0,0,Sun,Premier League,Matchweek 8,Away,D 1-1,Aston Villa,Wolves,FW,0,0,0,11,0,0.0,0.0,0.1,2,0,5,55.6,0,7,1,0,0,Match Report
Y,9,0,84,0,0,0,0,0,2,0,0,31,0,0,0,0,0,Sun,Premier League,Matchweek 9,Home,W 4-1,Aston Villa,West Ham,FW,0,0,0,37,0,0.0,0.0,0.5,4,0,26,83.9,6,30,9,1,1,Match Report
Y,10,0,89,0,0,0,0,0,2,0,1,28,0,0,1,0,0,Sun,Premier League,Matchweek 10,Home,W 3-1,Aston Villa,Luton Town,FW,0,0,0,31,0,0.3,0.3,0.1,5,0,19,67.9,5,27,4,2,1,Match Report
Y,11,0,90,0,0,2,0,0,1,0,1,32,1,0,0,0,0,Sun,Premier League,Matchweek 11,Away,L 0-2,Aston Villa,Nott'ham Forest,FW,0,0,0,41,0,0.0,0.0,0.3,4,0,28,87.5,2,26,2,3,0,Match Report
Y,12,0,61,0,0,0,0,0,2,0,1,13,0,0,0,0,0,Sun,Premier League,Matchweek 12,Home,W 3-1,Aston Villa,Fulham,FW,0,0,0,17,0,0.7,0.7,0.1,1,0,9,69.2,0,12,1,1,1,Match Report
Y,13,0,45,0,0,0,0,0,1,0,0,10,1,0,0,0,0,Sun,Premier League,Matchweek 13,Away,W 2-1,Aston Villa,Tottenham,FW,0,0,0,18,0,0.1,0.1,0.1,1,0,10,100.0,0,10,1,3,1,Match Report
N,14,0,17,0,0,0,0,0,0,0,0,5,0,0,0,1,0,Sun,Premier League,Matchweek 14,Away,D 2-2,Aston Villa,Bournemouth,CM,0,0,0,9,0,0.0,0.0,0.1,1,1,3,60.0,0,6,1,4,0,Match Report
N,15,0,6,0,0,0,0,0,0,0,0,3,0,0,0,0,0,Wed,Premier League,Matchweek 15,Home,W 1-0,Aston Villa,Manchester City,"RM,FW",0,0,0,4,0,0.0,0.0,0.0,0,0,3,100.0,1,3,0,2,2,Match Report
N,16,0,45,0,0,0,0,0,0,0,0,7,1,0,0,0,0,Sat,Premier League,Matchweek 16,Home,W 1-0,Aston Villa,Arsenal,RM,0,0,0,10,0,0.0,0.0,0.2,2,0,5,71.4,0,9,3,0,0,Match Report
Y,17,0,64,0,0,0,0,0,2,0,0,32,0,0,0,0,0,Sun,Premier League,Matchweek 17,Away,W 2-1,Aston Villa,Brentford,FW,0,0,0,36,1,0.1,0.1,0.0,0,0,28,87.5,1,28,2,2,2,Match Report
Y,18,0,73,0,0,0,0,0,1,0,1,25,0,0,0,0,0,Fri,Premier League,Matchweek 18,Home,D 1-1,Aston Villa,Sheffield Utd,FW,0,0,0,35,0,0.1,0.1,0.0,1,0,18,72.0,5,22,3,7,2,Match Report
N,19,0,14,0,0,0,0,0,0,0,0,5,0,0,0,0,0,Tue,Premier League,Matchweek 19,Away,L 2-3,Aston Villa,Manchester Utd,LW,0,0,0,7,0,0.0,0.0,0.0,0,0,4,80.0,0,6,2,0,0,Match Report
Y,20,0,81,0,0,1,0,0,6,0,2,21,1,0,1,0,0,Sat,Premier League,Matchweek 20,Home,W 3-2,Aston Villa,Burnley,FW,0,0,0,33,1,1.5,1.5,0.1,4,0,18,85.7,3,23,2,0,0,Match Report
Y,21,0,63,0,0,0,0,0,1,0,1,12,0,0,0,0,0,Sun,Premier League,Matchweek 21,Away,D 0-0,Aston Villa,Everton,FW,0,0,0,21,1,0.0,0.0,0.1,3,0,11,91.7,1,9,1,3,1,Match Report
Y,22,0,61,0,0,1,0,0,1,0,0,14,0,0,0,0,0,Tue,Premier League,Matchweek 22,Home,L 1-3,Aston Villa,Newcastle Utd,FW,0,0,0,18,0,0.3,0.3,0.1,1,0,10,71.4,1,11,0,1,0,Match Report
N,23,0,31,0,0,0,0,0,1,0,1,17,0,0,0,0,0,Sat,Premier League,Matchweek 23,Away,W 5-0,Aston Villa,Sheffield Utd,RW,0,0,0,22,0,0.2,0.2,0.2,3,0,13,76.5,0,15,3,3,2,Match Report
