game_started,game_count,dayofweek,comp,round,venue,result,team,opponent,position,minutes,goals,assists,pens_made,pens_att,shots,shots_on_target,cards_yellow,cards_red,touches,tackles,interceptions,blocks,xg,npxg,xg_assist,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,take_ons,take_ons_won,match_report
Y,1,Fri,Premier League,Matchweek 1,Away,W 3-0,Manchester City,Burnley,CB,78,0,0,0,0,1,0,0,0,79,3,2,0,0.3,0.3,0.0,2,1,65,69,94.2,1,53,1,0,0,Match Report
Y,2,Sun,Premier League,Matchweek 3,Away,W 2-1,Manchester City,Sheffield Utd,CB,90,0,0,0,0,1,0,0,0,89,1,2,0,0.1,0.1,0.0,2,0,79,81,97.5,4,66,1,0,0,Match Report
Y,3,Sat,Premier League,Matchweek 4,Home,W 5-1,Manchester City,Fulham,LB,90,1,0,0,0,1,1,0,0,101,2,1,0,0.0,0.0,0.0,0,0,84,96,87.5,6,55,1,0,0,Match Report
N,4,Sat,Premier League,Matchweek 5,Away,W 3-1,Manchester City,West Ham,LB,1,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0,0,1,1,100.0,0,1,0,0,0,Match Report
N,5,Sat,Premier League,Matchweek 6,Home,W 2-0,Manchester City,Nott'ham Forest,LB,34,0,0,0,0,0,0,0,0,9,0,0,0,0.0,0.0,0.5,1,0,5,8,62.5,0,2,0,0,0,Match Report
Y,6,Sat,Premier League,Matchweek 7,Away,L 1-2,Manchester City,Wolves,LB,79,0,0,0,0,3,1,0,0,70,1,0,1,0.1,0.1,0.0,2,1,60,64,93.8,16,43,3,0,0,Match Report
Y,7,Sun,Premier League,Matchweek 8,Away,L 0-1,Manchester City,Arsenal,CB,90,0,0,0,0,1,0,0,0,72,3,0,1,0.3,0.3,0.0,0,0,60,66,90.9,1,50,0,0,0,Match Report
N,8,Sat,Premier League,Matchweek 9,Home,W 2-1,Manchester City,Brighton,CB,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,,0,0,0,0,0,Match Report
Y,9,Sat,Premier League,Matchweek 11,Home,W 6-1,Manchester City,Bournemouth,CB,90,1,0,0,0,1,1,0,0,81,0,0,2,0.3,0.3,0.1,2,0,67,72,93.1,9,65,4,0,0,Match Report
Y,10,Sat,Premier League,Matchweek 13,Home,D 1-1,Manchester City,Liverpool,LB,90,0,1,0,0,0,0,0,0,77,3,1,2,0.0,0.0,0.3,2,2,59,67,88.1,4,41,1,1,1,Match Report
N,11,Sun,Premier League,Matchweek 14,Home,D 3-3,Manchester City,Tottenham,LB,4,0,0,0,0,0,0,0,0,5,0,0,0,0.0,0.0,0.0,0,0,5,5,100.0,0,4,0,0,0,Match Report
Y,12,Sun,Premier League,Matchweek 16,Away,W 2-1,Manchester City,Luton Town,"CB,LB",90,0,0,0,0,0,0,0,0,66,1,0,1,0.0,0.0,0.1,1,0,48,57,84.2,2,45,3,1,1,Match Report
