game_started,game_count,games,minutes,gk_saves,clearances,tackles,assisted_shots,fouled,shots,crosses,shots_on_target,passes,interceptions,fouls,goals,assists,cards_yellow,dayofweek,comp,round,venue,result,team,opponent,position,pens_made,pens_att,cards_red,touches,blocks,xg,npxg,xg_assist,sca,gca,passes_completed,passes_pct,progressive_passes,carries,progressive_carries,take_ons,take_ons_won,match_report
Y,1,0,90,0,0,2,0,0,0,0,0,49,0,0,0,0,0,Sun,Premier League,Matchweek 1,Home,D 2-2,Brentford,Tottenham,CB,0,0,0,60,0,0.0,0.0,0.0,1,0,40,81.6,0,24,0,1,0,Match Report
Y,2,0,90,0,0,0,0,0,1,0,0,61,0,0,0,0,0,Sat,Premier League,Matchweek 2,Away,W 3-0,Brentford,Fulham,CB,0,0,0,73,1,0.1,0.1,0.0,0,0,55,90.2,3,51,1,2,2,Match Report
Y,3,0,90,0,0,0,0,0,1,0,0,74,2,0,0,0,0,Sat,Premier League,Matchweek 3,Home,D 1-1,Brentford,Crystal Palace,CB,0,0,0,77,0,0.0,0.0,0.0,1,1,66,89.2,3,43,0,1,1,Match Report
N,4,0,10,0,0,0,0,0,0,0,0,18,0,0,0,1,0,Sat,Premier League,Matchweek 4,Home,D 2-2,Brentford,Bournemouth,CB,0,0,0,19,0,0.0,0.0,0.5,1,1,13,72.2,1,4,0,0,0,Match Report
Y,5,0,90,0,0,3,0,0,0,0,0,44,2,0,0,0,1,Sat,Premier League,Matchweek 5,Away,L 0-1,Brentford,Newcastle Utd,CB,0,0,0,56,3,0.0,0.0,0.0,0,0,34,77.3,3,28,0,1,1,Match Report
Y,6,0,90,0,0,3,0,0,0,0,0,101,2,0,0,0,0,Sat,Premier League,Matchweek 6,Home,L 1-3,Brentford,Everton,CB,0,0,0,113,0,0.0,0.0,0.2,1,0,88,87.1,7,77,2,2,1,Match Report
Y,7,0,90,0,0,0,0,0,0,0,0,85,4,0,0,0,0,Sun,Premier League,Matchweek 7,Away,D 1-1,Brentford,Nott'ham Forest,CB,0,0,0,94,0,0.0,0.0,0.0,1,0,76,89.4,9,77,0,0,0,Match Report
Y,8,0,90,0,0,1,0,0,1,0,0,46,2,0,0,0,1,Sat,Premier League,Matchweek 8,Away,L 1-2,Brentford,Manchester Utd,CB,0,0,0,58,1,0.2,0.2,0.0,0,0,35,76.1,0,24,0,1,1,Match Report
Y,9,0,90,0,0,1,0,0,0,0,0,62,1,0,0,0,0,Sat,Premier League,Matchweek 9,Home,W 3-0,Brentford,Burnley,CB,0,0,0,69,2,0.0,0.0,0.0,1,0,49,79.0,5,43,0,0,0,Match Report
Y,10,0,90,0,0,2,0,0,0,0,0,52,3,0,0,0,0,Sat,Premier League,Matchweek 10,Away,W 2-0,Brentford,Chelsea,CB,0,0,0,65,2,0.0,0.0,0.0,0,0,40,76.9,2,33,1,3,1,Match Report
