game_started,game_count,games,minutes,gk_saves,clearances,tackles,assisted_shots,fouled,shots,crosses,shots_on_target,passes,interceptions,fouls,goals,assists,cards_yellow,dayofweek,comp,round,venue,result,team,opponent,position,pens_made,pens_att,cards_red,touches,blocks,xg,npxg,xg_assist,sca,gca,passes_completed,passes_pct,progressive_passes,carries,progressive_carries,take_ons,take_ons_won,match_report
N,1,0,19,0,0,0,0,0,1,0,0,1,0,0,0,0,0,Sat,Premier League,Matchweek 5,Away,L 0-1,Brentford,Newcastle Utd,FW,0,0,0,3,0,0.0,0.0,0.0,0,0,1,100.0,1,1,1,0,0,Match Report
N,2,0,16,0,0,0,0,0,3,0,1,10,0,0,0,0,0,Sun,Premier League,Matchweek 7,Away,D 1-1,Brentford,Nott'ham Forest,FW,0,0,0,15,1,0.3,0.3,0.0,3,0,7,70.0,0,10,0,1,0,Match Report
N,3,0,21,0,0,0,0,0,1,0,1,3,0,0,0,0,1,Sat,Premier League,Matchweek 8,Away,L 1-2,Brentford,Manchester Utd,FW,0,0,0,5,0,0.0,0.0,0.0,1,0,2,66.7,0,1,0,0,0,Match Report
Y,4,0,87,0,0,0,0,0,4,0,1,16,0,0,0,1,0,Sat,Premier League,Matchweek 9,Home,W 3-0,Brentford,Burnley,FW,0,0,0,26,0,0.8,0.8,0.1,4,3,11,68.8,2,13,1,1,0,Match Report
N,5,0,15,0,0,0,0,0,0,0,0,9,1,0,0,1,1,Sat,Premier League,Matchweek 10,Away,W 2-0,Brentford,Chelsea,FW,0,0,0,10,0,0.0,0.0,1.1,2,1,7,77.8,1,3,0,0,0,Match Report
Y,6,0,90,0,0,2,0,0,3,0,1,26,0,0,1,0,0,Sat,Premier League,Matchweek 11,Home,W 3-2,Brentford,West Ham,FW,0,0,0,36,1,0.6,0.6,0.0,3,0,19,73.1,4,22,2,2,1,Match Report
N,7,0,19,0,0,0,0,0,1,0,0,6,0,0,0,0,0,Sun,Premier League,Matchweek 12,Away,L 0-3,Brentford,Liverpool,FW,0,0,0,8,0,0.0,0.0,0.0,0,0,5,83.3,1,5,0,0,0,Match Report
N,8,0,19,0,0,0,0,0,2,0,0,5,0,0,0,0,0,Sat,Premier League,Matchweek 13,Home,L 0-1,Brentford,Arsenal,FW,0,0,0,11,1,0.5,0.5,0.0,1,0,4,80.0,0,7,1,1,0,Match Report
Y,9,0,89,0,0,2,0,0,4,0,2,34,0,0,1,0,0,Sat,Premier League,Matchweek 14,Home,W 3-1,Brentford,Luton Town,FW,0,0,0,45,0,1.0,1.0,0.0,2,0,25,73.5,1,26,2,2,2,Match Report
Y,10,0,90,0,0,0,0,0,1,0,0,22,0,0,0,0,0,Wed,Premier League,Matchweek 15,Away,L 1-2,Brentford,Brighton,FW,0,0,0,27,1,0.3,0.3,0.0,3,0,15,68.2,2,18,0,1,1,Match Report
Y,11,0,90,0,0,1,0,0,1,0,0,29,0,0,0,0,0,Sat,Premier League,Matchweek 16,Away,L 0-1,Brentford,Sheffield Utd,FW,0,0,0,40,2,0.1,0.1,0.1,2,0,22,75.9,1,29,0,1,1,Match Report
N,12,0,23,0,0,1,0,0,0,0,0,5,0,0,0,0,1,Sun,Premier League,Matchweek 17,Home,L 1-2,Brentford,Aston Villa,FW,0,0,0,9,0,0.0,0.0,0.0,0,0,3,60.0,0,3,0,0,0,Match Report
Y,13,0,90,0,0,0,0,0,1,0,0,23,0,0,0,1,0,Wed,Premier League,Matchweek 19,Home,L 1-4,Brentford,Wolves,FW,0,0,0,35,0,0.2,0.2,0.2,4,1,18,78.3,4,20,2,6,1,Match Report
N,14,0,28,0,0,0,0,0,2,0,0,14,0,0,0,0,0,Sat,Premier League,Matchweek 20,Away,L 1-3,Brentford,Crystal Palace,CM,0,0,0,18,0,0.1,0.1,0.0,1,0,10,71.4,1,11,4,2,0,Match Report
Y,15,0,73,0,0,2,0,0,2,0,1,15,0,0,1,0,0,Sat,Premier League,Matchweek 21,Home,W 3-2,Brentford,Nott'ham Forest,FW,0,0,0,23,0,0.3,0.3,0.0,0,0,11,73.3,2,10,0,2,0,Match Report
Y,16,0,90,0,0,0,0,0,1,0,1,22,1,0,1,0,1,Wed,Premier League,Matchweek 22,Away,L 2-3,Brentford,Tottenham,FW,0,0,0,34,1,0.2,0.2,0.4,2,0,13,59.1,5,20,1,2,0,Match Report
Y,17,0,89,0,0,0,0,0,2,0,1,25,0,0,1,0,1,Mon,Premier League,Matchweek 23,Home,L 1-3,Brentford,Manchester City,FW,0,0,0,32,0,0.3,0.3,0.2,2,0,18,72.0,4,16,2,2,0,Match Report
Y,18,0,75,0,0,0,0,0,3,0,3,18,0,0,0,0,0,Sat,Premier League,Matchweek 24,Away,W 2-0,Brentford,Wolves,FW,0,0,0,25,1,0.6,0.6,0.0,2,0,12,66.7,2,11,1,2,1,Match Report
Y,19,0,62,0,0,1,0,0,1,0,1,24,0,0,0,0,0,Sat,Premier League,Matchweek 25,Home,L 1-4,Brentford,Liverpool,FW,0,0,0,28,0,0.0,0.0,0.2,5,0,17,70.8,1,10,2,2,1,Match Report
