game_started,game_count,games,minutes,gk_saves,clearances,tackles,assisted_shots,fouled,shots,crosses,shots_on_target,passes,interceptions,fouls,goals,assists,cards_yellow,dayofweek,comp,round,venue,result,team,opponent,position,match_report
Y,1,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Sat,Premier League,Matchweek 1,Home,D 1-1,Bournemouth,West Ham,GK,Match Report
Y,2,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Sat,Premier League,Matchweek 2,Away,L 1-3,Bournemouth,Liverpool,GK,Match Report
Y,3,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Sat,Premier League,Matchweek 3,Home,L 0-2,Bournemouth,Tottenham,GK,Match Report
Y,4,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Sat,Premier League,Matchweek 4,Away,D 2-2,Bournemouth,Brentford,GK,Match Report
Y,5,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Sun,Premier League,Matchweek 5,Home,D 0-0,Bournemouth,Chelsea,GK,Match Report
Y,6,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Sun,Premier League,Matchweek 6,Away,L 1-3,Bournemouth,Brighton,GK,Match Report
Y,7,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Sat,Premier League,Matchweek 7,Home,L 0-4,Bournemouth,Arsenal,GK,Match Report
Y,8,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Sat,Premier League,Matchweek 8,Away,L 0-3,Bournemouth,Everton,GK,Match Report
Y,9,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Sat,Premier League,Matchweek 9,Home,L 1-2,Bournemouth,Wolves,GK,Match Report
Y,10,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Sat,Premier League,Matchweek 12,Home,W 2-0,Bournemouth,Newcastle Utd,GK,Match Report
Y,11,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Sat,Premier League,Matchweek 13,Away,W 3-1,Bournemouth,Sheffield Utd,GK,Match Report
Y,12,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Sun,Premier League,Matchweek 14,Home,D 2-2,Bournemouth,Aston Villa,GK,Match Report
Y,13,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Wed,Premier League,Matchweek 15,Away,W 2-0,Bournemouth,Crystal Palace,GK,Match Report
Y,14,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Sat,Premier League,Matchweek 16,Away,W 3-0,Bournemouth,Manchester Utd,GK,Match Report
Y,15,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Sat,Premier League,Matchweek 18,Away,W 3-2,Bournemouth,Nott'ham Forest,GK,Match Report
Y,16,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Tue,Premier League,Matchweek 19,Home,W 3-0,Bournemouth,Fulham,GK,Match Report
Y,17,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Sun,Premier League,Matchweek 20,Away,L 1-3,Bournemouth,Tottenham,GK,Match Report
Y,18,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Sun,Premier League,Matchweek 21,Home,L 0-4,Bournemouth,Liverpool,GK,Match Report
Y,19,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Thu,Premier League,Matchweek 22,Away,D 1-1,Bournemouth,West Ham,GK,Match Report
Y,20,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Sun,Premier League,Matchweek 23,Home,D 1-1,Bournemouth,Nott'ham Forest,GK,Match Report
Y,21,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Sat,Premier League,Matchweek 24,Away,L 1-3,Bournemouth,Fulham,GK,Match Report
Y,22,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Sat,Premier League,Matchweek 25,Away,D 2-2,Bournemouth,Newcastle Utd,GK,Match Report
Y,23,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Sat,Premier League,Matchweek 26,Home,L 0-1,Bournemouth,Manchester City,GK,Match Report
Y,24,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Sun,Premier League,Matchweek 27,Away,W 2-0,Bournemouth,Burnley,GK,Match Report
Y,25,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Sat,Premier League,Matchweek 28,Home,D 2-2,Bournemouth,Sheffield Utd,GK,Match Report
Y,26,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Wed,Premier League,Matchweek 17,Home,W 4-3,Bournemouth,Luton Town,GK,Match Report
Y,27,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Sat,Premier League,Matchweek 30,Home,W 2-1,Bournemouth,Everton,GK,Match Report
Y,28,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Tue,Premier League,Matchweek 31,Home,W 1-0,Bournemouth,Crystal Palace,GK,Match Report
Y,29,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Sat,Premier League,Matchweek 32,Away,L 1-2,Bournemouth,Luton Town,GK,Match Report
Y,30,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Sat,Premier League,Matchweek 33,Home,D 2-2,Bournemouth,Manchester Utd,GK,Match Report
Y,31,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Sun,Premier League,Matchweek 34,Away,L 1-3,Bournemouth,Aston Villa,GK,Match Report
Y,32,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Sun,Premier League,Matchweek 38,Away,L 1-2,Bournemouth,Chelsea,GK,Match Report
