game_started,game_count,dayofweek,comp,round,venue,result,team,opponent,position,minutes,goals,assists,pens_made,pens_att,shots,shots_on_target,cards_yellow,cards_red,touches,tackles,interceptions,blocks,xg,npxg,xg_assist,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,take_ons,take_ons_won,match_report
Y,1,Sat,Premier League,Matchweek 1,Away,W 1-0,Crystal Palace,Sheffield Utd,FW,90,1,0,0,0,7,3,0,0,35,3,0,1,1.0,1.0,0.2,5,0,10,13,76.9,2,22,1,3,2,Match Report
Y,2,Mon,Premier League,Matchweek 2,Home,L 0-1,Crystal Palace,Arsenal,FW,90,0,0,0,0,3,1,0,0,31,0,0,0,0.4,0.4,0.0,3,0,14,20,70.0,2,19,3,4,1,Match Report
Y,3,Sat,Premier League,Matchweek 3,Away,D 1-1,Crystal Palace,Brentford,FW,70,0,0,0,0,2,1,0,0,20,0,0,0,0.1,0.1,0.0,1,0,8,12,66.7,0,14,3,1,1,Match Report
Y,4,Sun,Premier League,Matchweek 4,Home,W 3-2,Crystal Palace,Wolves,"FW,AM",89,2,0,0,0,7,3,0,0,28,0,1,1,0.8,0.8,0.0,4,1,11,15,73.3,4,13,1,3,1,Match Report
Y,5,Sat,Premier League,Matchweek 5,Away,L 1-3,Crystal Palace,Aston Villa,"AM,FW",89,1,0,0,0,1,1,0,0,45,4,1,1,0.3,0.3,0.1,3,0,14,26,53.8,4,22,3,4,0,Match Report
Y,6,Sat,Premier League,Matchweek 6,Home,D 0-0,Crystal Palace,Fulham,"FW,AM",89,0,0,0,0,0,0,0,0,22,1,0,0,0.0,0.0,0.0,1,0,12,17,70.6,1,13,1,2,1,Match Report
Y,7,Sat,Premier League,Matchweek 8,Home,D 0-0,Crystal Palace,Nott'ham Forest,"FW,LW",90,0,0,0,0,0,0,0,0,26,1,1,0,0.0,0.0,0.2,2,0,13,19,68.4,3,23,0,0,0,Match Report
Y,8,Sat,Premier League,Matchweek 9,Away,L 0-4,Crystal Palace,Newcastle Utd,"LW,FW,RW",90,0,0,0,0,3,1,1,0,33,2,0,4,0.2,0.2,0.0,2,0,10,14,71.4,1,16,3,2,0,Match Report
Y,9,Fri,Premier League,Matchweek 10,Home,L 1-2,Crystal Palace,Tottenham,FW,78,0,0,0,0,2,1,0,0,15,2,0,0,0.1,0.1,0.0,4,0,5,9,55.6,0,8,1,3,2,Match Report
Y,10,Sat,Premier League,Matchweek 11,Away,W 2-0,Crystal Palace,Burnley,FW,85,0,0,0,0,0,0,1,0,26,1,0,0,0.0,0.0,0.1,1,0,6,14,42.9,0,11,1,2,0,Match Report
Y,11,Sat,Premier League,Matchweek 12,Home,L 2-3,Crystal Palace,Everton,FW,82,1,0,0,0,6,2,0,0,31,0,0,3,1.0,1.0,0.1,4,0,14,16,87.5,0,18,4,2,1,Match Report
Y,12,Sat,Premier League,Matchweek 13,Away,L 1-2,Crystal Palace,Luton Town,FW,79,0,0,0,0,2,1,0,0,33,0,1,0,0.3,0.3,0.0,1,0,19,22,86.4,2,24,2,1,0,Match Report
Y,13,Sun,Premier League,Matchweek 14,Away,D 1-1,Crystal Palace,West Ham,FW,86,1,0,0,0,3,1,0,0,29,1,0,1,0.6,0.6,0.0,1,0,16,21,76.2,4,19,2,2,1,Match Report
Y,14,Wed,Premier League,Matchweek 15,Home,L 0-2,Crystal Palace,Bournemouth,FW,90,0,0,0,0,3,0,1,0,38,0,0,1,0.3,0.3,0.2,5,0,18,24,75.0,1,27,1,3,2,Match Report
Y,15,Sat,Premier League,Matchweek 16,Home,L 1-2,Crystal Palace,Liverpool,FW,45,0,0,0,0,0,0,0,0,12,2,1,1,0.0,0.0,0.0,0,0,3,3,100.0,0,5,0,2,1,Match Report
N,16,Tue,Premier League,Matchweek 22,Home,W 3-2,Crystal Palace,Sheffield Utd,FW,1,0,0,0,0,0,0,0,0,5,0,0,0,0.0,0.0,0.0,0,0,3,3,100.0,0,4,0,2,0,Match Report
N,17,Sat,Premier League,Matchweek 23,Away,L 1-4,Crystal Palace,Brighton,FW,11,0,0,0,0,0,0,0,0,4,0,0,0,0.0,0.0,0.1,0,0,2,2,100.0,0,2,0,1,0,Match Report
N,18,Mon,Premier League,Matchweek 24,Home,L 1-3,Crystal Palace,Chelsea,LM,7,0,0,0,0,1,0,0,0,6,0,0,0,0.0,0.0,0.0,2,0,2,3,66.7,0,4,1,1,0,Match Report
Y,19,Mon,Premier League,Matchweek 25,Away,D 1-1,Crystal Palace,Everton,AM,71,0,0,0,0,2,1,0,0,38,2,0,0,0.2,0.2,0.0,1,1,13,22,59.1,4,20,2,4,1,Match Report
Y,20,Sat,Premier League,Matchweek 26,Home,W 3-0,Crystal Palace,Burnley,AM,65,0,0,0,0,4,1,0,0,28,0,0,0,0.4,0.4,0.0,1,0,11,21,52.4,3,9,2,1,1,Match Report
N,21,Sat,Premier League,Matchweek 27,Away,L 1-3,Crystal Palace,Tottenham,AM,20,0,0,0,0,0,0,0,0,12,0,0,1,0.0,0.0,0.0,0,0,5,7,71.4,1,6,0,0,0,Match Report
