game_started,game_count,games,minutes,gk_saves,clearances,tackles,assisted_shots,fouled,shots,crosses,shots_on_target,passes,interceptions,fouls,goals,assists,cards_yellow,dayofweek,comp,round,venue,result,team,opponent,position,pens_made,pens_att,cards_red,touches,blocks,xg,npxg,xg_assist,sca,gca,passes_completed,passes_pct,progressive_passes,carries,progressive_carries,take_ons,take_ons_won,match_report
N,1,0,2,0,0,0,0,0,0,0,0,6,0,0,0,0,0,Mon,Premier League,Matchweek 2,Away,W 1-0,Arsenal,Crystal Palace,LB,0,0,0,8,0,0.0,0.0,0.0,0,0,6,100.0,0,4,0,0,0,Match Report
N,2,0,35,0,0,0,0,0,0,0,0,41,1,0,0,0,0,Sat,Premier League,Matchweek 3,Home,D 2-2,Arsenal,Fulham,LB,0,0,0,45,1,0.0,0.0,0.1,2,0,34,82.9,7,21,2,1,0,Match Report
Y,3,0,75,0,0,1,0,0,0,0,0,59,0,0,0,0,0,Sun,Premier League,Matchweek 4,Home,W 3-1,Arsenal,Manchester Utd,LB,0,0,0,61,0,0.0,0.0,0.1,1,0,49,83.1,3,37,2,0,0,Match Report
Y,4,0,79,0,0,2,0,0,3,0,0,94,0,0,0,0,0,Sun,Premier League,Matchweek 5,Away,W 1-0,Arsenal,Everton,LB,0,0,0,100,0,0.1,0.1,0.0,1,0,81,86.2,10,62,2,0,0,Match Report
Y,5,0,90,0,0,5,0,0,0,0,0,59,1,0,0,0,0,Sun,Premier League,Matchweek 6,Home,D 2-2,Arsenal,Tottenham,LB,0,0,0,66,1,0.0,0.0,0.0,2,0,54,91.5,7,31,1,0,0,Match Report
Y,6,0,68,0,0,4,0,0,2,0,1,66,2,0,0,0,0,Sat,Premier League,Matchweek 7,Away,W 4-0,Arsenal,Bournemouth,LB,0,0,0,78,2,0.1,0.1,0.1,5,1,60,90.9,5,50,3,2,1,Match Report
Y,7,0,74,0,0,2,0,0,3,0,0,37,1,0,0,0,0,Sun,Premier League,Matchweek 8,Home,W 1-0,Arsenal,Manchester City,LB,0,0,0,44,0,0.1,0.1,0.0,2,0,32,86.5,3,30,0,0,0,Match Report
Y,8,0,45,0,0,1,0,0,0,0,0,32,0,0,0,0,1,Sat,Premier League,Matchweek 9,Away,D 2-2,Arsenal,Chelsea,LB,0,0,0,34,0,0.0,0.0,0.0,0,0,28,87.5,6,21,1,0,0,Match Report
Y,9,0,90,0,0,2,0,0,1,0,0,92,1,0,0,0,0,Sat,Premier League,Matchweek 10,Home,W 5-0,Arsenal,Sheffield Utd,LB,0,0,0,97,0,0.0,0.0,0.2,2,0,85,92.4,12,65,1,1,0,Match Report
N,10,0,18,0,0,0,0,0,0,0,0,32,1,0,0,0,0,Sat,Premier League,Matchweek 11,Away,L 0-1,Arsenal,Newcastle Utd,LB,0,0,0,33,1,0.0,0.0,0.0,1,0,26,81.3,10,22,1,1,1,Match Report
Y,11,0,90,0,0,5,0,0,1,0,1,103,0,0,1,0,0,Sat,Premier League,Matchweek 12,Home,W 3-1,Arsenal,Burnley,LB,0,0,0,113,2,0.0,0.0,0.1,5,1,88,85.4,21,67,2,1,1,Match Report
Y,12,0,90,0,0,1,0,0,1,0,0,90,1,0,0,0,0,Sat,Premier League,Matchweek 13,Away,W 1-0,Arsenal,Brentford,LB,0,0,0,99,2,0.0,0.0,0.3,5,0,81,90.0,16,59,0,0,0,Match Report
Y,13,0,90,0,0,3,0,0,0,0,0,83,1,0,0,1,0,Sat,Premier League,Matchweek 14,Home,W 2-1,Arsenal,Wolves,LB,0,0,0,90,0,0.0,0.0,0.2,3,1,78,94.0,14,58,1,0,0,Match Report
N,14,0,27,0,0,1,0,0,0,0,0,33,0,0,0,0,0,Tue,Premier League,Matchweek 15,Away,W 4-3,Arsenal,Luton Town,LB,0,0,0,35,0,0.0,0.0,0.3,4,1,29,87.9,3,20,0,0,0,Match Report
Y,15,0,89,0,0,6,0,0,0,0,0,72,0,0,0,0,1,Sat,Premier League,Matchweek 16,Away,L 0-1,Arsenal,Aston Villa,LB,0,0,0,84,0,0.0,0.0,0.0,2,0,59,81.9,12,45,2,1,1,Match Report
Y,16,0,89,0,0,1,0,0,0,0,0,57,4,0,0,0,0,Sun,Premier League,Matchweek 17,Home,W 2-0,Arsenal,Brighton,LB,0,0,0,61,0,0.0,0.0,0.1,4,0,49,86.0,7,33,1,0,0,Match Report
Y,17,0,90,0,0,3,0,0,2,0,0,70,0,0,0,0,0,Sat,Premier League,Matchweek 18,Away,D 1-1,Arsenal,Liverpool,LB,0,0,0,82,3,0.1,0.1,0.0,1,0,59,84.3,11,32,2,2,1,Match Report
Y,18,0,63,0,0,1,0,0,0,0,0,69,0,0,0,0,0,Thu,Premier League,Matchweek 19,Home,L 0-2,Arsenal,West Ham,LB,0,0,0,77,3,0.0,0.0,0.1,4,0,62,89.9,14,56,6,0,0,Match Report
Y,19,0,90,0,0,5,0,0,2,0,1,93,1,0,0,0,0,Sat,Premier League,Matchweek 21,Home,W 5-0,Arsenal,Crystal Palace,LB,0,0,0,103,0,0.1,0.1,0.0,6,1,81,87.1,12,54,3,0,0,Match Report
Y,20,0,89,0,0,1,0,0,0,0,0,117,0,0,0,1,0,Tue,Premier League,Matchweek 22,Away,W 2-1,Arsenal,Nott'ham Forest,LB,0,0,0,120,1,0.0,0.0,0.2,4,1,106,90.6,18,71,4,1,1,Match Report
Y,21,0,45,0,0,2,0,0,0,0,0,21,0,0,0,0,0,Sun,Premier League,Matchweek 23,Home,W 3-1,Arsenal,Liverpool,LB,0,0,0,26,1,0.0,0.0,0.0,1,0,19,90.5,2,14,1,2,1,Match Report
N,22,0,12,0,0,0,0,0,0,0,0,10,1,0,0,0,0,Sat,Premier League,Matchweek 28,Home,W 2-1,Arsenal,Brentford,LB,0,0,0,11,0,0.0,0.0,0.0,0,0,7,70.0,3,5,1,0,0,Match Report
Y,23,0,74,0,0,2,0,0,1,0,0,71,2,0,0,0,0,Wed,Premier League,Matchweek 31,Home,W 2-0,Arsenal,Luton Town,LB,0,0,0,82,0,0.0,0.0,0.0,2,0,60,84.5,9,52,1,1,0,Match Report
Y,24,0,71,0,0,1,0,0,0,0,0,46,0,0,0,0,0,Sat,Premier League,Matchweek 32,Away,W 3-0,Arsenal,Brighton,LB,0,0,0,50,1,0.0,0.0,0.0,3,0,41,89.1,6,18,0,1,0,Match Report
Y,25,0,86,0,0,1,0,0,1,0,0,55,2,0,0,0,0,Sun,Premier League,Matchweek 33,Home,L 0-2,Arsenal,Aston Villa,LB,0,0,0,68,0,0.1,0.1,0.1,2,0,47,85.5,7,44,2,0,0,Match Report
N,26,0,19,0,0,0,0,0,0,0,0,16,1,0,0,0,0,Tue,Premier League,Matchweek 29,Home,W 5-0,Arsenal,Chelsea,LB,0,0,0,17,0,0.0,0.0,0.4,1,0,15,93.8,2,7,0,0,0,Match Report
N,27,0,32,0,0,0,0,0,0,0,0,44,0,0,0,0,0,Sun,Premier League,Matchweek 38,Home,W 2-1,Arsenal,Everton,LB,0,0,0,45,0,0.0,0.0,0.1,4,0,38,86.4,9,35,1,0,0,Match Report
