game_started,game_count,games,minutes,gk_saves,clearances,tackles,assisted_shots,fouled,shots,crosses,shots_on_target,passes,interceptions,fouls,goals,assists,cards_yellow,dayofweek,comp,round,venue,result,team,opponent,position,pens_made,pens_att,cards_red,touches,blocks,xg,npxg,xg_assist,sca,gca,passes_completed,passes_pct,progressive_passes,carries,progressive_carries,take_ons,take_ons_won,match_report
Y,1,0,90,0,0,1,0,0,2,0,1,18,0,0,0,1,0,Sat,Premier League,Matchweek 1,Away,L 1-5,Aston Villa,Newcastle Utd,FW,0,0,0,27,1,0.3,0.3,0.2,3,1,15,83.3,2,15,1,3,2,Match Report
Y,2,0,73,0,0,1,0,0,1,0,0,9,0,0,0,0,0,Sun,Premier League,Matchweek 2,Home,W 4-0,Aston Villa,Everton,FW,0,0,0,17,0,0.3,0.3,0.1,4,1,9,100.0,0,15,2,1,0,Match Report
Y,3,0,85,0,0,0,0,0,5,0,2,20,0,0,0,1,0,Sun,Premier League,Matchweek 3,Away,W 3-1,Aston Villa,Burnley,FW,0,0,0,30,0,0.9,0.9,0.9,4,1,15,75.0,0,15,2,1,0,Match Report
Y,4,0,72,0,0,0,0,0,2,0,0,9,0,0,0,0,0,Sun,Premier League,Matchweek 4,Away,L 0-3,Aston Villa,Liverpool,FW,0,0,0,17,1,0.2,0.2,0.1,1,0,7,77.8,1,8,0,0,0,Match Report
Y,5,0,89,0,0,0,0,0,4,0,1,13,0,0,0,0,0,Sat,Premier League,Matchweek 5,Home,W 3-1,Aston Villa,Crystal Palace,FW,0,0,0,25,2,0.6,0.6,0.1,4,1,11,84.6,4,13,1,2,0,Match Report
Y,6,0,89,0,0,0,0,0,2,0,1,8,0,0,1,0,0,Sun,Premier League,Matchweek 6,Away,W 1-0,Aston Villa,Chelsea,FW,0,0,0,17,2,0.2,0.2,0.1,3,1,6,75.0,1,9,2,1,0,Match Report
Y,7,0,90,0,0,0,0,0,6,0,4,24,0,0,3,1,0,Sat,Premier League,Matchweek 7,Home,W 6-1,Aston Villa,Brighton,FW,0,0,0,38,2,0.8,0.8,0.4,10,4,17,70.8,3,30,5,3,2,Match Report
Y,8,0,90,0,0,0,0,0,3,0,1,12,0,0,0,1,0,Sun,Premier League,Matchweek 8,Away,D 1-1,Aston Villa,Wolves,FW,0,0,0,26,2,0.3,0.3,0.3,1,1,7,58.3,1,12,0,1,0,Match Report
Y,9,0,90,0,0,0,0,0,4,0,2,24,0,0,1,1,0,Sun,Premier League,Matchweek 9,Home,W 4-1,Aston Villa,West Ham,FW,0,0,0,33,1,0.5,0.5,0.1,2,1,18,75.0,1,27,4,1,0,Match Report
Y,10,0,90,0,0,0,0,0,2,0,2,12,0,0,0,0,0,Sun,Premier League,Matchweek 10,Home,W 3-1,Aston Villa,Luton Town,FW,0,0,0,16,0,0.7,0.7,0.3,4,0,9,75.0,1,12,1,2,2,Match Report
Y,11,0,90,0,0,1,0,0,2,0,1,22,0,0,0,0,0,Sun,Premier League,Matchweek 11,Away,L 0-2,Aston Villa,Nott'ham Forest,FW,0,0,0,29,0,0.3,0.3,0.0,1,0,18,81.8,1,18,3,1,0,Match Report
Y,12,0,90,0,0,0,0,0,3,0,1,17,0,0,1,0,1,Sun,Premier League,Matchweek 12,Home,W 3-1,Aston Villa,Fulham,FW,0,0,0,32,1,1.9,1.9,0.1,2,0,13,76.5,1,18,1,0,0,Match Report
Y,13,0,89,0,0,0,0,0,3,0,1,13,1,0,1,0,1,Sun,Premier League,Matchweek 13,Away,W 2-1,Aston Villa,Tottenham,FW,0,0,0,21,0,0.7,0.7,0.0,2,1,11,84.6,1,14,1,0,0,Match Report
Y,14,0,90,0,0,1,0,0,2,0,1,23,0,0,1,1,0,Sun,Premier League,Matchweek 14,Away,D 2-2,Aston Villa,Bournemouth,FW,0,0,0,32,0,0.1,0.1,0.1,2,1,12,52.2,2,18,0,3,0,Match Report
Y,15,0,89,0,0,1,0,0,4,0,1,12,1,0,0,0,1,Wed,Premier League,Matchweek 15,Home,W 1-0,Aston Villa,Manchester City,FW,0,0,0,21,0,0.3,0.3,0.1,4,0,11,91.7,2,15,1,2,2,Match Report
Y,16,0,90,0,0,1,0,0,3,0,1,13,1,0,0,0,0,Sat,Premier League,Matchweek 16,Home,W 1-0,Aston Villa,Arsenal,FW,0,0,0,30,1,0.2,0.2,0.0,1,0,5,38.5,1,17,1,2,0,Match Report
Y,17,0,90,0,0,1,0,0,2,0,1,18,0,0,1,0,0,Sun,Premier League,Matchweek 17,Away,W 2-1,Aston Villa,Brentford,FW,0,0,0,30,1,0.3,0.3,0.1,3,0,14,77.8,2,11,2,6,3,Match Report
Y,18,0,90,0,0,0,0,0,3,0,1,12,0,0,0,0,0,Fri,Premier League,Matchweek 18,Home,D 1-1,Aston Villa,Sheffield Utd,FW,0,0,0,18,1,0.2,0.2,0.0,1,0,8,66.7,1,14,1,0,0,Match Report
Y,19,0,90,0,0,0,0,0,0,0,0,15,0,0,0,0,0,Tue,Premier League,Matchweek 19,Away,L 2-3,Aston Villa,Manchester Utd,FW,0,0,0,24,0,0.0,0.0,0.0,0,0,12,80.0,4,14,0,4,3,Match Report
Y,20,0,90,0,0,0,0,0,2,0,1,18,0,0,0,2,0,Sat,Premier League,Matchweek 20,Home,W 3-2,Aston Villa,Burnley,FW,0,0,0,23,0,0.2,0.2,1.2,3,2,13,72.2,0,10,2,1,0,Match Report
Y,21,0,90,0,0,0,0,0,6,0,1,17,0,0,0,0,1,Sun,Premier League,Matchweek 21,Away,D 0-0,Aston Villa,Everton,FW,0,0,0,30,1,0.4,0.4,0.1,5,0,13,76.5,2,25,2,3,2,Match Report
Y,22,0,90,0,0,0,0,0,4,0,2,20,0,0,1,0,0,Tue,Premier League,Matchweek 22,Home,L 1-3,Aston Villa,Newcastle Utd,FW,0,0,0,34,0,0.6,0.6,0.3,3,0,18,90.0,3,27,3,1,1,Match Report
Y,23,0,90,0,0,0,0,0,3,0,2,21,0,0,1,2,0,Sat,Premier League,Matchweek 23,Away,W 5-0,Aston Villa,Sheffield Utd,FW,0,0,0,26,1,0.6,0.6,0.3,6,4,15,71.4,1,15,1,1,0,Match Report
Y,24,0,90,0,0,0,0,0,3,0,3,26,0,0,0,0,0,Sun,Premier League,Matchweek 24,Home,L 1-2,Aston Villa,Manchester Utd,FW,0,0,0,40,2,0.7,0.7,0.1,3,0,21,80.8,1,23,1,6,1,Match Report
Y,25,0,90,0,0,1,0,0,5,0,2,15,0,0,2,0,0,Sat,Premier League,Matchweek 25,Away,W 2-1,Aston Villa,Fulham,FW,0,0,0,27,2,0.9,0.9,0.4,2,0,10,66.7,1,9,1,0,0,Match Report
Y,26,0,89,0,0,0,0,0,4,0,2,11,0,0,1,0,0,Sat,Premier League,Matchweek 26,Home,W 4-2,Aston Villa,Nott'ham Forest,FW,0,0,0,23,1,1.4,1.4,0.1,3,1,10,90.9,2,16,1,3,1,Match Report
