game_started,game_count,dayofweek,comp,round,venue,result,team,opponent,position,minutes,goals,assists,pens_made,pens_att,shots,shots_on_target,cards_yellow,cards_red,touches,tackles,interceptions,blocks,xg,npxg,xg_assist,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,take_ons,take_ons_won,match_report
Y,1,Fri,Premier League,Matchweek 1,Away,W 3-0,Manchester City,Burnley,"RM,LW",90,0,0,0,0,3,1,0,0,58,0,1,1,0.3,0.3,0.1,4,0,37,48,77.1,5,43,1,2,1,Match Report
Y,2,Sat,Premier League,Matchweek 2,Home,W 1-0,Manchester City,Newcastle Utd,RW,90,0,1,0,0,3,1,0,0,61,0,0,1,0.3,0.3,0.5,9,1,50,56,89.3,11,32,6,3,3,Match Report
N,3,Sun,Premier League,Matchweek 3,Away,W 2-1,Manchester City,Sheffield Utd,RW,5,0,1,0,0,1,0,0,0,12,1,0,0,0.0,0.0,0.3,3,0,9,9,100.0,2,11,0,2,1,Match Report
Y,4,Sat,Premier League,Matchweek 4,Home,W 5-1,Manchester City,Fulham,"LW,RW",89,0,1,0,0,0,0,0,0,51,1,0,0,0.0,0.0,0.0,1,1,35,44,79.5,1,31,2,4,2,Match Report
Y,5,Sat,Premier League,Matchweek 5,Away,W 3-1,Manchester City,West Ham,RW,66,0,0,0,0,5,1,0,0,48,1,0,0,0.1,0.1,0.1,5,0,29,38,76.3,3,40,2,1,0,Match Report
Y,6,Sat,Premier League,Matchweek 6,Home,W 2-0,Manchester City,Nott'ham Forest,"RW,CM,LW",86,1,0,0,0,1,1,0,0,60,2,1,0,0.1,0.1,0.1,2,1,49,53,92.5,4,40,1,4,3,Match Report
Y,7,Sat,Premier League,Matchweek 7,Away,L 1-2,Manchester City,Wolves,"RW,AM,RM",90,0,0,0,0,1,0,0,0,45,2,0,0,0.1,0.1,0.1,6,0,27,38,71.1,0,22,2,2,1,Match Report
Y,8,Sun,Premier League,Matchweek 8,Away,L 0-1,Manchester City,Arsenal,"LW,RW",90,0,0,0,0,0,0,0,0,48,2,0,1,0.0,0.0,0.2,2,0,27,35,77.1,1,29,0,9,4,Match Report
Y,9,Sat,Premier League,Matchweek 9,Home,W 2-1,Manchester City,Brighton,RW,90,0,0,0,0,1,0,0,0,51,0,1,2,0.0,0.0,0.3,6,0,31,42,73.8,9,28,3,2,1,Match Report
Y,10,Sun,Premier League,Matchweek 10,Away,W 3-0,Manchester City,Manchester Utd,RW,90,1,0,0,0,4,2,1,0,70,2,2,3,1.5,1.5,0.0,3,1,45,52,86.5,8,42,1,2,1,Match Report
N,11,Sat,Premier League,Matchweek 11,Home,W 6-1,Manchester City,Bournemouth,"FW,AM",45,1,0,0,0,2,1,0,0,37,0,0,0,0.2,0.2,0.0,1,1,30,31,96.8,3,32,0,1,0,Match Report
Y,12,Sun,Premier League,Matchweek 12,Away,D 4-4,Manchester City,Chelsea,RW,90,0,0,0,0,3,2,0,0,54,1,3,1,0.2,0.2,0.1,6,1,33,36,91.7,7,40,4,11,5,Match Report
Y,13,Sat,Premier League,Matchweek 13,Home,D 1-1,Manchester City,Liverpool,RW,90,0,0,0,0,4,3,0,0,48,1,1,2,0.2,0.2,0.0,2,0,27,36,75.0,4,33,1,1,0,Match Report
Y,14,Sun,Premier League,Matchweek 14,Home,D 3-3,Manchester City,Tottenham,RW,72,1,0,0,0,2,1,0,0,48,0,1,1,0.6,0.6,0.1,2,0,30,39,76.9,1,39,4,0,0,Match Report
Y,15,Wed,Premier League,Matchweek 15,Away,L 0-1,Manchester City,Aston Villa,LW,72,0,0,0,0,0,0,0,0,32,0,0,0,0.0,0.0,0.2,1,0,19,27,70.4,2,25,0,1,0,Match Report
Y,16,Sun,Premier League,Matchweek 16,Away,W 2-1,Manchester City,Luton Town,AM,89,0,0,0,0,2,2,0,0,62,2,0,0,0.1,0.1,0.0,7,1,44,52,84.6,3,59,4,4,2,Match Report
Y,17,Sat,Premier League,Matchweek 17,Home,D 2-2,Manchester City,Crystal Palace,AM,90,0,1,0,0,1,0,0,0,41,1,0,1,0.0,0.0,0.4,2,1,31,34,91.2,3,22,2,3,1,Match Report
Y,18,Wed,Premier League,Matchweek 19,Away,W 3-1,Manchester City,Everton,AM,90,1,0,0,0,7,2,0,0,65,0,0,0,0.4,0.4,0.1,6,1,48,51,94.1,0,32,3,5,3,Match Report
Y,19,Sat,Premier League,Matchweek 20,Home,W 2-0,Manchester City,Sheffield Utd,AM,90,0,2,0,0,3,1,0,0,99,0,0,2,0.2,0.2,1.5,6,1,84,87,96.6,4,64,5,5,2,Match Report
Y,20,Sat,Premier League,Matchweek 21,Away,W 3-2,Manchester City,Newcastle Utd,RW,90,0,0,0,0,6,2,0,0,74,1,0,0,0.3,0.3,0.2,7,0,53,57,93.0,12,49,8,3,2,Match Report
Y,21,Wed,Premier League,Matchweek 22,Home,W 3-1,Manchester City,Burnley,RW,76,0,1,0,0,2,0,0,0,54,0,0,0,0.1,0.1,0.1,3,2,43,52,82.7,5,26,1,0,0,Match Report
Y,22,Mon,Premier League,Matchweek 23,Away,W 3-1,Manchester City,Brentford,LM,90,3,0,0,0,6,4,0,0,98,0,0,1,0.7,0.7,0.1,5,1,78,83,94.0,3,81,2,1,0,Match Report
Y,23,Sat,Premier League,Matchweek 24,Home,W 2-0,Manchester City,Everton,RM,90,0,0,0,0,4,1,0,0,73,1,0,1,0.2,0.2,0.0,2,0,55,62,88.7,5,55,3,3,1,Match Report
Y,24,Sat,Premier League,Matchweek 25,Home,D 1-1,Manchester City,Chelsea,RM,90,0,0,0,0,3,0,0,0,72,3,1,1,0.2,0.2,0.4,5,0,53,60,88.3,11,35,7,2,0,Match Report
Y,25,Tue,Premier League,Matchweek 18,Home,W 1-0,Manchester City,Brentford,RW,90,0,0,0,0,6,2,0,0,102,0,1,1,0.4,0.4,0.2,5,0,75,83,90.4,8,77,7,2,1,Match Report
Y,26,Sat,Premier League,Matchweek 26,Away,W 1-0,Manchester City,Bournemouth,CM,90,1,0,0,0,4,3,0,0,87,1,0,0,1.0,1.0,0.2,4,0,51,72,70.8,7,64,3,4,2,Match Report
Y,27,Sun,Premier League,Matchweek 27,Home,W 3-1,Manchester City,Manchester Utd,RW,89,2,0,0,0,9,4,0,0,112,1,1,2,1.0,1.0,0.9,5,1,81,94,86.2,14,91,9,1,0,Match Report
Y,28,Sun,Premier League,Matchweek 28,Away,D 1-1,Manchester City,Liverpool,RW,90,0,0,0,0,2,1,0,0,46,1,0,0,0.4,0.4,0.0,2,0,20,27,74.1,4,35,2,6,3,Match Report
Y,29,Sun,Premier League,Matchweek 30,Home,D 0-0,Manchester City,Arsenal,LM,60,0,0,0,0,1,0,0,0,47,1,0,0,0.0,0.0,0.1,2,0,35,43,81.4,0,32,1,0,0,Match Report
Y,30,Wed,Premier League,Matchweek 31,Home,W 4-1,Manchester City,Aston Villa,AM,79,3,0,0,0,4,3,0,0,71,2,0,1,0.5,0.5,0.7,6,2,50,55,90.9,8,39,3,7,3,Match Report
Y,31,Thu,Premier League,Matchweek 29,Away,W 4-0,Manchester City,Brighton,LM,70,2,0,0,0,3,2,0,0,61,1,0,0,0.3,0.3,0.5,5,2,45,51,88.2,3,42,2,3,0,Match Report
Y,32,Sat,Premier League,Matchweek 36,Home,W 5-1,Manchester City,Wolves,LW,79,0,1,0,0,3,1,0,0,50,1,0,1,0.3,0.3,0.1,4,1,31,43,72.1,2,27,2,3,2,Match Report
Y,33,Sat,Premier League,Matchweek 37,Away,W 4-0,Manchester City,Fulham,"LW,AM",81,1,0,0,0,2,2,0,0,53,2,0,2,0.2,0.2,0.1,4,0,39,43,90.7,2,27,0,0,0,Match Report
Y,34,Tue,Premier League,Matchweek 34,Away,W 2-0,Manchester City,Tottenham,"LW,AM",90,0,0,0,0,1,1,1,0,62,0,0,4,0.2,0.2,0.1,3,1,42,49,85.7,7,38,1,4,2,Match Report
