game_started,game_count,games,minutes,gk_saves,clearances,tackles,assisted_shots,fouled,shots,crosses,shots_on_target,passes,interceptions,fouls,goals,assists,cards_yellow,dayofweek,comp,round,venue,result,team,opponent,position,pens_made,pens_att,cards_red,touches,blocks,xg,npxg,xg_assist,sca,gca,passes_completed,passes_pct,progressive_passes,carries,progressive_carries,take_ons,take_ons_won,match_report
Y,1,0,90,0,0,1,0,0,2,0,0,44,2,0,0,0,0,Sat,Premier League,Matchweek 1,Home,D 1-1,Bournemouth,West Ham,DM,0,0,0,60,4,0.1,0.1,0.0,1,0,38,86.4,4,28,1,2,1,Match Report
Y,2,0,90,0,0,3,0,0,2,0,0,32,1,0,0,0,0,Sat,Premier League,Matchweek 2,Away,L 1-3,Bournemouth,Liverpool,"AM,DM",0,0,0,43,3,0.4,0.4,0.0,2,1,22,68.8,6,19,1,1,1,Match Report
Y,3,0,85,0,0,2,0,0,3,0,1,28,1,0,0,0,0,Sat,Premier League,Matchweek 3,Home,L 0-2,Bournemouth,Tottenham,"AM,DM",0,0,0,42,4,0.3,0.3,0.2,4,0,20,71.4,4,13,1,3,0,Match Report
Y,4,0,90,0,0,3,0,0,2,0,0,36,1,0,0,0,0,Sat,Premier League,Matchweek 4,Away,D 2-2,Bournemouth,Brentford,"AM,CM",0,0,0,50,1,0.1,0.1,0.1,4,0,29,80.6,3,21,1,3,1,Match Report
Y,5,0,90,0,0,1,0,0,2,0,0,26,1,0,0,0,0,Sun,Premier League,Matchweek 5,Home,D 0-0,Bournemouth,Chelsea,DM,0,0,0,40,3,0.3,0.3,0.2,3,0,19,73.1,2,24,1,2,1,Match Report
Y,6,0,81,0,0,4,0,0,1,0,0,26,1,0,0,0,0,Sun,Premier League,Matchweek 6,Away,L 1-3,Bournemouth,Brighton,DM,0,0,0,36,1,0.0,0.0,0.0,1,0,20,76.9,1,27,2,2,0,Match Report
Y,7,0,74,0,0,2,0,0,2,0,0,23,2,0,0,0,0,Sat,Premier League,Matchweek 7,Home,L 0-4,Bournemouth,Arsenal,"AM,DM",0,0,0,36,1,0.2,0.2,0.0,1,0,17,73.9,1,25,2,0,0,Match Report
Y,8,0,90,0,0,5,0,0,1,0,0,42,0,0,0,0,0,Sat,Premier League,Matchweek 8,Away,L 0-3,Bournemouth,Everton,"AM,CM",0,0,0,56,1,0.1,0.1,0.0,4,0,37,88.1,3,26,2,1,0,Match Report
Y,9,0,90,0,0,3,0,0,1,0,1,26,3,0,0,1,0,Sat,Premier League,Matchweek 9,Home,L 1-2,Bournemouth,Wolves,"AM,DM",0,0,0,47,4,0.0,0.0,0.3,2,1,22,84.6,3,27,0,2,1,Match Report
Y,10,0,81,0,0,3,0,0,2,0,1,22,0,0,1,0,1,Sat,Premier League,Matchweek 10,Home,W 2-1,Bournemouth,Burnley,DM,0,0,0,34,1,0.1,0.1,0.1,3,0,16,72.7,3,19,1,2,0,Match Report
Y,11,0,70,0,0,0,0,0,0,0,0,13,1,0,0,0,1,Sat,Premier League,Matchweek 11,Away,L 1-6,Bournemouth,Manchester City,CM,0,0,0,18,0,0.0,0.0,0.1,1,0,10,76.9,2,8,0,0,0,Match Report
N,12,0,25,0,0,0,0,0,1,0,0,18,0,0,0,0,1,Sat,Premier League,Matchweek 13,Away,W 3-1,Bournemouth,Sheffield Utd,AM,0,0,0,23,0,0.1,0.1,0.1,3,0,14,77.8,2,10,1,0,0,Match Report
N,13,0,21,0,0,0,0,0,0,0,0,13,0,0,0,0,0,Sun,Premier League,Matchweek 14,Home,D 2-2,Bournemouth,Aston Villa,AM,0,0,0,15,2,0.0,0.0,0.1,1,0,5,38.5,0,3,0,0,0,Match Report
N,14,0,29,0,0,0,0,0,0,0,0,9,0,0,0,1,0,Wed,Premier League,Matchweek 15,Away,W 2-0,Bournemouth,Crystal Palace,AM,0,0,0,14,0,0.0,0.0,0.6,1,1,7,77.8,1,6,0,1,0,Match Report
N,15,0,33,0,0,0,0,0,1,0,1,11,0,0,1,0,0,Sat,Premier League,Matchweek 16,Away,W 3-0,Bournemouth,Manchester Utd,"AM,RW",0,0,0,17,0,0.3,0.3,0.4,2,0,6,54.5,0,8,1,5,3,Match Report
Y,16,0,80,0,0,0,0,0,3,0,1,29,2,0,0,0,0,Sat,Premier League,Matchweek 18,Away,W 3-2,Bournemouth,Nott'ham Forest,AM,0,0,0,40,0,0.1,0.1,0.0,1,0,22,75.9,0,14,0,2,0,Match Report
N,17,0,18,0,0,0,0,0,0,0,0,10,1,0,0,0,0,Tue,Premier League,Matchweek 19,Home,W 3-0,Bournemouth,Fulham,AM,0,0,0,14,2,0.0,0.0,0.1,1,0,10,100.0,1,8,1,1,1,Match Report
N,18,0,30,0,0,0,0,0,0,0,0,10,0,0,0,0,0,Sun,Premier League,Matchweek 20,Away,L 1-3,Bournemouth,Tottenham,AM,0,0,0,16,0,0.0,0.0,0.0,1,1,7,70.0,3,12,1,2,1,Match Report
N,19,0,8,0,0,0,0,0,0,0,0,3,0,0,0,0,0,Sun,Premier League,Matchweek 21,Home,L 0-4,Bournemouth,Liverpool,DM,0,0,0,5,0,0.0,0.0,0.0,0,0,2,66.7,0,3,0,0,0,Match Report
N,20,0,28,0,0,0,0,0,0,0,0,11,0,0,0,0,0,Sun,Premier League,Matchweek 23,Home,D 1-1,Bournemouth,Nott'ham Forest,DM,0,0,1,12,0,0.0,0.0,0.0,0,0,9,81.8,2,8,1,0,0,Match Report
N,21,0,18,0,0,0,0,0,0,0,0,6,0,0,0,0,0,Sun,Premier League,Matchweek 27,Away,W 2-0,Bournemouth,Burnley,AM,0,0,0,6,0,0.0,0.0,0.0,1,1,4,66.7,0,3,0,0,0,Match Report
N,22,0,17,0,0,2,0,0,2,0,1,24,0,0,0,0,0,Sat,Premier League,Matchweek 28,Home,D 2-2,Bournemouth,Sheffield Utd,CM,0,0,0,30,0,0.1,0.1,0.2,2,0,16,66.7,4,14,0,1,0,Match Report
N,23,0,1,0,0,0,0,0,0,0,0,5,0,0,0,0,0,Wed,Premier League,Matchweek 17,Home,W 4-3,Bournemouth,Luton Town,FW,0,0,0,5,0,0.0,0.0,0.2,1,0,5,100.0,1,1,0,0,0,Match Report
N,24,0,17,0,0,0,0,0,0,0,0,10,0,0,0,0,0,Sat,Premier League,Matchweek 30,Home,W 2-1,Bournemouth,Everton,AM,0,0,0,11,0,0.0,0.0,0.0,0,0,6,60.0,0,4,0,0,0,Match Report
Y,25,0,62,0,0,1,0,0,4,0,2,26,2,0,0,0,0,Tue,Premier League,Matchweek 31,Home,W 1-0,Bournemouth,Crystal Palace,"LM,AM",0,0,0,38,2,0.3,0.3,0.1,3,0,18,69.2,3,13,3,2,1,Match Report
N,26,0,23,0,0,2,0,0,0,0,0,9,1,0,0,0,0,Sat,Premier League,Matchweek 32,Away,L 1-2,Bournemouth,Luton Town,"AM,DM",0,0,0,15,0,0.0,0.0,0.1,1,0,6,66.7,1,4,1,1,1,Match Report
N,27,0,15,0,0,0,0,0,0,0,0,10,0,0,0,0,0,Sun,Premier League,Matchweek 34,Away,L 1-3,Bournemouth,Aston Villa,"CM,RW",0,0,0,10,0,0.0,0.0,0.1,1,0,8,80.0,2,9,0,0,0,Match Report
N,28,0,20,0,0,0,0,0,0,0,0,8,1,0,0,0,0,Sat,Premier League,Matchweek 36,Away,L 0-3,Bournemouth,Arsenal,"CM,LM",0,0,0,9,0,0.0,0.0,0.0,0,0,5,62.5,0,5,0,0,0,Match Report
N,29,0,22,0,0,1,0,0,1,0,0,7,0,0,0,0,0,Sun,Premier League,Matchweek 38,Away,L 1-2,Bournemouth,Chelsea,AM,0,0,0,13,2,0.0,0.0,0.0,1,0,4,57.1,1,4,1,0,0,Match Report
