game_started,game_count,dayofweek,comp,round,venue,result,team,opponent,position,minutes,goals,assists,pens_made,pens_att,shots,shots_on_target,cards_yellow,cards_red,touches,tackles,interceptions,blocks,xg,npxg,xg_assist,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,take_ons,take_ons_won,match_report
Y,1,Mon,Premier League,Matchweek 1,Home,W 1-0,Manchester Utd,Wolves,CB,90,1,0,0,0,2,1,0,0,49,1,0,1,1.0,1.0,0.0,2,0,34,38,89.5,1,25,1,0,0,Match Report
Y,2,Sat,Premier League,Matchweek 2,Away,L 0-2,Manchester Utd,Tottenham,CB,90,0,0,0,0,2,1,0,0,56,1,1,1,0.0,0.0,0.0,3,0,38,44,86.4,3,25,1,1,1,Match Report
Y,3,Sat,Premier League,Matchweek 3,Home,W 3-2,Manchester Utd,Nott'ham Forest,CB,45,0,0,0,0,0,0,0,0,55,0,0,1,0.0,0.0,0.0,1,0,52,53,98.1,8,51,3,0,0,Match Report
N,4,Sat,Premier League,Matchweek 6,Away,W 1-0,Manchester Utd,Burnley,CB,12,0,0,0,0,0,0,0,0,7,0,0,1,0.0,0.0,0.0,0,0,4,4,100.0,0,4,0,0,0,Match Report
Y,5,Sat,Premier League,Matchweek 7,Home,L 0-1,Manchester Utd,Crystal Palace,CB,86,0,0,0,0,1,0,0,0,131,3,0,0,0.1,0.1,0.1,2,0,113,121,93.4,14,103,1,0,0,Match Report
N,6,Sat,Premier League,Matchweek 9,Away,W 2-1,Manchester Utd,Sheffield Utd,CB,7,0,0,0,0,0,0,0,0,4,0,0,0,0.0,0.0,0.0,0,0,1,1,100.0,0,1,0,0,0,Match Report
N,7,Sat,Premier League,Matchweek 11,Away,W 1-0,Manchester Utd,Fulham,"CB,LW",1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,,0,0,0,0,0,Match Report
N,8,Sat,Premier League,Matchweek 12,Home,W 1-0,Manchester Utd,Luton Town,CB,12,0,0,0,0,0,0,0,0,4,0,0,0,0.0,0.0,0.0,0,0,2,3,66.7,0,2,0,0,0,Match Report
Y,9,Sun,Premier League,Matchweek 17,Away,D 0-0,Manchester Utd,Liverpool,CB,90,0,0,0,0,0,0,0,0,58,0,3,2,0.0,0.0,0.0,0,0,28,37,75.7,0,8,0,0,0,Match Report
Y,10,Tue,Premier League,Matchweek 19,Home,W 3-2,Manchester Utd,Aston Villa,CB,90,0,0,0,0,0,0,0,0,60,2,3,1,0.0,0.0,0.0,0,0,43,50,86.0,2,34,2,0,0,Match Report
Y,11,Sat,Premier League,Matchweek 20,Away,L 1-2,Manchester Utd,Nott'ham Forest,CB,90,0,0,0,0,0,0,1,0,75,1,1,1,0.0,0.0,0.0,0,0,58,68,85.3,11,38,6,1,0,Match Report
Y,12,Sun,Premier League,Matchweek 21,Home,D 2-2,Manchester Utd,Tottenham,CB,90,0,0,0,0,1,0,0,0,48,2,0,0,0.1,0.1,0.0,2,0,32,38,84.2,2,24,1,0,0,Match Report
Y,13,Thu,Premier League,Matchweek 22,Away,W 4-3,Manchester Utd,Wolves,CB,90,0,0,0,0,1,0,0,0,45,1,1,0,0.0,0.0,0.0,0,0,34,38,89.5,1,36,0,0,0,Match Report
N,14,Sun,Premier League,Matchweek 23,Home,W 3-0,Manchester Utd,West Ham,CB,20,0,0,0,0,0,0,0,0,20,0,0,0,0.0,0.0,0.0,0,0,17,18,94.4,0,12,0,0,0,Match Report
Y,15,Sun,Premier League,Matchweek 24,Away,W 2-1,Manchester Utd,Aston Villa,CB,90,0,0,0,0,1,0,0,0,44,3,0,2,0.0,0.0,0.0,1,1,28,31,90.3,3,24,0,0,0,Match Report
Y,16,Sun,Premier League,Matchweek 25,Away,W 2-1,Manchester Utd,Luton Town,CB,90,0,0,0,0,0,0,0,0,35,1,2,3,0.0,0.0,0.0,0,0,19,24,79.2,0,15,0,0,0,Match Report
Y,17,Sat,Premier League,Matchweek 26,Home,L 1-2,Manchester Utd,Fulham,CB,90,0,0,0,0,0,0,0,0,60,0,1,0,0.0,0.0,0.0,0,0,49,52,94.2,6,42,0,0,0,Match Report
Y,18,Sun,Premier League,Matchweek 27,Away,L 1-3,Manchester Utd,Manchester City,CB,90,0,0,0,0,0,0,1,0,42,0,1,2,0.0,0.0,0.0,0,0,26,29,89.7,1,19,0,0,0,Match Report
Y,19,Sat,Premier League,Matchweek 28,Home,W 2-0,Manchester Utd,Everton,CB,90,0,0,0,0,0,0,0,0,69,2,1,1,0.0,0.0,0.0,3,0,53,64,82.8,2,36,0,0,0,Match Report
Y,20,Sat,Premier League,Matchweek 30,Away,D 1-1,Manchester Utd,Brentford,CB,45,0,0,0,0,0,0,0,0,37,0,0,3,0.0,0.0,0.0,0,0,27,29,93.1,1,19,0,0,0,Match Report
Y,21,Thu,Premier League,Matchweek 31,Away,L 3-4,Manchester Utd,Chelsea,CB,45,0,0,0,0,0,0,0,0,35,1,1,3,0.0,0.0,0.0,1,0,27,30,90.0,3,23,1,0,0,Match Report
N,22,Sun,Premier League,Matchweek 38,Away,W 2-0,Manchester Utd,Brighton,"CB,DM",22,0,0,0,0,0,0,0,0,11,0,0,1,0.0,0.0,0.0,1,1,9,9,100.0,1,8,0,0,0,Match Report
