game_started,game_count,dayofweek,comp,round,venue,result,team,opponent,position,minutes,goals,assists,pens_made,pens_att,shots,shots_on_target,cards_yellow,cards_red,touches,tackles,interceptions,blocks,xg,npxg,xg_assist,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,take_ons,take_ons_won,match_report
N,1,Sun,Premier League,Matchweek 4,Away,L 1-3,Manchester Utd,Arsenal,FW,24,0,0,0,0,1,0,0,0,9,0,0,0,0.3,0.3,0.0,0,0,2,3,66.7,0,7,1,0,0,Match Report
Y,2,Sat,Premier League,Matchweek 5,Home,L 1-3,Manchester Utd,Brighton,FW,63,0,0,0,0,1,0,0,0,13,1,0,0,0.0,0.0,0.1,2,0,8,9,88.9,1,6,0,0,0,Match Report
Y,3,Sat,Premier League,Matchweek 6,Away,W 1-0,Manchester Utd,Burnley,FW,90,0,0,0,0,2,0,0,0,31,0,0,0,0.1,0.1,0.0,1,0,11,17,64.7,0,11,0,1,0,Match Report
Y,4,Sat,Premier League,Matchweek 7,Home,L 0-1,Manchester Utd,Crystal Palace,FW,90,0,0,0,0,3,1,0,0,19,0,0,0,0.3,0.3,0.0,3,0,13,15,86.7,3,15,3,3,3,Match Report
Y,5,Sat,Premier League,Matchweek 8,Home,W 2-1,Manchester Utd,Brentford,FW,90,0,0,0,0,2,0,0,0,39,0,0,0,0.1,0.1,0.0,2,0,18,26,69.2,1,23,1,4,1,Match Report
Y,6,Sat,Premier League,Matchweek 9,Away,W 2-1,Manchester Utd,Sheffield Utd,FW,62,0,0,0,0,2,2,0,0,11,0,0,0,0.4,0.4,0.0,0,0,7,8,87.5,1,8,0,1,1,Match Report
Y,7,Sun,Premier League,Matchweek 10,Home,L 0-3,Manchester Utd,Manchester City,FW,72,0,0,0,0,0,0,0,0,20,1,0,0,0.0,0.0,0.1,3,0,12,16,75.0,1,14,2,2,2,Match Report
Y,8,Sat,Premier League,Matchweek 11,Away,W 1-0,Manchester Utd,Fulham,FW,78,0,0,0,0,0,0,0,0,20,0,0,0,0.0,0.0,0.1,2,0,10,14,71.4,1,9,1,1,1,Match Report
Y,9,Sat,Premier League,Matchweek 12,Home,W 1-0,Manchester Utd,Luton Town,FW,78,0,0,0,0,3,1,0,0,18,0,0,0,1.1,1.1,0.0,0,0,5,9,55.6,2,9,0,1,0,Match Report
N,10,Sat,Premier League,Matchweek 14,Away,L 0-1,Manchester Utd,Newcastle Utd,FW,30,0,0,0,0,0,0,0,0,7,0,0,0,0.0,0.0,0.0,2,0,3,4,75.0,0,4,0,0,0,Match Report
Y,11,Wed,Premier League,Matchweek 15,Home,W 2-1,Manchester Utd,Chelsea,FW,83,0,0,0,0,1,1,0,0,15,0,0,0,0.0,0.0,0.2,6,0,6,7,85.7,1,5,0,1,1,Match Report
N,12,Sat,Premier League,Matchweek 16,Home,L 0-3,Manchester Utd,Bournemouth,FW,35,0,0,0,0,1,0,1,0,15,2,0,0,0.0,0.0,0.1,3,0,8,10,80.0,0,11,2,1,0,Match Report
