game_started,game_count,dayofweek,comp,round,venue,result,team,opponent,position,minutes,goals,assists,pens_made,pens_att,shots,shots_on_target,cards_yellow,cards_red,touches,tackles,interceptions,blocks,xg,npxg,xg_assist,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,take_ons,take_ons_won,match_report
Y,1,Sat,Premier League,Matchweek 1,Away,W 1-0,Fulham,Everton,FW,57,0,0,0,0,1,0,0,0,19,0,0,0,0.1,0.1,0.0,0,0,12,17,70.6,1,19,0,0,0,Match Report
Y,2,Sat,Premier League,Matchweek 2,Home,L 0-3,Fulham,Brentford,FW,85,0,0,0,0,2,0,0,0,37,1,0,0,0.1,0.1,0.0,1,0,15,26,57.7,0,24,2,1,0,Match Report
Y,3,Sat,Premier League,Matchweek 3,Away,D 2-2,Fulham,Arsenal,FW,90,0,0,0,0,2,0,1,0,40,3,0,3,0.1,0.1,0.0,1,0,12,23,52.2,2,10,0,0,0,Match Report
Y,4,Sat,Premier League,Matchweek 4,Away,L 1-5,Fulham,Manchester City,FW,80,0,0,0,0,2,1,0,0,31,1,0,1,0.2,0.2,0.7,4,1,13,21,61.9,0,17,1,2,2,Match Report
Y,5,Sat,Premier League,Matchweek 5,Home,W 1-0,Fulham,Luton Town,FW,61,0,0,0,0,1,0,0,0,20,0,0,0,0.1,0.1,0.0,0,0,10,13,76.9,0,12,0,0,0,Match Report
Y,6,Sat,Premier League,Matchweek 6,Away,D 0-0,Fulham,Crystal Palace,FW,78,0,0,0,0,2,1,0,0,26,0,0,1,0.1,0.1,0.0,1,0,15,20,75.0,0,13,0,0,0,Match Report
Y,7,Mon,Premier League,Matchweek 7,Home,L 0-2,Fulham,Chelsea,FW,52,0,0,0,0,1,0,0,0,13,0,0,0,0.0,0.0,0.0,0,0,7,9,77.8,2,8,2,1,1,Match Report
N,8,Mon,Premier League,Matchweek 9,Away,L 0-2,Fulham,Tottenham,FW,45,0,0,0,0,1,1,0,0,14,0,0,0,0.5,0.5,0.1,1,0,4,10,40.0,0,9,0,1,0,Match Report
Y,9,Sun,Premier League,Matchweek 10,Away,D 1-1,Fulham,Brighton,FW,57,0,0,0,0,0,0,0,0,13,0,0,0,0.0,0.0,0.0,0,0,6,10,60.0,1,9,0,1,0,Match Report
N,10,Sat,Premier League,Matchweek 11,Home,L 0-1,Fulham,Manchester Utd,"LW,AM",2,0,0,0,0,0,0,1,0,5,1,0,0,0.0,0.0,0.0,0,0,1,3,33.3,0,1,0,0,0,Match Report
Y,11,Sun,Premier League,Matchweek 12,Away,L 1-3,Fulham,Aston Villa,FW,73,1,0,0,0,3,3,0,0,20,1,0,0,0.6,0.6,0.0,1,0,7,12,58.3,1,8,0,0,0,Match Report
Y,12,Mon,Premier League,Matchweek 13,Home,W 3-2,Fulham,Wolves,FW,75,0,0,0,0,1,0,0,0,30,2,0,1,0.1,0.1,0.0,0,0,14,21,66.7,0,17,0,0,0,Match Report
Y,13,Sun,Premier League,Matchweek 14,Away,L 3-4,Fulham,Liverpool,FW,90,0,0,0,0,1,0,0,0,37,2,1,2,0.0,0.0,0.0,2,1,14,24,58.3,3,16,0,1,1,Match Report
Y,14,Wed,Premier League,Matchweek 15,Home,W 5-0,Fulham,Nott'ham Forest,FW,78,2,0,0,0,6,3,0,0,42,1,0,0,1.5,1.5,0.0,3,1,19,25,76.0,1,23,0,4,1,Match Report
Y,15,Sun,Premier League,Matchweek 16,Home,W 5-0,Fulham,West Ham,FW,71,1,0,0,0,1,1,0,0,33,0,1,0,0.1,0.1,0.4,3,0,17,23,73.9,2,22,1,3,1,Match Report
Y,16,Sat,Premier League,Matchweek 17,Away,L 0-3,Fulham,Newcastle Utd,FW,21,0,0,0,0,1,1,0,1,10,0,0,0,0.0,0.0,0.0,0,0,5,7,71.4,1,7,1,0,0,Match Report
Y,17,Sun,Premier League,Matchweek 20,Home,W 2-1,Fulham,Arsenal,FW,90,1,0,0,0,5,2,1,0,37,0,1,0,0.5,0.5,0.1,7,0,22,27,81.5,1,29,0,3,2,Match Report
