game_started,game_count,dayofweek,comp,round,venue,result,team,opponent,position,minutes,goals,assists,pens_made,pens_att,shots,shots_on_target,cards_yellow,cards_red,touches,tackles,interceptions,blocks,xg,npxg,xg_assist,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,take_ons,take_ons_won,match_report
Y,1,Fri,Premier League,Matchweek 3,Away,L 0-3,Luton Town,Chelsea,CB,76,0,0,0,0,0,0,0,0,32,1,0,1,0.0,0.0,0.0,1,0,20,25,80.0,3,18,0,0,0,Match Report
Y,2,Fri,Premier League,Matchweek 4,Home,L 1-2,Luton Town,West Ham,CB,90,0,0,0,0,3,0,0,0,50,2,1,1,0.3,0.3,0.2,2,0,29,38,76.3,3,15,0,0,0,Match Report
Y,3,Sat,Premier League,Matchweek 5,Away,L 0-1,Luton Town,Fulham,CB,80,0,0,0,0,0,0,0,0,27,2,0,2,0.0,0.0,0.0,0,0,11,18,61.1,1,13,0,0,0,Match Report
Y,4,Sat,Premier League,Matchweek 6,Home,D 1-1,Luton Town,Wolves,CB,90,0,0,0,0,1,0,0,0,62,1,1,0,0.1,0.1,0.0,1,0,38,52,73.1,4,40,0,0,0,Match Report
Y,5,Sat,Premier League,Matchweek 7,Away,W 2-1,Luton Town,Everton,CB,45,0,0,0,0,0,0,0,0,22,1,2,2,0.0,0.0,0.0,0,0,5,15,33.3,1,4,0,0,0,Match Report
N,6,Tue,Premier League,Matchweek 2,Home,L 1-2,Luton Town,Burnley,CB,70,0,1,0,0,1,1,1,0,30,1,0,0,0.0,0.0,0.1,2,1,15,25,60.0,4,9,0,1,1,Match Report
Y,7,Sat,Premier League,Matchweek 8,Home,L 0-1,Luton Town,Tottenham,RB,90,0,0,0,0,0,0,0,0,41,4,1,2,0.0,0.0,0.1,2,0,19,25,76.0,6,12,0,1,0,Match Report
Y,8,Sat,Premier League,Matchweek 9,Away,D 2-2,Luton Town,Nott'ham Forest,RB,54,0,0,0,0,0,0,0,0,24,0,2,1,0.0,0.0,0.0,1,0,7,15,46.7,2,6,0,0,0,Match Report
Y,9,Tue,Premier League,Matchweek 22,Home,W 4-0,Luton Town,Brighton,CB,90,0,0,0,0,1,0,0,0,42,4,1,1,0.0,0.0,0.0,1,0,15,30,50.0,0,13,0,1,1,Match Report
N,10,Sat,Premier League,Matchweek 23,Away,D 4-4,Luton Town,Newcastle Utd,CB,12,0,0,0,0,0,0,0,0,8,0,0,0,0.0,0.0,0.0,0,0,2,5,40.0,0,3,0,0,0,Match Report
Y,11,Sat,Premier League,Matchweek 24,Home,L 1-3,Luton Town,Sheffield Utd,CB,67,0,0,0,0,3,1,0,0,59,0,0,0,0.1,0.1,0.0,2,0,42,51,82.4,3,41,3,1,0,Match Report
Y,12,Sat,Premier League,Matchweek 27,Home,L 2-3,Luton Town,Aston Villa,CB,90,0,1,0,0,2,1,1,0,55,0,2,0,0.8,0.8,0.3,3,1,40,44,90.9,5,27,0,0,0,Match Report
Y,13,Sat,Premier League,Matchweek 28,Away,D 1-1,Luton Town,Crystal Palace,CB,90,0,0,0,0,0,0,1,0,63,1,1,5,0.0,0.0,0.0,0,0,43,51,84.3,2,35,0,2,0,Match Report
Y,14,Wed,Premier League,Matchweek 17,Away,L 3-4,Luton Town,Bournemouth,CB,90,0,0,0,0,1,0,0,0,45,5,2,2,0.0,0.0,0.0,0,0,23,27,85.2,0,20,0,0,0,Match Report
Y,15,Sat,Premier League,Matchweek 29,Home,D 1-1,Luton Town,Nott'ham Forest,CB,90,0,1,0,0,0,0,0,0,71,1,1,3,0.0,0.0,0.2,1,1,56,63,88.9,7,49,4,0,0,Match Report
Y,16,Sat,Premier League,Matchweek 30,Away,L 1-2,Luton Town,Tottenham,CB,45,0,0,0,0,0,0,1,0,14,0,0,0,0.0,0.0,0.2,1,0,10,12,83.3,0,11,0,0,0,Match Report
Y,17,Sat,Premier League,Matchweek 32,Home,W 2-1,Luton Town,Bournemouth,CB,90,0,0,0,0,0,0,0,0,52,4,2,1,0.0,0.0,0.0,0,0,28,37,75.7,3,20,0,0,0,Match Report
Y,18,Sat,Premier League,Matchweek 33,Away,L 1-5,Luton Town,Manchester City,CB,90,0,0,0,0,0,0,0,0,33,0,0,2,0.0,0.0,0.0,0,0,20,24,83.3,0,15,0,0,0,Match Report
Y,19,Sat,Premier League,Matchweek 34,Home,L 1-5,Luton Town,Brentford,CB,45,0,0,0,0,0,0,0,0,26,2,0,0,0.0,0.0,0.0,1,0,15,19,78.9,3,10,1,0,0,Match Report
Y,20,Sat,Premier League,Matchweek 35,Away,L 1-2,Luton Town,Wolves,CB,90,0,1,0,0,0,0,0,0,69,4,1,1,0.0,0.0,0.2,2,1,45,57,78.9,7,33,1,1,1,Match Report
Y,21,Fri,Premier League,Matchweek 36,Home,D 1-1,Luton Town,Everton,CB,90,0,0,0,0,1,0,0,0,63,1,0,0,0.0,0.0,0.1,1,0,42,55,76.4,11,38,2,1,1,Match Report
Y,22,Sat,Premier League,Matchweek 37,Away,L 1-3,Luton Town,West Ham,CB,86,0,0,0,0,0,0,1,0,41,3,1,1,0.0,0.0,0.0,0,0,22,31,71.0,2,23,0,0,0,Match Report
