game_started,game_count,dayofweek,comp,round,venue,result,team,opponent,position,minutes,goals,assists,pens_made,pens_att,shots,shots_on_target,cards_yellow,cards_red,touches,tackles,interceptions,blocks,xg,npxg,xg_assist,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,take_ons,take_ons_won,match_report
Y,1,Fri,Premier League,Matchweek 1,Away,W 3-0,Manchester City,Burnley,"DM,CB",90,1,1,0,0,4,3,0,0,122,5,0,0,0.5,0.5,0.2,5,1,107,110,97.3,4,84,1,0,0,Match Report
Y,2,Sat,Premier League,Matchweek 2,Home,W 1-0,Manchester City,Newcastle Utd,DM,90,0,0,0,0,0,0,0,0,144,3,0,1,0.0,0.0,0.0,3,0,122,135,90.4,6,66,1,3,3,Match Report
Y,3,Sun,Premier League,Matchweek 3,Away,W 2-1,Manchester City,Sheffield Utd,DM,90,1,0,0,0,5,2,0,0,133,3,1,1,0.3,0.3,0.0,7,0,114,119,95.8,12,100,2,3,2,Match Report
Y,4,Sat,Premier League,Matchweek 4,Home,W 5-1,Manchester City,Fulham,DM,75,0,0,0,0,0,0,1,0,97,1,1,1,0.0,0.0,0.0,2,1,85,92,92.4,7,63,1,1,1,Match Report
Y,5,Sat,Premier League,Matchweek 5,Away,W 3-1,Manchester City,West Ham,DM,90,0,0,0,0,5,2,1,0,125,1,1,1,0.2,0.2,0.7,14,1,113,116,97.4,23,109,9,3,2,Match Report
Y,6,Sat,Premier League,Matchweek 6,Home,W 2-0,Manchester City,Nott'ham Forest,DM,45,0,0,0,0,0,0,0,1,81,0,0,0,0.0,0.0,0.0,2,1,75,78,96.2,6,52,1,1,1,Match Report
Y,7,Sat,Premier League,Matchweek 9,Home,W 2-1,Manchester City,Brighton,DM,90,0,0,0,0,0,0,1,0,96,2,1,0,0.0,0.0,0.0,0,0,83,89,93.3,6,53,0,3,1,Match Report
Y,8,Sun,Premier League,Matchweek 10,Away,W 3-0,Manchester City,Manchester Utd,"DM,CM",90,0,0,0,0,2,1,0,0,96,3,1,0,0.1,0.1,0.0,9,2,80,90,88.9,10,44,0,1,1,Match Report
Y,9,Sat,Premier League,Matchweek 11,Home,W 6-1,Manchester City,Bournemouth,CM,70,0,1,0,0,2,1,0,0,103,0,1,2,0.1,0.1,0.1,3,1,94,99,94.9,11,89,5,0,0,Match Report
Y,10,Sun,Premier League,Matchweek 12,Away,D 4-4,Manchester City,Chelsea,DM,90,1,0,0,0,1,1,1,0,86,1,2,3,0.0,0.0,0.2,6,0,67,76,88.2,11,49,1,1,1,Match Report
Y,11,Sat,Premier League,Matchweek 13,Home,D 1-1,Manchester City,Liverpool,DM,90,0,0,0,0,1,0,0,0,112,3,0,0,0.0,0.0,0.0,4,0,97,102,95.1,8,77,1,1,0,Match Report
Y,12,Sun,Premier League,Matchweek 14,Home,D 3-3,Manchester City,Tottenham,DM,90,0,0,0,0,2,0,1,0,86,2,4,1,0.2,0.2,0.0,3,1,69,76,90.8,6,59,1,0,0,Match Report
Y,13,Sun,Premier League,Matchweek 16,Away,W 2-1,Manchester City,Luton Town,"DM,CM",90,0,0,0,0,3,1,1,0,105,3,0,0,0.2,0.2,0.0,3,1,87,96,90.6,5,77,2,3,2,Match Report
Y,14,Sat,Premier League,Matchweek 17,Home,D 2-2,Manchester City,Crystal Palace,DM,90,0,0,0,0,3,0,0,0,116,5,0,0,0.3,0.3,0.0,2,0,90,106,84.9,9,76,3,1,1,Match Report
Y,15,Wed,Premier League,Matchweek 19,Away,W 3-1,Manchester City,Everton,DM,90,0,0,0,0,4,0,0,0,143,3,2,1,0.3,0.3,0.0,2,0,115,123,93.5,15,71,3,1,1,Match Report
Y,16,Sat,Premier League,Matchweek 20,Home,W 2-0,Manchester City,Sheffield Utd,DM,90,1,0,0,0,4,1,0,0,178,0,0,0,0.2,0.2,0.1,3,1,157,169,92.9,23,121,6,1,1,Match Report
Y,17,Sat,Premier League,Matchweek 21,Away,W 3-2,Manchester City,Newcastle Utd,DM,90,0,1,0,0,1,1,1,0,158,1,2,1,0.0,0.0,0.1,10,1,135,146,92.5,19,101,4,5,3,Match Report
Y,18,Wed,Premier League,Matchweek 22,Home,W 3-1,Manchester City,Burnley,DM,86,1,0,0,0,1,1,0,0,118,1,0,0,0.1,0.1,0.1,1,0,98,113,86.7,7,64,3,3,1,Match Report
Y,19,Mon,Premier League,Matchweek 23,Away,W 3-1,Manchester City,Brentford,DM,90,0,0,0,0,2,1,0,0,128,4,1,3,0.1,0.1,0.2,8,2,105,110,95.5,9,83,4,2,2,Match Report
Y,20,Sat,Premier League,Matchweek 24,Home,W 2-0,Manchester City,Everton,DM,90,0,0,0,0,1,0,0,0,107,2,2,1,0.0,0.0,0.1,5,0,88,98,89.8,9,65,2,1,0,Match Report
Y,21,Sat,Premier League,Matchweek 25,Home,D 1-1,Manchester City,Chelsea,DM,90,1,0,0,0,5,1,0,0,110,3,0,2,0.3,0.3,0.1,6,0,82,94,87.2,8,59,5,4,2,Match Report
Y,22,Tue,Premier League,Matchweek 18,Home,W 1-0,Manchester City,Brentford,"DM,RM",90,0,0,0,0,2,0,0,0,122,1,1,0,0.1,0.1,0.4,9,1,95,108,88.0,18,80,4,3,2,Match Report
Y,23,Sat,Premier League,Matchweek 26,Away,W 1-0,Manchester City,Bournemouth,DM,90,0,0,0,0,1,0,0,0,97,2,0,2,0.1,0.1,0.0,4,0,82,86,95.3,6,66,1,1,0,Match Report
Y,24,Sun,Premier League,Matchweek 27,Home,W 3-1,Manchester City,Manchester Utd,DM,90,0,2,0,0,2,1,0,0,123,2,0,0,0.1,0.1,0.2,8,3,103,114,90.4,23,92,1,1,0,Match Report
Y,25,Sun,Premier League,Matchweek 28,Away,D 1-1,Manchester City,Liverpool,DM,90,0,0,0,0,0,0,1,0,117,3,0,5,0.0,0.0,0.1,2,0,90,104,86.5,3,69,0,1,1,Match Report
Y,26,Sun,Premier League,Matchweek 30,Home,D 0-0,Manchester City,Arsenal,DM,90,0,0,0,0,2,0,0,0,134,1,0,2,0.1,0.1,0.1,5,0,110,121,90.9,13,92,2,8,7,Match Report
Y,27,Wed,Premier League,Matchweek 31,Home,W 4-1,Manchester City,Aston Villa,DM,74,1,1,0,0,3,2,0,0,113,2,0,0,0.3,0.3,0.3,6,2,91,102,89.2,22,61,2,2,1,Match Report
Y,28,Sat,Premier League,Matchweek 32,Away,W 4-2,Manchester City,Crystal Palace,DM,73,0,1,0,0,1,1,0,0,116,0,0,0,0.1,0.1,0.1,4,2,100,109,91.7,15,79,2,1,1,Match Report
Y,29,Thu,Premier League,Matchweek 29,Away,W 4-0,Manchester City,Brighton,DM,78,0,0,0,0,0,0,0,0,117,1,1,0,0.0,0.0,0.0,1,0,109,113,96.5,4,82,2,2,1,Match Report
Y,30,Sun,Premier League,Matchweek 35,Away,W 2-0,Manchester City,Nott'ham Forest,DM,90,0,0,0,0,0,0,0,0,158,4,1,1,0.0,0.0,0.0,3,0,136,146,93.2,14,76,2,0,0,Match Report
