game_started,game_count,dayofweek,comp,round,venue,result,team,opponent,position,minutes,goals,assists,pens_made,pens_att,shots,shots_on_target,cards_yellow,cards_red,touches,tackles,interceptions,blocks,xg,npxg,xg_assist,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,take_ons,take_ons_won,match_report
N,1,Sat,Premier League,Matchweek 2,Home,L 0-3,Fulham,Brentford,FW,5,0,0,0,0,0,0,0,0,2,0,0,0,0.0,0.0,0.0,0,0,1,2,50.0,0,1,0,0,0,Match Report
N,2,Sat,Premier League,Matchweek 4,Away,L 1-5,Fulham,Manchester City,FW,10,0,0,0,0,0,0,0,0,4,0,0,0,0.0,0.0,0.0,0,0,2,3,66.7,1,2,0,0,0,Match Report
N,3,Sat,Premier League,Matchweek 8,Home,W 3-1,Fulham,Sheffield Utd,FW,13,0,0,0,0,1,0,0,0,9,0,1,0,0.2,0.2,0.0,1,0,3,4,75.0,0,7,0,0,0,Match Report
N,4,Sun,Premier League,Matchweek 10,Away,D 1-1,Fulham,Brighton,FW,33,0,0,0,0,1,1,1,0,8,0,0,0,0.1,0.1,0.2,0,0,1,4,25.0,0,6,0,0,0,Match Report
Y,5,Sat,Premier League,Matchweek 11,Home,L 0-1,Fulham,Manchester Utd,FW,75,0,0,0,0,2,0,0,0,21,0,0,1,0.1,0.1,0.0,2,0,6,11,54.5,0,8,0,1,0,Match Report
N,6,Sat,Premier League,Matchweek 17,Away,L 0-3,Fulham,Newcastle Utd,FW,30,0,0,0,0,1,0,0,0,4,0,0,0,0.1,0.1,0.0,0,0,1,3,33.3,0,2,0,0,0,Match Report
Y,7,Sat,Premier League,Matchweek 18,Home,L 0-2,Fulham,Burnley,FW,63,0,0,0,0,2,0,0,0,22,0,0,3,0.1,0.1,0.2,2,0,7,10,70.0,0,15,1,0,0,Match Report
Y,8,Tue,Premier League,Matchweek 19,Away,L 0-3,Fulham,Bournemouth,FW,90,0,0,0,0,4,1,0,0,28,0,0,1,0.2,0.2,0.0,1,0,10,15,66.7,1,10,0,3,1,Match Report
N,9,Sat,Premier League,Matchweek 21,Away,L 0-1,Fulham,Chelsea,AM,9,0,0,0,0,0,0,0,0,5,0,0,0,0.0,0.0,0.1,2,0,2,4,50.0,1,1,0,0,0,Match Report
N,10,Tue,Premier League,Matchweek 22,Home,D 0-0,Fulham,Everton,FW,45,0,0,0,0,2,1,0,0,12,0,1,0,0.3,0.3,0.0,1,0,4,5,80.0,0,2,0,2,0,Match Report
