game_started,game_count,dayofweek,comp,round,venue,result,team,opponent,position,minutes,goals,assists,pens_made,pens_att,shots,shots_on_target,cards_yellow,cards_red,touches,tackles,interceptions,blocks,xg,npxg,xg_assist,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,take_ons,take_ons_won,match_report
Y,1,Fri,Premier League,Matchweek 3,Away,L 0-3,Luton Town,Chelsea,CM,76,0,0,0,0,2,0,0,0,35,0,1,0,0.1,0.1,0.0,1,0,25,29,86.2,3,21,0,0,0,Match Report
Y,2,Fri,Premier League,Matchweek 4,Home,L 1-2,Luton Town,West Ham,CM,70,0,0,0,0,2,0,0,0,36,0,1,1,0.2,0.2,0.3,5,0,22,29,75.9,5,16,1,3,3,Match Report
N,3,Sat,Premier League,Matchweek 8,Home,L 0-1,Luton Town,Tottenham,CB,10,0,0,0,0,0,0,0,0,14,0,0,1,0.0,0.0,0.0,0,0,10,13,76.9,0,5,0,0,0,Match Report
N,4,Sat,Premier League,Matchweek 9,Away,D 2-2,Luton Town,Nott'ham Forest,CM,19,0,0,0,0,0,0,0,0,23,0,1,0,0.0,0.0,0.0,3,2,19,22,86.4,5,13,2,1,0,Match Report
Y,5,Sun,Premier League,Matchweek 10,Away,L 1-3,Luton Town,Aston Villa,CM,90,0,0,0,0,4,1,0,0,47,2,1,1,0.2,0.2,0.1,2,0,29,38,76.3,4,27,1,3,2,Match Report
Y,6,Sun,Premier League,Matchweek 11,Home,D 1-1,Luton Town,Liverpool,CM,90,0,0,0,0,2,1,0,0,54,3,1,1,0.0,0.0,0.0,1,1,29,40,72.5,5,25,2,4,3,Match Report
Y,7,Sat,Premier League,Matchweek 12,Away,L 0-1,Luton Town,Manchester Utd,CM,90,0,0,0,0,2,0,0,0,52,0,1,1,0.1,0.1,0.1,2,0,37,44,84.1,3,30,2,2,1,Match Report
Y,8,Sat,Premier League,Matchweek 13,Home,W 2-1,Luton Town,Crystal Palace,CM,90,0,0,0,0,1,0,1,0,53,3,0,0,0.0,0.0,0.0,2,1,37,43,86.0,5,32,1,3,1,Match Report
Y,9,Sat,Premier League,Matchweek 14,Away,L 1-3,Luton Town,Brentford,"CM,DM",90,0,0,0,0,3,0,0,0,60,0,1,1,0.1,0.1,0.0,3,0,31,46,67.4,4,22,1,3,2,Match Report
Y,10,Tue,Premier League,Matchweek 15,Home,L 3-4,Luton Town,Arsenal,CM,90,1,0,0,0,1,1,1,0,52,2,1,2,0.1,0.1,0.0,1,0,27,38,71.1,6,25,2,8,6,Match Report
Y,11,Sun,Premier League,Matchweek 16,Home,L 1-2,Luton Town,Manchester City,CM,90,0,0,0,0,1,0,0,0,38,2,0,1,0.0,0.0,0.0,1,0,24,30,80.0,7,21,1,4,2,Match Report
Y,12,Sat,Premier League,Matchweek 18,Home,W 1-0,Luton Town,Newcastle Utd,CM,90,0,1,0,0,5,0,1,0,63,1,1,0,0.2,0.2,0.8,5,1,42,50,84.0,2,36,1,4,2,Match Report
Y,13,Tue,Premier League,Matchweek 19,Away,W 3-2,Luton Town,Sheffield Utd,CM,90,0,0,0,0,3,1,0,0,74,3,2,2,0.1,0.1,0.1,4,0,50,61,82.0,8,47,0,3,3,Match Report
Y,14,Sat,Premier League,Matchweek 20,Home,L 2-3,Luton Town,Chelsea,CM,90,1,0,0,0,5,2,0,0,69,1,1,0,0.5,0.5,0.2,2,0,50,55,90.9,7,33,2,7,4,Match Report
Y,15,Fri,Premier League,Matchweek 21,Away,D 1-1,Luton Town,Burnley,CM,90,0,0,0,0,4,1,0,0,84,6,0,1,0.2,0.2,0.1,7,0,58,72,80.6,10,44,1,1,1,Match Report
Y,16,Tue,Premier League,Matchweek 22,Home,W 4-0,Luton Town,Brighton,CM,81,0,1,0,0,1,0,0,0,49,2,1,0,0.0,0.0,0.6,9,1,29,34,85.3,4,25,2,6,3,Match Report
Y,17,Sat,Premier League,Matchweek 23,Away,D 4-4,Luton Town,Newcastle Utd,CM,90,1,1,0,0,2,1,0,0,73,4,2,1,0.7,0.7,0.3,7,2,53,58,91.4,8,45,5,4,2,Match Report
Y,18,Sat,Premier League,Matchweek 24,Home,L 1-3,Luton Town,Sheffield Utd,CM,90,0,0,0,0,3,0,0,0,82,1,1,2,0.1,0.1,0.2,6,0,59,72,81.9,8,51,0,2,2,Match Report
Y,19,Sun,Premier League,Matchweek 25,Home,L 1-2,Luton Town,Manchester Utd,CM,90,0,0,0,0,2,0,0,0,81,2,1,0,0.1,0.1,0.3,7,0,63,72,87.5,7,56,3,6,5,Match Report
Y,20,Wed,Premier League,Matchweek 26,Away,L 1-4,Luton Town,Liverpool,CM,90,0,0,0,0,2,1,1,0,68,3,0,2,0.1,0.1,0.2,7,0,38,50,76.0,5,37,4,8,6,Match Report
Y,21,Sat,Premier League,Matchweek 27,Home,L 2-3,Luton Town,Aston Villa,CM,90,0,0,0,0,2,0,0,0,62,2,1,0,0.1,0.1,0.0,3,0,46,55,83.6,4,36,1,2,1,Match Report
Y,22,Sat,Premier League,Matchweek 28,Away,D 1-1,Luton Town,Crystal Palace,CM,90,0,0,0,0,1,0,0,0,59,1,2,0,0.0,0.0,0.0,3,0,44,48,91.7,6,38,1,2,1,Match Report
Y,23,Wed,Premier League,Matchweek 17,Away,L 3-4,Luton Town,Bournemouth,CM,87,1,0,0,0,2,1,0,0,37,1,1,0,0.4,0.4,0.0,2,0,25,32,78.1,2,23,3,1,0,Match Report
Y,24,Sat,Premier League,Matchweek 29,Home,D 1-1,Luton Town,Nott'ham Forest,CM,90,0,0,0,0,3,2,0,0,64,0,1,1,0.1,0.1,0.0,3,1,42,55,76.4,3,26,1,4,4,Match Report
Y,25,Sat,Premier League,Matchweek 30,Away,L 1-2,Luton Town,Tottenham,CM,90,0,1,0,0,1,1,1,0,42,2,1,0,0.0,0.0,0.1,2,1,27,35,77.1,1,24,1,2,0,Match Report
Y,26,Wed,Premier League,Matchweek 31,Away,L 0-2,Luton Town,Arsenal,CM,90,0,0,0,0,2,1,0,0,66,0,0,1,0.2,0.2,0.0,1,0,55,62,88.7,5,51,3,1,1,Match Report
Y,27,Sat,Premier League,Matchweek 32,Home,W 2-1,Luton Town,Bournemouth,CM,90,0,0,0,0,5,2,0,0,73,2,0,0,0.1,0.1,0.1,5,0,50,60,83.3,10,40,0,5,2,Match Report
Y,28,Sat,Premier League,Matchweek 33,Away,L 1-5,Luton Town,Manchester City,CM,90,1,0,0,0,1,1,0,0,50,0,1,1,0.2,0.2,0.0,2,1,37,46,80.4,5,31,1,2,1,Match Report
Y,29,Sat,Premier League,Matchweek 34,Home,L 1-5,Luton Town,Brentford,CM,90,0,0,0,0,0,0,0,0,74,2,1,1,0.0,0.0,0.0,1,0,52,61,85.2,7,43,2,4,2,Match Report
Y,30,Sat,Premier League,Matchweek 35,Away,L 1-2,Luton Town,Wolves,CM,77,0,0,0,0,1,1,0,0,50,2,0,0,0.0,0.0,0.0,1,0,39,44,88.6,1,26,1,3,3,Match Report
Y,31,Fri,Premier League,Matchweek 36,Home,D 1-1,Luton Town,Everton,CM,90,0,0,0,0,3,1,0,0,74,0,0,1,0.1,0.1,0.0,5,0,52,63,82.5,8,45,3,6,3,Match Report
Y,32,Sat,Premier League,Matchweek 37,Away,L 1-3,Luton Town,West Ham,CM,38,0,0,0,0,0,0,1,0,20,0,0,3,0.0,0.0,0.0,1,0,17,17,100.0,5,12,0,0,0,Match Report
