game_started,game_count,dayofweek,comp,round,venue,result,team,opponent,position,minutes,goals,assists,pens_made,pens_att,shots,shots_on_target,cards_yellow,cards_red,touches,tackles,interceptions,blocks,xg,npxg,xg_assist,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,take_ons,take_ons_won,match_report
Y,1,Sat,Premier League,Matchweek 2,Home,W 1-0,Manchester City,Newcastle Utd,CB,90,0,0,0,0,0,0,0,0,90,1,0,0,0.0,0.0,0.0,1,0,82,87,94.3,5,60,0,0,0,Match Report
Y,2,Sun,Premier League,Matchweek 3,Away,W 2-1,Manchester City,Sheffield Utd,CB,90,0,0,0,0,1,0,0,0,124,2,0,1,0.0,0.0,0.0,5,0,110,116,94.8,9,105,1,0,0,Match Report
Y,3,Sat,Premier League,Matchweek 4,Home,W 5-1,Manchester City,Fulham,CB,90,0,0,0,0,0,0,0,0,112,4,2,0,0.0,0.0,0.0,0,0,101,102,99.0,4,87,1,0,0,Match Report
Y,4,Sat,Premier League,Matchweek 5,Away,W 3-1,Manchester City,West Ham,CB,90,0,0,0,0,2,2,0,0,80,0,2,0,0.2,0.2,0.0,1,0,67,73,91.8,4,66,5,0,0,Match Report
Y,5,Sat,Premier League,Matchweek 6,Home,W 2-0,Manchester City,Nott'ham Forest,CB,90,0,0,0,0,0,0,0,0,80,0,1,2,0.0,0.0,0.0,1,0,65,71,91.5,3,58,0,0,0,Match Report
Y,6,Sat,Premier League,Matchweek 7,Away,L 1-2,Manchester City,Wolves,CB,90,0,0,0,0,3,1,0,0,133,1,2,2,0.2,0.2,0.0,2,0,110,121,90.9,17,98,6,0,0,Match Report
Y,7,Sun,Premier League,Matchweek 8,Away,L 0-1,Manchester City,Arsenal,CB,90,0,0,0,0,0,0,0,0,92,0,0,0,0.0,0.0,0.0,0,0,78,91,85.7,8,65,1,0,0,Match Report
N,8,Sat,Premier League,Matchweek 9,Home,W 2-1,Manchester City,Brighton,CB,16,0,0,0,0,0,0,0,0,12,0,0,0,0.0,0.0,0.0,0,0,11,11,100.0,0,8,0,0,0,Match Report
Y,9,Sun,Premier League,Matchweek 10,Away,W 3-0,Manchester City,Manchester Utd,CB,90,0,0,0,0,0,0,0,0,86,0,3,0,0.0,0.0,0.0,0,0,74,80,92.5,3,57,1,0,0,Match Report
Y,10,Sun,Premier League,Matchweek 12,Away,D 4-4,Manchester City,Chelsea,CB,90,0,0,0,0,0,0,0,0,98,1,0,2,0.0,0.0,0.0,0,0,76,84,90.5,5,56,2,0,0,Match Report
Y,11,Sat,Premier League,Matchweek 13,Home,D 1-1,Manchester City,Liverpool,CB,90,0,0,0,0,1,0,0,0,93,1,0,2,0.1,0.1,0.0,2,0,81,85,95.3,4,64,0,0,0,Match Report
