game_started,game_count,games,minutes,gk_saves,clearances,tackles,assisted_shots,fouled,shots,crosses,shots_on_target,passes,interceptions,fouls,goals,assists,cards_yellow,dayofweek,comp,round,venue,result,team,opponent,position,pens_made,pens_att,cards_red,touches,blocks,xg,npxg,xg_assist,sca,gca,passes_completed,passes_pct,progressive_passes,carries,progressive_carries,take_ons,take_ons_won,match_report
Y,1,0,66,0,0,3,0,0,1,0,1,26,0,0,0,0,0,Sat,Premier League,Matchweek 1,Home,D 1-1,Bournemouth,West Ham,AM,0,0,0,37,2,0.0,0.0,0.0,1,0,22,84.6,5,23,0,3,1,Match Report
Y,2,0,62,0,0,1,0,0,0,0,0,15,2,0,0,0,0,Sat,Premier League,Matchweek 2,Away,L 1-3,Bournemouth,Liverpool,DM,0,0,0,23,2,0.0,0.0,0.0,1,0,10,66.7,1,8,1,0,0,Match Report
Y,3,0,59,0,0,1,0,0,1,0,1,27,2,0,0,0,0,Sat,Premier League,Matchweek 3,Home,L 0-2,Bournemouth,Tottenham,DM,0,0,0,34,1,0.0,0.0,0.1,1,0,20,74.1,3,17,2,1,0,Match Report
Y,4,0,86,0,0,0,0,0,3,0,1,30,0,0,0,0,0,Sat,Premier League,Matchweek 4,Away,D 2-2,Bournemouth,Brentford,DM,0,0,0,39,1,0.1,0.1,0.4,4,0,24,80.0,2,26,2,5,4,Match Report
Y,5,0,88,0,0,1,0,0,1,0,0,30,1,0,0,0,0,Sun,Premier League,Matchweek 5,Home,D 0-0,Bournemouth,Chelsea,AM,0,0,0,39,1,0.0,0.0,0.3,4,0,25,83.3,5,27,3,2,2,Match Report
Y,6,0,81,0,0,1,0,0,1,0,0,29,0,0,0,1,0,Sun,Premier League,Matchweek 6,Away,L 1-3,Bournemouth,Brighton,AM,0,0,0,38,1,0.1,0.1,0.2,1,0,24,82.8,5,26,4,0,0,Match Report
Y,7,0,82,0,0,2,0,0,1,0,1,33,1,0,0,0,0,Sat,Premier League,Matchweek 7,Home,L 0-4,Bournemouth,Arsenal,"DM,AM",0,0,0,41,2,0.1,0.1,0.1,3,0,22,66.7,2,26,2,4,2,Match Report
Y,8,0,45,0,0,1,0,0,0,0,0,24,1,0,0,0,0,Sat,Premier League,Matchweek 8,Away,L 0-3,Bournemouth,Everton,DM,0,0,0,30,3,0.0,0.0,0.0,1,0,19,79.2,0,18,0,0,0,Match Report
N,9,0,34,0,0,1,0,0,1,0,1,8,0,0,0,0,0,Sat,Premier League,Matchweek 9,Home,L 1-2,Bournemouth,Wolves,RW,0,0,0,13,0,0.0,0.0,0.0,0,0,5,62.5,0,7,0,1,1,Match Report
Y,10,0,90,0,0,2,0,0,0,0,0,26,0,0,0,0,0,Sat,Premier League,Matchweek 10,Home,W 2-1,Bournemouth,Burnley,AM,0,0,0,37,1,0.0,0.0,0.1,6,0,18,69.2,4,19,3,1,0,Match Report
Y,11,0,90,0,0,2,0,0,0,0,0,36,2,0,0,0,0,Sat,Premier League,Matchweek 11,Away,L 1-6,Bournemouth,Manchester City,RM,0,0,0,48,0,0.0,0.0,0.0,1,0,28,77.8,2,28,4,1,0,Match Report
Y,12,0,90,0,0,4,0,0,2,0,2,38,1,0,0,0,0,Sat,Premier League,Matchweek 12,Home,W 2-0,Bournemouth,Newcastle Utd,DM,0,0,0,53,1,0.1,0.1,0.5,6,1,29,76.3,1,22,1,4,1,Match Report
Y,13,0,90,0,0,4,0,0,1,0,1,50,0,0,0,0,0,Sat,Premier League,Matchweek 13,Away,W 3-1,Bournemouth,Sheffield Utd,DM,0,0,0,63,3,0.1,0.1,0.0,1,0,39,78.0,7,27,1,0,0,Match Report
Y,14,0,90,0,0,6,0,0,3,0,1,38,2,0,0,1,1,Sun,Premier League,Matchweek 14,Home,D 2-2,Bournemouth,Aston Villa,DM,0,0,0,54,0,0.2,0.2,0.8,6,1,31,81.6,9,26,3,4,4,Match Report
Y,15,0,90,0,0,6,0,0,0,0,0,47,3,0,0,0,0,Wed,Premier League,Matchweek 15,Away,W 2-0,Bournemouth,Crystal Palace,DM,0,0,0,61,0,0.0,0.0,0.2,4,0,31,66.0,3,31,0,5,3,Match Report
Y,16,0,90,0,0,4,0,0,0,0,0,29,2,0,0,0,0,Sat,Premier League,Matchweek 16,Away,W 3-0,Bournemouth,Manchester Utd,DM,0,0,0,44,3,0.0,0.0,0.0,0,0,26,89.7,3,21,2,5,2,Match Report
Y,17,0,90,0,0,1,0,0,0,0,0,49,1,0,0,0,1,Sat,Premier League,Matchweek 18,Away,W 3-2,Bournemouth,Nott'ham Forest,DM,0,0,0,58,0,0.0,0.0,0.2,2,1,37,75.5,8,41,5,6,3,Match Report
Y,18,0,90,0,0,3,0,0,1,0,0,44,2,0,0,0,0,Tue,Premier League,Matchweek 19,Home,W 3-0,Bournemouth,Fulham,DM,0,0,0,53,1,0.0,0.0,0.0,4,0,33,75.0,2,36,1,2,1,Match Report
Y,19,0,68,0,0,0,0,0,0,0,0,33,1,0,0,0,0,Sun,Premier League,Matchweek 20,Away,L 1-3,Bournemouth,Tottenham,DM,0,0,0,40,1,0.0,0.0,0.0,5,0,30,90.9,5,23,1,1,0,Match Report
Y,20,0,90,0,0,1,0,0,2,0,1,53,3,0,0,0,0,Sun,Premier League,Matchweek 21,Home,L 0-4,Bournemouth,Liverpool,DM,0,0,0,67,0,0.1,0.1,0.6,3,0,38,71.7,6,32,0,6,2,Match Report
Y,21,0,90,0,0,4,0,0,1,0,0,53,4,0,0,0,1,Thu,Premier League,Matchweek 22,Away,D 1-1,Bournemouth,West Ham,DM,0,0,0,72,2,0.0,0.0,0.0,3,0,38,71.7,6,37,3,3,3,Match Report
Y,22,0,55,0,0,1,0,0,1,0,0,19,1,0,0,0,0,Sun,Premier League,Matchweek 23,Home,D 1-1,Bournemouth,Nott'ham Forest,DM,0,0,0,26,0,0.0,0.0,0.0,1,0,11,57.9,4,14,0,4,2,Match Report
Y,23,0,90,0,0,2,0,0,4,0,0,52,3,0,0,0,0,Sat,Premier League,Matchweek 24,Away,L 1-3,Bournemouth,Fulham,DM,0,0,0,69,1,0.1,0.1,0.1,5,0,38,73.1,7,28,1,4,0,Match Report
Y,24,0,89,0,0,2,0,0,0,0,0,34,0,0,0,0,1,Sat,Premier League,Matchweek 25,Away,D 2-2,Bournemouth,Newcastle Utd,DM,0,0,0,41,1,0.0,0.0,0.1,4,0,25,73.5,4,22,1,3,2,Match Report
Y,25,0,87,0,0,3,0,0,1,0,1,41,1,0,0,0,0,Sat,Premier League,Matchweek 26,Home,L 0-1,Bournemouth,Manchester City,"DM,RW",0,0,0,50,1,0.1,0.1,0.1,4,0,30,73.2,6,30,1,1,1,Match Report
