game_started,game_count,dayofweek,comp,round,venue,result,team,opponent,position,minutes,match_report
Y,1,Sat,Premier League,Matchweek 1,Away,W 1-0,Crystal Palace,Sheffield Utd,GK,90,Match Report
Y,2,Mon,Premier League,Matchweek 2,Home,L 0-1,Crystal Palace,Arsenal,GK,90,Match Report
Y,3,Sat,Premier League,Matchweek 3,Away,D 1-1,Crystal Palace,Brentford,GK,90,Match Report
Y,4,Sun,Premier League,Matchweek 4,Home,W 3-2,Crystal Palace,Wolves,GK,90,Match Report
Y,5,Sat,Premier League,Matchweek 5,Away,L 1-3,Crystal Palace,Aston Villa,GK,90,Match Report
Y,6,Sat,Premier League,Matchweek 6,Home,D 0-0,Crystal Palace,Fulham,GK,90,Match Report
Y,7,Sat,Premier League,Matchweek 7,Away,W 1-0,Crystal Palace,Manchester Utd,GK,90,Match Report
Y,8,Sat,Premier League,Matchweek 8,Home,D 0-0,Crystal Palace,Nott'ham Forest,GK,90,Match Report
Y,9,Sat,Premier League,Matchweek 9,Away,L 0-4,Crystal Palace,Newcastle Utd,GK,90,Match Report
Y,10,Fri,Premier League,Matchweek 10,Home,L 1-2,Crystal Palace,Tottenham,GK,90,Match Report
Y,11,Sat,Premier League,Matchweek 11,Away,W 2-0,Crystal Palace,Burnley,GK,90,Match Report
Y,12,Sat,Premier League,Matchweek 12,Home,L 2-3,Crystal Palace,Everton,GK,90,Match Report
Y,13,Sat,Premier League,Matchweek 13,Away,L 1-2,Crystal Palace,Luton Town,GK,90,Match Report
Y,14,Sun,Premier League,Matchweek 14,Away,D 1-1,Crystal Palace,West Ham,GK,90,Match Report
Y,15,Wed,Premier League,Matchweek 15,Home,L 0-2,Crystal Palace,Bournemouth,GK,90,Match Report
Y,16,Sat,Premier League,Matchweek 16,Home,L 1-2,Crystal Palace,Liverpool,GK,86,Match Report
Y,17,Mon,Premier League,Matchweek 25,Away,D 1-1,Crystal Palace,Everton,GK,90,Match Report
Y,18,Sat,Premier League,Matchweek 26,Home,W 3-0,Crystal Palace,Burnley,GK,90,Match Report
Y,19,Sat,Premier League,Matchweek 27,Away,L 1-3,Crystal Palace,Tottenham,GK,90,Match Report
Y,20,Sat,Premier League,Matchweek 28,Home,D 1-1,Crystal Palace,Luton Town,GK,90,Match Report
