game_started,game_count,dayofweek,comp,round,venue,result,team,opponent,position,minutes,goals,assists,pens_made,pens_att,shots,shots_on_target,cards_yellow,cards_red,touches,tackles,interceptions,blocks,xg,npxg,xg_assist,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,take_ons,take_ons_won,match_report
N,1,Mon,Premier League,Matchweek 1,Home,W 1-0,Manchester Utd,Wolves,FW,3,0,0,0,0,0,0,0,0,5,1,0,1,0.0,0.0,0.0,0,0,2,2,100.0,0,1,0,1,0,Match Report
N,2,Sat,Premier League,Matchweek 3,Home,W 3-2,Manchester Utd,Nott'ham Forest,DM,6,0,0,0,0,0,0,0,0,6,0,0,0,0.0,0.0,0.0,1,0,3,5,60.0,1,5,1,0,0,Match Report
Y,3,Sat,Premier League,Matchweek 5,Home,L 1-3,Manchester Utd,Brighton,RM,84,0,0,0,0,0,0,0,0,20,0,1,0,0.0,0.0,0.0,0,0,15,17,88.2,1,14,1,2,2,Match Report
Y,4,Sat,Premier League,Matchweek 6,Away,W 1-0,Manchester Utd,Burnley,DM,90,0,0,0,0,1,1,0,0,43,2,2,2,0.0,0.0,0.0,0,0,26,33,78.8,2,13,1,1,0,Match Report
N,5,Sat,Premier League,Matchweek 8,Home,W 2-1,Manchester Utd,Brentford,FW,4,2,0,0,0,2,2,0,0,5,1,0,0,0.4,0.4,0.0,0,0,2,2,100.0,1,2,0,0,0,Match Report
Y,6,Sat,Premier League,Matchweek 9,Away,W 2-1,Manchester Utd,Sheffield Utd,DM,62,1,0,0,0,2,1,0,0,17,2,0,0,0.1,0.1,0.0,0,0,8,9,88.9,0,10,0,0,0,Match Report
Y,7,Sun,Premier League,Matchweek 10,Home,L 0-3,Manchester Utd,Manchester City,"DM,AM",90,0,0,0,0,2,2,0,0,40,4,1,2,0.2,0.2,0.0,1,0,24,28,85.7,3,21,2,1,1,Match Report
Y,8,Sat,Premier League,Matchweek 11,Away,W 1-0,Manchester Utd,Fulham,"DM,CM",90,0,0,0,0,1,0,0,0,56,1,2,3,0.1,0.1,0.0,0,0,29,40,72.5,6,34,0,1,1,Match Report
Y,9,Sat,Premier League,Matchweek 12,Home,W 1-0,Manchester Utd,Luton Town,DM,90,0,0,0,0,2,1,0,0,55,2,0,1,0.2,0.2,0.0,0,0,38,45,84.4,3,31,0,1,1,Match Report
Y,10,Sun,Premier League,Matchweek 13,Away,W 3-0,Manchester Utd,Everton,DM,90,0,0,0,0,1,0,0,0,38,3,1,0,0.0,0.0,0.0,0,0,22,28,78.6,2,22,0,0,0,Match Report
Y,11,Sat,Premier League,Matchweek 14,Away,L 0-1,Manchester Utd,Newcastle Utd,DM,90,0,0,0,0,0,0,0,0,30,2,0,1,0.0,0.0,0.0,1,0,22,24,91.7,1,13,2,0,0,Match Report
Y,12,Wed,Premier League,Matchweek 15,Home,W 2-1,Manchester Utd,Chelsea,DM,90,2,0,0,0,7,5,0,0,40,1,1,1,1.8,1.8,0.0,2,0,21,24,87.5,3,21,3,1,0,Match Report
Y,13,Sat,Premier League,Matchweek 16,Home,L 0-3,Manchester Utd,Bournemouth,DM,90,0,0,0,0,7,1,0,0,55,1,0,2,0.5,0.5,0.0,2,0,36,43,83.7,3,35,0,1,0,Match Report
Y,14,Sun,Premier League,Matchweek 17,Away,D 0-0,Manchester Utd,Liverpool,AM,90,0,0,0,0,1,0,0,0,49,3,1,3,0.1,0.1,0.3,3,0,20,28,71.4,3,18,1,5,2,Match Report
Y,15,Sat,Premier League,Matchweek 18,Away,L 0-2,Manchester Utd,West Ham,DM,90,0,0,0,0,1,0,0,0,47,3,0,0,0.1,0.1,0.0,3,0,33,37,89.2,6,19,1,0,0,Match Report
N,16,Tue,Premier League,Matchweek 19,Home,W 3-2,Manchester Utd,Aston Villa,"CM,DM",10,0,0,0,0,0,0,0,0,7,0,0,0,0.0,0.0,0.0,0,0,2,3,66.7,0,1,0,0,0,Match Report
N,17,Sat,Premier League,Matchweek 20,Away,L 1-2,Manchester Utd,Nott'ham Forest,DM,45,0,0,0,0,1,1,0,0,35,3,1,1,0.1,0.1,0.0,0,0,19,21,90.5,1,13,0,1,0,Match Report
N,18,Sun,Premier League,Matchweek 21,Home,D 2-2,Manchester Utd,Tottenham,DM,33,0,0,0,0,2,0,0,0,21,2,0,3,0.4,0.4,0.0,0,0,10,11,90.9,2,9,0,0,0,Match Report
N,19,Thu,Premier League,Matchweek 22,Away,W 4-3,Manchester Utd,Wolves,DM,18,1,0,0,0,2,2,0,0,10,1,0,0,0.9,0.9,0.0,1,0,4,6,66.7,2,7,2,0,0,Match Report
N,20,Sun,Premier League,Matchweek 23,Home,W 3-0,Manchester Utd,West Ham,DM,27,0,1,0,0,1,0,0,0,14,3,0,0,0.1,0.1,0.2,2,2,7,10,70.0,3,9,2,0,0,Match Report
N,21,Sun,Premier League,Matchweek 24,Away,W 2-1,Manchester Utd,Aston Villa,LW,18,1,0,0,0,1,1,0,0,7,0,0,0,0.1,0.1,0.0,0,0,4,6,66.7,1,4,0,0,0,Match Report
N,22,Sun,Premier League,Matchweek 25,Away,W 2-1,Manchester Utd,Luton Town,DM,45,0,0,0,0,0,0,0,0,21,3,0,2,0.0,0.0,0.0,0,0,10,11,90.9,0,12,1,2,1,Match Report
N,23,Sat,Premier League,Matchweek 26,Home,L 1-2,Manchester Utd,Fulham,"AM,DM",38,0,0,0,0,1,0,0,0,20,0,1,1,0.1,0.1,0.0,2,0,10,18,55.6,1,9,0,0,0,Match Report
Y,24,Sun,Premier League,Matchweek 27,Away,L 1-3,Manchester Utd,Manchester City,FW,90,0,0,0,0,0,0,0,0,33,1,0,2,0.0,0.0,0.0,0,0,18,22,81.8,3,15,1,0,0,Match Report
Y,25,Sat,Premier League,Matchweek 28,Home,W 2-0,Manchester Utd,Everton,FW,90,0,0,0,0,0,0,1,0,35,1,0,2,0.0,0.0,0.0,3,0,19,26,73.1,4,24,1,0,0,Match Report
Y,26,Sat,Premier League,Matchweek 30,Away,D 1-1,Manchester Utd,Brentford,DM,90,0,0,0,0,1,0,1,0,50,1,0,4,0.0,0.0,0.0,0,0,23,33,69.7,2,22,0,1,0,Match Report
N,27,Thu,Premier League,Matchweek 31,Away,L 3-4,Manchester Utd,Chelsea,DM,16,0,0,0,0,0,0,0,0,12,2,1,1,0.0,0.0,0.0,0,0,6,8,75.0,0,4,1,0,0,Match Report
N,28,Wed,Premier League,Matchweek 29,Home,W 4-2,Manchester Utd,Sheffield Utd,DM,27,0,0,0,0,1,1,0,0,24,1,0,0,0.1,0.1,0.0,0,0,21,22,95.5,0,18,0,0,0,Match Report
N,29,Sat,Premier League,Matchweek 35,Home,D 1-1,Manchester Utd,Burnley,DM,25,0,0,0,0,1,0,0,0,16,0,0,0,0.0,0.0,0.0,1,0,10,11,90.9,3,10,1,0,0,Match Report
Y,30,Sun,Premier League,Matchweek 37,Home,L 0-1,Manchester Utd,Arsenal,AM,90,0,0,0,0,1,0,0,0,41,0,1,2,0.0,0.0,0.1,2,0,24,29,82.8,4,28,4,0,0,Match Report
Y,31,Wed,Premier League,Matchweek 34,Home,W 3-2,Manchester Utd,Newcastle Utd,"FW,CM,RM",90,0,0,0,0,2,1,0,0,42,4,1,0,0.2,0.2,0.0,1,0,19,28,67.9,2,19,1,2,0,Match Report
Y,32,Sun,Premier League,Matchweek 38,Away,W 2-0,Manchester Utd,Brighton,FW,90,0,0,0,0,3,0,0,0,33,1,0,0,0.3,0.3,0.0,1,0,21,25,84.0,1,22,3,1,0,Match Report
