game_started,game_count,games,minutes,gk_saves,clearances,tackles,assisted_shots,fouled,shots,crosses,shots_on_target,passes,interceptions,fouls,goals,assists,cards_yellow,dayofweek,comp,round,venue,result,team,opponent,position,pens_made,pens_att,cards_red,touches,blocks,xg,npxg,xg_assist,sca,gca,passes_completed,passes_pct,progressive_passes,carries,progressive_carries,take_ons,take_ons_won,match_report
N,1,0,17,0,0,0,0,0,1,0,0,12,0,0,0,0,0,Sat,Premier League,Matchweek 21,Home,W 3-2,Brentford,Nott'ham Forest,WB,0,0,0,19,2,0.0,0.0,0.0,0,0,8,66.7,1,7,1,2,0,Match Report
Y,2,0,78,0,0,4,0,0,1,0,0,30,3,0,0,0,0,Mon,Premier League,Matchweek 23,Home,L 1-3,Brentford,Manchester City,WB,0,0,0,44,2,0.1,0.1,0.0,1,0,17,56.7,1,18,2,3,2,Match Report
Y,3,0,90,0,0,6,0,0,0,0,0,26,1,0,0,1,0,Sat,Premier League,Matchweek 24,Away,W 2-0,Brentford,Wolves,WB,0,0,0,37,1,0.0,0.0,0.8,2,1,17,65.4,1,17,3,1,0,Match Report
Y,4,0,84,0,0,2,0,0,1,0,1,37,1,0,0,0,1,Sat,Premier League,Matchweek 25,Home,L 1-4,Brentford,Liverpool,WB,0,0,0,45,2,0.1,0.1,0.0,3,1,25,67.6,2,17,1,1,1,Match Report
Y,5,0,77,0,0,2,0,0,1,0,0,32,0,0,0,0,0,Tue,Premier League,Matchweek 18,Away,L 0-1,Brentford,Manchester City,WB,0,0,0,44,2,0.0,0.0,0.1,2,0,20,62.5,1,18,1,0,0,Match Report
Y,6,0,72,0,0,7,0,0,1,0,0,26,0,0,0,0,1,Mon,Premier League,Matchweek 26,Away,L 2-4,Brentford,West Ham,WB,0,0,0,43,0,0.0,0.0,0.1,1,0,13,50.0,0,13,1,2,0,Match Report
Y,7,0,90,0,0,3,0,0,3,0,0,30,2,0,0,0,0,Sat,Premier League,Matchweek 27,Home,D 2-2,Brentford,Chelsea,WB,0,0,0,51,3,0.3,0.3,0.1,2,1,19,63.3,0,18,0,2,0,Match Report
Y,8,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Sat,Premier League,Matchweek 29,Away,L 1-2,Brentford,Burnley,WB,0,0,1,1,0,0.0,0.0,0.0,0,0,0,,0,0,0,0,0,Match Report
N,9,0,18,0,0,0,0,0,0,0,0,3,1,0,0,0,0,Wed,Premier League,Matchweek 31,Home,D 0-0,Brentford,Brighton,WB,0,0,0,5,1,0.0,0.0,0.0,0,0,2,66.7,1,2,1,1,1,Match Report
Y,10,0,75,0,0,1,0,0,2,0,0,26,0,0,0,2,0,Sat,Premier League,Matchweek 32,Away,D 3-3,Brentford,Aston Villa,WB,0,0,0,33,2,0.1,0.1,0.9,3,2,16,61.5,2,16,4,0,0,Match Report
Y,11,0,90,0,0,3,0,0,1,0,0,55,1,0,0,0,0,Sat,Premier League,Matchweek 33,Home,W 2-0,Brentford,Sheffield Utd,"LB,WB",0,0,0,73,1,0.1,0.1,0.1,4,1,34,61.8,5,42,6,2,1,Match Report
Y,12,0,90,0,0,3,0,0,1,0,0,45,2,0,0,1,0,Sat,Premier League,Matchweek 34,Away,W 5-1,Brentford,Luton Town,LB,0,0,0,62,1,0.0,0.0,0.5,6,0,37,82.2,6,35,5,2,1,Match Report
Y,13,0,77,0,0,3,0,0,1,0,0,42,1,0,0,0,1,Sat,Premier League,Matchweek 35,Away,L 0-1,Brentford,Everton,LB,0,0,0,55,2,0.0,0.0,0.1,3,0,30,71.4,7,22,1,3,2,Match Report
Y,14,0,90,0,0,2,0,0,0,0,0,59,3,0,0,0,1,Sat,Premier League,Matchweek 36,Home,D 0-0,Brentford,Fulham,LB,0,0,0,74,2,0.0,0.0,0.0,4,0,46,78.0,7,45,1,1,1,Match Report
Y,15,0,90,0,0,7,0,0,0,0,0,50,1,0,0,0,0,Sat,Premier League,Matchweek 37,Away,W 2-1,Brentford,Bournemouth,LB,0,0,0,64,0,0.0,0.0,0.0,2,0,31,62.0,1,23,2,4,3,Match Report
Y,16,0,73,0,0,2,0,0,0,0,0,49,0,0,0,0,0,Sun,Premier League,Matchweek 38,Home,L 2-4,Brentford,Newcastle Utd,LB,0,0,0,58,2,0.0,0.0,0.1,2,0,36,73.5,3,25,5,2,1,Match Report
