game_started,game_count,dayofweek,comp,round,venue,result,team,opponent,position,minutes,goals,assists,pens_made,pens_att,shots,shots_on_target,cards_yellow,cards_red,touches,tackles,interceptions,blocks,xg,npxg,xg_assist,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,take_ons,take_ons_won,match_report
Y,1,Sat,Premier League,Matchweek 1,Away,L 1-4,Luton Town,Brighton,CM,87,0,0,0,0,0,0,0,0,36,2,1,0,0.0,0.0,0.0,1,0,18,22,81.8,3,22,0,1,0,Match Report
Y,2,Fri,Premier League,Matchweek 3,Away,L 0-3,Luton Town,Chelsea,CM,76,0,0,0,0,1,0,0,0,27,4,1,0,0.0,0.0,0.0,2,0,18,20,90.0,1,19,2,2,1,Match Report
Y,3,Fri,Premier League,Matchweek 4,Home,L 1-2,Luton Town,West Ham,CM,83,0,0,0,0,2,0,0,0,39,0,0,2,0.2,0.2,0.0,1,0,22,27,81.5,6,22,2,5,0,Match Report
Y,4,Sat,Premier League,Matchweek 5,Away,L 0-1,Luton Town,Fulham,CM,73,0,0,0,0,1,1,1,0,18,1,0,0,0.1,0.1,0.0,0,0,8,12,66.7,1,9,1,0,0,Match Report
N,5,Tue,Premier League,Matchweek 2,Home,L 1-2,Luton Town,Burnley,AM,22,0,0,0,0,1,0,1,0,13,0,0,0,0.0,0.0,0.0,2,1,10,12,83.3,2,10,1,1,1,Match Report
N,6,Sat,Premier League,Matchweek 8,Home,L 0-1,Luton Town,Tottenham,CM,24,0,0,0,0,0,0,0,0,16,2,1,0,0.0,0.0,0.0,1,0,7,9,77.8,1,8,1,0,0,Match Report
Y,7,Sat,Premier League,Matchweek 9,Away,D 2-2,Luton Town,Nott'ham Forest,LM,71,0,0,0,0,1,1,0,0,34,0,0,5,0.0,0.0,0.0,0,0,11,15,73.3,1,16,2,5,0,Match Report
N,8,Sun,Premier League,Matchweek 10,Away,L 1-3,Luton Town,Aston Villa,AM,33,0,0,0,0,1,0,0,0,12,2,0,0,0.0,0.0,0.0,1,0,6,8,75.0,2,7,0,1,0,Match Report
N,9,Sun,Premier League,Matchweek 11,Home,D 1-1,Luton Town,Liverpool,AM,30,1,0,0,0,1,1,0,0,9,4,0,0,0.4,0.4,0.0,0,0,0,0,,0,4,0,0,0,Match Report
N,10,Sat,Premier League,Matchweek 12,Away,L 0-1,Luton Town,Manchester Utd,AM,30,0,0,0,0,1,0,0,0,19,0,0,0,0.0,0.0,0.0,3,0,15,15,100.0,3,18,0,0,0,Match Report
N,11,Sat,Premier League,Matchweek 13,Home,W 2-1,Luton Town,Crystal Palace,AM,30,0,0,0,0,0,0,0,0,8,0,0,0,0.0,0.0,0.0,0,0,2,4,50.0,0,5,3,1,1,Match Report
Y,12,Sat,Premier League,Matchweek 14,Away,L 1-3,Luton Town,Brentford,"AM,LW",90,0,0,0,0,1,0,1,0,23,2,0,0,0.0,0.0,0.0,2,0,9,14,64.3,4,15,5,2,1,Match Report
N,13,Tue,Premier League,Matchweek 15,Home,L 3-4,Luton Town,Arsenal,AM,30,0,0,0,0,0,0,0,0,4,0,0,1,0.0,0.0,0.0,0,0,2,2,100.0,0,2,0,0,0,Match Report
N,14,Sun,Premier League,Matchweek 16,Home,L 1-2,Luton Town,Manchester City,LM,7,0,0,0,0,1,0,0,0,3,0,0,0,0.0,0.0,0.0,1,0,1,2,50.0,1,3,0,1,1,Match Report
N,15,Sat,Premier League,Matchweek 20,Home,L 2-3,Luton Town,Chelsea,AM,45,0,0,0,0,1,0,0,0,26,0,0,2,0.1,0.1,0.0,2,0,16,21,76.2,7,17,2,2,0,Match Report
N,16,Fri,Premier League,Matchweek 21,Away,D 1-1,Luton Town,Burnley,AM,27,0,0,0,0,0,0,0,0,20,0,0,1,0.0,0.0,0.0,1,0,11,16,68.8,0,15,0,0,0,Match Report
N,17,Tue,Premier League,Matchweek 22,Home,W 4-0,Luton Town,Brighton,AM,20,0,0,0,0,1,0,0,0,11,1,0,1,0.0,0.0,0.0,0,0,5,5,100.0,1,5,0,2,0,Match Report
N,18,Sat,Premier League,Matchweek 24,Home,L 1-3,Luton Town,Sheffield Utd,AM,38,0,0,0,0,1,0,0,0,24,0,0,2,0.0,0.0,0.3,4,0,15,18,83.3,4,19,4,2,2,Match Report
Y,19,Sun,Premier League,Matchweek 25,Home,L 1-2,Luton Town,Manchester Utd,AM,67,0,0,0,0,3,0,0,0,44,0,0,0,0.1,0.1,0.0,6,1,27,38,71.1,6,29,5,3,2,Match Report
Y,20,Wed,Premier League,Matchweek 26,Away,L 1-4,Luton Town,Liverpool,AM,62,0,0,0,0,1,1,0,0,28,1,1,1,0.0,0.0,0.0,2,1,15,18,83.3,1,16,2,2,1,Match Report
Y,21,Sat,Premier League,Matchweek 27,Home,L 2-3,Luton Town,Aston Villa,AM,83,1,0,0,0,3,1,0,0,30,2,0,0,0.4,0.4,0.0,3,0,14,16,87.5,1,18,2,4,0,Match Report
Y,22,Sat,Premier League,Matchweek 28,Away,D 1-1,Luton Town,Crystal Palace,AM,86,0,0,0,0,0,0,0,0,29,0,0,0,0.0,0.0,0.0,3,0,21,25,84.0,2,22,1,4,3,Match Report
Y,23,Wed,Premier League,Matchweek 17,Away,L 3-4,Luton Town,Bournemouth,AM,72,1,0,0,0,1,1,0,0,25,2,0,3,0.6,0.6,0.0,2,1,12,15,80.0,3,15,1,1,0,Match Report
Y,24,Sat,Premier League,Matchweek 29,Home,D 1-1,Luton Town,Nott'ham Forest,"WB,AM",90,0,0,0,0,2,0,0,0,34,1,1,0,0.0,0.0,0.0,0,0,16,20,80.0,1,19,3,6,0,Match Report
Y,25,Sat,Premier League,Matchweek 30,Away,L 1-2,Luton Town,Tottenham,LW,73,1,0,0,0,1,1,0,0,24,0,0,2,0.1,0.1,0.0,0,0,6,13,46.2,2,20,1,2,1,Match Report
N,26,Wed,Premier League,Matchweek 31,Away,L 0-2,Luton Town,Arsenal,"AM,LM",38,0,0,0,0,0,0,0,0,16,1,0,0,0.0,0.0,0.0,0,0,12,13,92.3,3,14,1,1,1,Match Report
Y,27,Sat,Premier League,Matchweek 32,Home,W 2-1,Luton Town,Bournemouth,AM,79,0,0,0,0,2,0,0,0,36,1,1,2,0.2,0.2,0.0,3,0,18,24,75.0,1,24,0,2,0,Match Report
