game_started,game_count,dayofweek,comp,round,venue,result,team,opponent,position,minutes,goals,assists,pens_made,pens_att,shots,shots_on_target,cards_yellow,cards_red,touches,tackles,interceptions,blocks,xg,npxg,xg_assist,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,take_ons,take_ons_won,match_report
N,1,Sat,Premier League,Matchweek 1,Home,W 2-1,Arsenal,Nott'ham Forest,LB,41,0,0,0,0,1,1,0,0,48,0,1,0,0.0,0.0,0.0,0,0,37,43,86.0,3,39,0,0,0,Match Report
Y,2,Mon,Premier League,Matchweek 2,Away,W 1-0,Arsenal,Crystal Palace,LB,66,0,0,0,0,0,0,2,1,52,0,0,0,0.0,0.0,0.0,1,0,38,50,76.0,5,32,1,3,2,Match Report
N,3,Sun,Premier League,Matchweek 4,Home,W 3-1,Arsenal,Manchester Utd,LB,15,0,0,0,0,0,0,0,0,20,0,0,0,0.0,0.0,0.0,0,0,17,21,81.0,1,10,0,0,0,Match Report
N,4,Sun,Premier League,Matchweek 5,Away,W 1-0,Arsenal,Everton,LB,11,0,0,0,0,0,0,0,0,8,0,0,0,0.0,0.0,0.0,0,0,3,6,50.0,0,1,0,0,0,Match Report
N,5,Sat,Premier League,Matchweek 7,Away,W 4-0,Arsenal,Bournemouth,LB,22,0,0,0,0,0,0,0,0,11,0,0,0,0.0,0.0,0.0,0,0,7,9,77.8,0,8,0,0,0,Match Report
N,6,Sun,Premier League,Matchweek 8,Home,W 1-0,Arsenal,Manchester City,LB,16,0,0,0,0,0,0,0,0,10,0,0,0,0.0,0.0,0.0,1,1,9,10,90.0,1,5,0,0,0,Match Report
N,7,Sat,Premier League,Matchweek 9,Away,D 2-2,Arsenal,Chelsea,LB,45,0,0,0,0,2,0,0,0,26,0,1,0,0.1,0.1,0.0,1,0,20,21,95.2,5,15,0,0,0,Match Report
N,8,Sat,Premier League,Matchweek 10,Home,W 5-0,Arsenal,Sheffield Utd,RB,25,1,0,0,0,2,1,0,0,28,0,2,0,0.2,0.2,0.0,0,0,21,24,87.5,0,17,0,0,0,Match Report
Y,9,Sat,Premier League,Matchweek 11,Away,L 0-1,Arsenal,Newcastle Utd,"LB,RB",90,0,0,0,0,1,0,0,0,43,1,1,1,0.0,0.0,0.0,1,0,29,38,76.3,1,20,1,1,1,Match Report
Y,10,Sat,Premier League,Matchweek 12,Home,W 3-1,Arsenal,Burnley,RB,90,0,0,0,0,1,0,0,0,89,3,1,0,0.0,0.0,0.0,0,0,68,81,84.0,15,64,5,0,0,Match Report
Y,11,Sat,Premier League,Matchweek 13,Away,W 1-0,Arsenal,Brentford,RB,90,0,0,0,0,1,0,0,0,73,1,2,1,0.1,0.1,0.0,2,0,48,61,78.7,5,41,1,1,0,Match Report
Y,12,Sat,Premier League,Matchweek 14,Home,W 2-1,Arsenal,Wolves,RB,78,0,1,0,0,0,0,0,0,82,5,1,0,0.0,0.0,0.2,3,1,65,75,86.7,13,59,2,2,1,Match Report
N,13,Sun,Premier League,Matchweek 20,Away,L 1-2,Arsenal,Fulham,"CB,LB",45,0,0,0,0,0,0,0,0,47,1,1,1,0.0,0.0,0.0,2,0,35,39,89.7,9,30,1,0,0,Match Report
N,14,Sun,Premier League,Matchweek 30,Away,D 0-0,Arsenal,Manchester City,LB,25,0,0,0,0,0,0,0,0,11,1,0,1,0.0,0.0,0.0,0,0,5,6,83.3,0,6,0,0,0,Match Report
N,15,Wed,Premier League,Matchweek 31,Home,W 2-0,Arsenal,Luton Town,LB,16,0,0,0,0,1,0,0,0,13,0,0,0,0.0,0.0,0.0,0,0,10,12,83.3,2,9,0,0,0,Match Report
N,16,Sat,Premier League,Matchweek 32,Away,W 3-0,Arsenal,Brighton,LB,19,0,0,0,0,0,0,0,0,6,0,0,0,0.0,0.0,0.0,0,0,3,4,75.0,0,2,0,1,0,Match Report
N,17,Sun,Premier League,Matchweek 33,Home,L 0-2,Arsenal,Aston Villa,"RB,CB",24,0,0,0,0,0,0,0,0,29,0,0,1,0.0,0.0,0.0,0,0,17,22,77.3,1,13,0,1,0,Match Report
Y,18,Tue,Premier League,Matchweek 29,Home,W 5-0,Arsenal,Chelsea,LB,71,0,0,0,0,1,0,0,0,36,1,2,0,0.3,0.3,0.0,2,0,28,30,93.3,1,17,5,0,0,Match Report
Y,19,Sun,Premier League,Matchweek 35,Away,W 3-2,Arsenal,Tottenham,LB,90,0,0,0,0,1,0,0,0,31,1,2,1,0.0,0.0,0.0,0,0,17,22,77.3,0,12,0,2,0,Match Report
Y,20,Sat,Premier League,Matchweek 36,Home,W 3-0,Arsenal,Bournemouth,LB,90,0,0,0,0,1,0,0,0,59,3,2,2,0.2,0.2,0.1,2,0,33,46,71.7,1,19,1,0,0,Match Report
Y,21,Sun,Premier League,Matchweek 37,Away,W 1-0,Arsenal,Manchester Utd,LB,90,0,0,0,0,1,0,0,0,38,3,0,0,0.0,0.0,0.0,0,0,20,28,71.4,1,13,0,1,0,Match Report
Y,22,Sun,Premier League,Matchweek 38,Home,W 2-1,Arsenal,Everton,"LB,CB",90,1,0,0,0,4,1,0,0,64,0,2,2,0.5,0.5,0.0,2,0,44,49,89.8,8,37,0,0,0,Match Report
