game_started,game_count,dayofweek,comp,round,venue,result,team,opponent,position,minutes,goals,assists,pens_made,pens_att,shots,shots_on_target,cards_yellow,cards_red,touches,tackles,interceptions,blocks,xg,npxg,xg_assist,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,take_ons,take_ons_won,match_report
N,1,Sat,Premier League,Matchweek 7,Away,W 2-1,Luton Town,Everton,CB,35,0,0,0,0,0,0,0,0,12,2,1,0,0.0,0.0,0.0,0,0,3,4,75.0,0,1,0,0,0,Match Report
Y,2,Tue,Premier League,Matchweek 2,Home,L 1-2,Luton Town,Burnley,CB,90,0,0,0,0,0,0,0,0,67,2,4,1,0.0,0.0,0.0,0,0,43,57,75.4,4,34,1,0,0,Match Report
N,3,Sat,Premier League,Matchweek 8,Home,L 0-1,Luton Town,Tottenham,CB,32,0,0,0,0,1,0,0,0,20,0,2,1,0.0,0.0,0.0,0,0,12,16,75.0,1,8,0,0,0,Match Report
Y,4,Sat,Premier League,Matchweek 9,Away,D 2-2,Luton Town,Nott'ham Forest,CB,90,0,0,0,0,0,0,0,0,38,0,0,2,0.0,0.0,0.0,0,0,26,32,81.3,5,18,0,0,0,Match Report
Y,5,Sun,Premier League,Matchweek 10,Away,L 1-3,Luton Town,Aston Villa,CB,90,0,0,0,0,1,0,0,0,28,3,3,4,0.1,0.1,0.0,0,0,13,14,92.9,1,12,0,0,0,Match Report
Y,6,Sun,Premier League,Matchweek 11,Home,D 1-1,Luton Town,Liverpool,CB,90,0,0,0,0,0,0,0,0,29,1,3,2,0.0,0.0,0.0,0,0,5,10,50.0,0,2,0,0,0,Match Report
Y,7,Sat,Premier League,Matchweek 12,Away,L 0-1,Luton Town,Manchester Utd,CB,90,0,0,0,0,1,1,0,0,41,3,1,1,0.0,0.0,0.0,0,0,22,27,81.5,0,19,1,2,1,Match Report
Y,8,Sat,Premier League,Matchweek 13,Home,W 2-1,Luton Town,Crystal Palace,CB,90,1,0,0,0,1,1,0,0,46,3,1,1,0.1,0.1,0.0,0,0,18,26,69.2,2,20,0,0,0,Match Report
Y,9,Sat,Premier League,Matchweek 14,Away,L 1-3,Luton Town,Brentford,CB,75,0,0,0,0,0,0,0,0,23,1,1,1,0.0,0.0,0.0,0,0,8,14,57.1,1,5,0,1,0,Match Report
Y,10,Tue,Premier League,Matchweek 15,Home,L 3-4,Luton Town,Arsenal,CB,90,0,0,0,0,1,1,0,0,45,2,1,1,0.0,0.0,0.0,0,0,22,32,68.8,3,14,1,2,2,Match Report
Y,11,Sun,Premier League,Matchweek 16,Home,L 1-2,Luton Town,Manchester City,CB,90,0,0,0,0,0,0,0,0,37,0,2,0,0.0,0.0,0.0,0,0,23,31,74.2,0,17,1,1,0,Match Report
Y,12,Sat,Premier League,Matchweek 18,Home,W 1-0,Luton Town,Newcastle Utd,CB,90,0,0,0,0,1,0,1,0,24,1,3,0,0.0,0.0,0.0,1,0,9,16,56.3,2,12,1,1,1,Match Report
Y,13,Tue,Premier League,Matchweek 19,Away,W 3-2,Luton Town,Sheffield Utd,CB,90,0,0,0,0,1,0,0,0,44,0,3,1,0.1,0.1,0.0,1,0,21,26,80.8,1,20,0,0,0,Match Report
Y,14,Sat,Premier League,Matchweek 20,Home,L 2-3,Luton Town,Chelsea,CB,90,0,0,0,0,0,0,1,0,54,7,2,1,0.0,0.0,0.1,1,0,32,43,74.4,3,20,1,1,0,Match Report
Y,15,Fri,Premier League,Matchweek 21,Away,D 1-1,Luton Town,Burnley,CB,90,0,0,0,0,0,0,0,0,64,2,4,0,0.0,0.0,0.0,0,0,42,55,76.4,2,38,0,0,0,Match Report
Y,16,Sat,Premier League,Matchweek 23,Away,D 4-4,Luton Town,Newcastle Utd,CB,90,0,0,0,0,0,0,0,0,57,0,4,4,0.0,0.0,0.0,1,0,39,43,90.7,2,25,0,0,0,Match Report
Y,17,Sun,Premier League,Matchweek 25,Home,L 1-2,Luton Town,Manchester Utd,CB,90,0,0,0,0,0,0,0,0,64,1,2,0,0.0,0.0,0.1,5,0,47,57,82.5,7,39,0,1,1,Match Report
Y,18,Wed,Premier League,Matchweek 26,Away,L 1-4,Luton Town,Liverpool,CB,90,0,0,0,0,0,0,0,0,52,6,1,2,0.0,0.0,0.0,0,0,21,30,70.0,1,18,0,0,0,Match Report
Y,19,Sat,Premier League,Matchweek 27,Home,L 2-3,Luton Town,Aston Villa,CB,90,0,0,0,0,1,0,0,0,67,3,4,0,0.1,0.1,0.0,1,0,45,56,80.4,2,36,0,0,0,Match Report
Y,20,Sat,Premier League,Matchweek 28,Away,D 1-1,Luton Town,Crystal Palace,CB,61,0,0,0,0,0,0,0,0,36,0,1,2,0.0,0.0,0.0,0,0,21,27,77.8,0,22,0,0,0,Match Report
Y,21,Wed,Premier League,Matchweek 17,Away,L 3-4,Luton Town,Bournemouth,CB,90,0,0,0,0,0,0,0,0,44,1,0,1,0.0,0.0,0.0,0,0,20,29,69.0,1,15,0,0,0,Match Report
Y,22,Sat,Premier League,Matchweek 29,Home,D 1-1,Luton Town,Nott'ham Forest,CB,90,0,0,0,0,0,0,0,0,63,1,0,2,0.0,0.0,0.0,0,0,42,51,82.4,6,32,3,0,0,Match Report
Y,23,Sat,Premier League,Matchweek 30,Away,L 1-2,Luton Town,Tottenham,CB,90,0,0,0,0,0,0,1,0,34,2,2,1,0.0,0.0,0.0,0,0,15,21,71.4,2,13,0,0,0,Match Report
Y,24,Wed,Premier League,Matchweek 31,Away,L 0-2,Luton Town,Arsenal,CB,90,0,0,0,0,0,0,0,0,48,2,2,3,0.0,0.0,0.0,0,0,31,37,83.8,0,32,0,0,0,Match Report
Y,25,Sat,Premier League,Matchweek 32,Home,W 2-1,Luton Town,Bournemouth,CB,90,0,0,0,0,0,0,0,0,42,3,1,0,0.0,0.0,0.0,1,0,24,33,72.7,2,23,3,1,1,Match Report
Y,26,Sat,Premier League,Matchweek 34,Home,L 1-5,Luton Town,Brentford,CB,90,0,0,0,0,0,0,0,0,53,0,2,3,0.0,0.0,0.0,0,0,32,39,82.1,3,26,1,0,0,Match Report
Y,27,Sat,Premier League,Matchweek 35,Away,L 1-2,Luton Town,Wolves,CB,90,0,0,0,0,0,0,0,0,56,2,2,1,0.0,0.0,0.0,0,0,40,43,93.0,3,28,1,0,0,Match Report
Y,28,Fri,Premier League,Matchweek 36,Home,D 1-1,Luton Town,Everton,CB,90,0,0,0,0,3,1,0,0,59,2,3,4,0.2,0.2,0.1,3,0,34,42,81.0,0,31,1,1,1,Match Report
Y,29,Sat,Premier League,Matchweek 37,Away,L 1-3,Luton Town,West Ham,CB,90,0,0,0,0,0,0,0,0,38,4,2,0,0.0,0.0,0.0,0,0,16,24,66.7,0,14,0,0,0,Match Report
Y,30,Sun,Premier League,Matchweek 38,Home,L 2-4,Luton Town,Fulham,CB,16,0,0,0,0,0,0,0,0,3,0,0,0,0.0,0.0,0.0,0,0,2,3,66.7,0,2,0,0,0,Match Report
