game_started,game_count,dayofweek,comp,round,venue,result,team,opponent,position,minutes,goals,assists,pens_made,pens_att,shots,shots_on_target,cards_yellow,cards_red,touches,tackles,interceptions,blocks,xg,npxg,xg_assist,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,take_ons,take_ons_won,match_report
Y,1,Sat,Premier League,Matchweek 1,Away,W 1-0,Fulham,Everton,CB,90,0,0,0,0,0,0,0,0,76,0,0,0,0.0,0.0,0.0,0,0,62,70,88.6,5,59,1,0,0,Match Report
Y,2,Sat,Premier League,Matchweek 2,Home,L 0-3,Fulham,Brentford,CB,63,0,0,0,0,0,0,2,1,58,0,1,1,0.0,0.0,0.0,0,0,47,51,92.2,1,37,2,0,0,Match Report
Y,3,Sat,Premier League,Matchweek 4,Away,L 1-5,Fulham,Manchester City,CB,90,1,0,0,0,1,1,0,0,62,1,3,0,1.0,1.0,0.0,0,0,45,54,83.3,4,32,0,1,1,Match Report
Y,4,Sat,Premier League,Matchweek 5,Home,W 1-0,Fulham,Luton Town,CB,90,0,0,0,0,0,0,0,0,155,3,0,0,0.0,0.0,0.0,1,0,140,148,94.6,13,115,3,1,0,Match Report
Y,5,Sat,Premier League,Matchweek 6,Away,D 0-0,Fulham,Crystal Palace,CB,90,0,0,0,0,0,0,1,0,71,3,0,0,0.0,0.0,0.0,0,0,51,59,86.4,8,39,4,0,0,Match Report
Y,6,Mon,Premier League,Matchweek 7,Home,L 0-2,Fulham,Chelsea,CB,90,0,0,0,0,0,0,0,0,85,1,1,1,0.0,0.0,0.0,1,0,71,79,89.9,3,52,0,0,0,Match Report
Y,7,Sat,Premier League,Matchweek 8,Home,W 3-1,Fulham,Sheffield Utd,CB,90,0,0,0,0,0,0,0,0,69,6,1,2,0.0,0.0,0.0,1,0,46,57,80.7,0,37,0,0,0,Match Report
Y,8,Mon,Premier League,Matchweek 9,Away,L 0-2,Fulham,Tottenham,CB,90,0,0,0,0,0,0,0,0,63,0,1,4,0.0,0.0,0.0,0,0,55,56,98.2,7,43,0,1,1,Match Report
Y,9,Sun,Premier League,Matchweek 10,Away,D 1-1,Fulham,Brighton,CB,90,0,0,0,0,0,0,0,0,39,0,6,1,0.0,0.0,0.0,0,0,24,28,85.7,1,18,0,0,0,Match Report
Y,10,Sat,Premier League,Matchweek 11,Home,L 0-1,Fulham,Manchester Utd,CB,90,0,0,0,0,0,0,0,0,58,0,2,0,0.0,0.0,0.0,1,0,33,48,68.8,6,24,0,0,0,Match Report
Y,11,Sun,Premier League,Matchweek 12,Away,L 1-3,Fulham,Aston Villa,CB,90,0,0,0,0,0,0,0,0,83,0,2,1,0.0,0.0,0.0,0,0,68,78,87.2,2,59,0,1,1,Match Report
Y,12,Mon,Premier League,Matchweek 13,Home,W 3-2,Fulham,Wolves,CB,90,0,0,0,0,0,0,1,0,85,2,2,0,0.0,0.0,0.0,0,0,75,79,94.9,3,59,1,0,0,Match Report
Y,13,Sun,Premier League,Matchweek 14,Away,L 3-4,Fulham,Liverpool,CB,90,0,0,0,0,0,0,0,0,43,1,1,3,0.0,0.0,0.0,0,0,28,35,80.0,3,18,0,1,1,Match Report
N,14,Tue,Premier League,Matchweek 22,Home,D 0-0,Fulham,Everton,CB,16,0,0,0,0,0,0,0,0,12,0,0,2,0.0,0.0,0.0,1,0,7,9,77.8,0,5,0,0,0,Match Report
Y,15,Sat,Premier League,Matchweek 23,Away,D 2-2,Fulham,Burnley,CB,90,0,0,0,0,0,0,0,0,66,1,3,0,0.0,0.0,0.0,1,0,50,58,86.2,0,46,0,0,0,Match Report
Y,16,Sat,Premier League,Matchweek 24,Home,W 3-1,Fulham,Bournemouth,CB,90,0,0,0,0,0,0,0,0,55,0,1,5,0.0,0.0,0.0,1,1,38,39,97.4,2,23,0,1,1,Match Report
Y,17,Sat,Premier League,Matchweek 25,Home,L 1-2,Fulham,Aston Villa,CB,74,0,0,0,0,0,0,0,0,69,0,1,2,0.0,0.0,0.0,1,0,58,62,93.5,7,44,0,0,0,Match Report
Y,18,Sun,Premier League,Matchweek 38,Away,W 4-2,Fulham,Luton Town,CB,90,0,0,0,0,0,0,0,0,57,2,0,1,0.0,0.0,0.0,2,0,46,50,92.0,0,29,0,1,1,Match Report
