game_started,game_count,dayofweek,comp,round,venue,result,team,opponent,position,minutes,goals,assists,pens_made,pens_att,shots,shots_on_target,cards_yellow,cards_red,touches,tackles,interceptions,blocks,xg,npxg,xg_assist,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,take_ons,take_ons_won,match_report
N,1,Sat,Premier League,Matchweek 3,Away,D 2-2,Fulham,Arsenal,CB,2,0,0,0,0,0,0,0,0,5,0,0,1,0.0,0.0,0.0,0,0,0,0,,0,0,0,0,0,Match Report
N,2,Mon,Premier League,Matchweek 13,Home,W 3-2,Fulham,Wolves,LW,1,0,0,0,0,0,0,0,0,5,0,0,0,0.0,0.0,0.0,0,0,0,4,0.0,0,1,0,0,0,Match Report
Y,3,Wed,Premier League,Matchweek 15,Home,W 5-0,Fulham,Nott'ham Forest,CB,90,0,0,0,0,0,0,0,0,89,1,1,0,0.0,0.0,0.0,0,0,74,85,87.1,6,54,0,1,0,Match Report
Y,4,Sun,Premier League,Matchweek 16,Home,W 5-0,Fulham,West Ham,CB,90,1,0,0,0,1,1,0,0,122,0,2,0,0.0,0.0,0.0,0,0,100,111,90.1,4,81,1,0,0,Match Report
Y,5,Sat,Premier League,Matchweek 17,Away,L 0-3,Fulham,Newcastle Utd,CB,90,0,0,0,0,0,0,0,0,42,4,1,2,0.0,0.0,0.0,0,0,18,30,60.0,2,19,1,1,1,Match Report
Y,6,Sat,Premier League,Matchweek 18,Home,L 0-2,Fulham,Burnley,CB,90,0,0,0,0,1,0,0,0,122,1,3,1,0.0,0.0,0.1,0,0,103,112,92.0,7,73,1,0,0,Match Report
Y,7,Tue,Premier League,Matchweek 19,Away,L 0-3,Fulham,Bournemouth,CB,90,0,0,0,0,0,0,0,0,66,1,1,3,0.0,0.0,0.0,0,0,46,54,85.2,3,27,0,1,0,Match Report
Y,8,Sun,Premier League,Matchweek 20,Home,W 2-1,Fulham,Arsenal,CB,90,0,0,0,0,1,0,0,0,57,1,1,0,0.0,0.0,0.0,0,0,40,46,87.0,0,38,1,0,0,Match Report
Y,9,Sat,Premier League,Matchweek 21,Away,L 0-1,Fulham,Chelsea,CB,90,0,0,0,0,1,0,0,0,67,1,3,3,0.0,0.0,0.0,2,0,35,49,71.4,1,34,0,0,0,Match Report
Y,10,Tue,Premier League,Matchweek 22,Home,D 0-0,Fulham,Everton,CB,90,0,0,0,0,1,1,0,0,74,0,2,0,0.1,0.1,0.0,2,0,54,64,84.4,2,37,0,0,0,Match Report
Y,11,Sat,Premier League,Matchweek 23,Away,D 2-2,Fulham,Burnley,CB,90,0,0,0,0,2,1,0,0,99,0,2,1,0.2,0.2,0.0,2,0,72,89,80.9,4,69,0,0,0,Match Report
Y,12,Sat,Premier League,Matchweek 26,Away,W 2-1,Fulham,Manchester Utd,CB,90,0,0,0,0,1,0,1,0,63,0,1,0,0.0,0.0,0.0,0,0,54,59,91.5,2,40,0,0,0,Match Report
Y,13,Sat,Premier League,Matchweek 27,Home,W 3-0,Fulham,Brighton,CB,90,0,0,0,0,1,0,0,0,51,5,0,0,0.0,0.0,0.0,0,0,27,38,71.1,2,23,0,0,0,Match Report
Y,14,Sat,Premier League,Matchweek 28,Away,L 1-2,Fulham,Wolves,CB,90,0,0,0,0,1,0,0,0,94,2,1,0,0.2,0.2,0.0,1,0,80,89,89.9,5,67,1,0,0,Match Report
Y,15,Sat,Premier League,Matchweek 29,Home,W 3-0,Fulham,Tottenham,CB,90,0,0,0,0,0,0,0,0,52,0,0,1,0.0,0.0,0.0,0,0,36,48,75.0,1,32,0,0,0,Match Report
Y,16,Sat,Premier League,Matchweek 30,Away,D 3-3,Fulham,Sheffield Utd,CB,84,0,0,0,0,2,0,0,0,80,0,0,1,0.0,0.0,0.0,0,0,70,76,92.1,6,47,1,0,0,Match Report
Y,17,Tue,Premier League,Matchweek 31,Away,L 1-3,Fulham,Nott'ham Forest,CB,90,1,0,0,0,2,2,0,0,100,1,0,1,0.1,0.1,0.0,2,0,83,95,87.4,11,67,3,0,0,Match Report
Y,18,Sat,Premier League,Matchweek 32,Home,L 0-1,Fulham,Newcastle Utd,CB,90,0,0,0,0,0,0,0,0,69,2,5,1,0.0,0.0,0.0,0,0,51,61,83.6,4,47,1,0,0,Match Report
Y,19,Sun,Premier League,Matchweek 33,Away,W 2-0,Fulham,West Ham,CB,90,0,0,0,0,0,0,0,0,59,1,0,0,0.0,0.0,0.0,1,0,40,46,87.0,0,28,0,0,0,Match Report
Y,20,Sun,Premier League,Matchweek 34,Home,L 1-3,Fulham,Liverpool,CB,90,0,0,0,0,0,0,1,0,74,1,2,1,0.0,0.0,0.0,0,0,45,60,75.0,2,33,0,0,0,Match Report
