game_started,game_count,dayofweek,comp,round,venue,result,team,opponent,position,minutes,goals,assists,pens_made,pens_att,shots,shots_on_target,cards_yellow,cards_red,touches,tackles,interceptions,blocks,xg,npxg,xg_assist,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,take_ons,take_ons_won,match_report
Y,1,Sun,Premier League,Matchweek 1,Away,D 1-1,Liverpool,Chelsea,RB,90,0,0,0,0,0,0,1,0,57,2,0,0,0.0,0.0,0.0,1,0,26,47,55.3,4,21,0,1,0,Match Report
Y,2,Sat,Premier League,Matchweek 2,Home,W 3-1,Liverpool,Bournemouth,RB,74,0,0,0,0,3,2,0,0,79,1,1,1,0.1,0.1,0.1,7,1,53,70,75.7,6,34,6,4,3,Match Report
Y,3,Sun,Premier League,Matchweek 3,Away,W 2-1,Liverpool,Newcastle Utd,RB,90,0,0,0,0,0,0,1,0,59,2,0,1,0.0,0.0,0.1,3,1,35,50,70.0,3,20,3,2,2,Match Report
Y,4,Sun,Premier League,Matchweek 4,Home,W 3-0,Liverpool,Aston Villa,RB,70,0,1,0,0,2,0,0,0,91,0,2,0,0.1,0.1,0.6,7,1,75,86,87.2,4,60,4,1,0,Match Report
N,5,Sat,Premier League,Matchweek 7,Away,L 1-2,Liverpool,Tottenham,WB,17,0,0,0,0,0,0,0,0,9,1,0,0,0.0,0.0,0.0,1,0,3,6,50.0,0,3,0,2,0,Match Report
Y,6,Sun,Premier League,Matchweek 8,Away,D 2-2,Liverpool,Brighton,RB,79,0,0,0,0,0,0,0,0,71,3,1,0,0.0,0.0,0.0,2,0,56,66,84.8,4,39,2,0,0,Match Report
Y,7,Sat,Premier League,Matchweek 9,Home,W 2-0,Liverpool,Everton,RB,90,0,0,0,0,4,0,0,0,118,1,1,0,0.2,0.2,0.0,4,0,80,107,74.8,8,57,2,3,2,Match Report
Y,8,Sun,Premier League,Matchweek 10,Home,W 3-0,Liverpool,Nott'ham Forest,RB,88,0,0,0,0,3,0,1,0,93,2,1,0,0.1,0.1,0.1,2,0,72,84,85.7,8,34,2,2,1,Match Report
Y,9,Sun,Premier League,Matchweek 11,Away,D 1-1,Liverpool,Luton Town,RB,90,0,0,0,0,2,0,0,0,114,0,2,1,0.0,0.0,0.8,9,0,80,103,77.7,14,70,1,2,0,Match Report
Y,10,Sun,Premier League,Matchweek 12,Home,W 3-0,Liverpool,Brentford,RB,89,0,0,0,0,0,0,0,0,83,0,1,1,0.0,0.0,0.5,5,1,55,74,74.3,10,44,2,1,1,Match Report
Y,11,Sat,Premier League,Matchweek 13,Away,D 1-1,Liverpool,Manchester City,RB,90,1,0,0,0,1,1,0,0,66,3,2,0,0.0,0.0,0.0,2,0,39,54,72.2,4,30,1,5,2,Match Report
Y,12,Sun,Premier League,Matchweek 14,Home,W 4-3,Liverpool,Fulham,"RB,DM",90,1,0,0,0,4,1,0,0,99,1,0,1,0.2,0.2,0.3,7,0,71,89,79.8,16,54,3,4,3,Match Report
Y,13,Wed,Premier League,Matchweek 15,Away,W 2-0,Liverpool,Sheffield Utd,RB,90,0,1,0,0,1,0,0,0,114,1,2,1,0.0,0.0,0.8,9,1,73,107,68.2,9,65,0,4,1,Match Report
Y,14,Sat,Premier League,Matchweek 16,Away,W 2-1,Liverpool,Crystal Palace,"CM,RB",90,0,0,0,0,0,0,0,0,109,0,2,2,0.0,0.0,0.6,6,0,78,96,81.3,13,80,2,2,1,Match Report
Y,15,Sun,Premier League,Matchweek 17,Home,D 0-0,Liverpool,Manchester Utd,"RB,LM",90,0,0,0,0,4,0,0,0,125,3,2,0,0.2,0.2,0.4,11,0,80,112,71.4,15,78,0,3,3,Match Report
Y,16,Sat,Premier League,Matchweek 18,Home,D 1-1,Liverpool,Arsenal,RB,90,0,1,0,0,1,0,0,0,86,1,0,1,0.4,0.4,0.1,6,1,52,78,66.7,6,38,0,0,0,Match Report
Y,17,Tue,Premier League,Matchweek 19,Away,W 2-0,Liverpool,Burnley,RB,90,0,0,0,0,1,0,1,0,121,4,1,1,0.0,0.0,0.5,4,0,87,111,78.4,8,77,1,1,0,Match Report
Y,18,Mon,Premier League,Matchweek 20,Home,W 4-2,Liverpool,Newcastle Utd,RB,90,0,0,0,0,3,0,1,0,89,1,4,1,0.3,0.0,0.0,5,0,48,80,60.0,8,32,1,3,3,Match Report
N,19,Wed,Premier League,Matchweek 22,Home,W 4-1,Liverpool,Chelsea,RB,23,0,0,0,0,0,0,0,0,26,0,0,1,0.0,0.0,0.0,3,0,20,21,95.2,4,17,0,3,2,Match Report
Y,20,Sun,Premier League,Matchweek 23,Away,L 1-3,Liverpool,Arsenal,RB,57,0,0,0,0,0,0,0,0,39,1,0,1,0.0,0.0,0.0,1,0,21,34,61.8,2,19,1,1,0,Match Report
Y,21,Sat,Premier League,Matchweek 24,Home,W 3-1,Liverpool,Burnley,RB,45,0,1,0,0,1,0,0,0,63,1,1,0,0.0,0.0,0.3,4,1,44,59,74.6,7,35,0,1,1,Match Report
N,22,Sun,Premier League,Matchweek 33,Home,L 0-1,Liverpool,Crystal Palace,RB,43,0,0,0,0,1,0,0,0,55,0,0,1,0.0,0.0,0.0,1,0,32,52,61.5,3,34,0,1,1,Match Report
Y,23,Sun,Premier League,Matchweek 34,Away,W 3-1,Liverpool,Fulham,RB,79,1,0,0,0,1,1,0,0,93,1,1,1,0.1,0.1,0.1,3,0,65,86,75.6,9,53,1,1,1,Match Report
Y,24,Wed,Premier League,Matchweek 29,Away,L 0-2,Liverpool,Everton,RB,83,0,0,0,0,1,0,0,0,121,0,1,3,0.0,0.0,0.0,3,0,88,112,78.6,9,84,3,1,1,Match Report
Y,25,Sat,Premier League,Matchweek 35,Away,D 2-2,Liverpool,West Ham,RB,78,0,0,0,0,4,2,0,0,93,0,0,1,0.2,0.2,0.3,6,0,66,83,79.5,10,60,4,0,0,Match Report
Y,26,Sun,Premier League,Matchweek 36,Home,W 4-2,Liverpool,Tottenham,RB,90,0,0,0,0,4,0,1,0,77,6,3,1,0.1,0.1,0.1,7,0,47,66,71.2,6,40,1,2,0,Match Report
Y,27,Mon,Premier League,Matchweek 37,Away,D 3-3,Liverpool,Aston Villa,RB,90,0,0,0,0,2,1,0,0,83,1,2,1,0.1,0.1,0.0,2,0,59,74,79.7,6,42,2,0,0,Match Report
Y,28,Sun,Premier League,Matchweek 38,Home,W 2-0,Liverpool,Wolves,RB,70,0,0,0,0,4,0,0,0,63,3,1,1,0.3,0.3,1.2,5,0,48,55,87.3,9,30,3,2,0,Match Report
