game_started,game_count,dayofweek,comp,round,venue,result,team,opponent,position,minutes,goals,assists,pens_made,pens_att,shots,shots_on_target,cards_yellow,cards_red,touches,tackles,interceptions,blocks,xg,npxg,xg_assist,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,take_ons,take_ons_won,match_report
Y,1,Sat,Premier League,Matchweek 1,Away,W 1-0,Crystal Palace,Sheffield Utd,LB,90,0,0,0,0,0,0,0,0,93,2,0,1,0.0,0.0,0.0,1,0,66,85,77.6,3,57,1,1,1,Match Report
Y,2,Mon,Premier League,Matchweek 2,Home,L 0-1,Crystal Palace,Arsenal,LB,90,0,0,0,0,1,0,0,0,65,3,0,1,0.1,0.1,0.3,3,0,40,53,75.5,2,30,1,1,0,Match Report
Y,3,Sat,Premier League,Matchweek 3,Away,D 1-1,Crystal Palace,Brentford,LB,90,0,0,0,0,0,0,0,0,33,1,0,1,0.0,0.0,0.0,0,0,19,29,65.5,1,16,0,1,1,Match Report
Y,4,Sun,Premier League,Matchweek 4,Home,W 3-2,Crystal Palace,Wolves,LB,90,0,1,0,0,0,0,0,0,51,0,0,0,0.0,0.0,0.2,3,1,38,47,80.9,3,22,0,1,0,Match Report
Y,5,Sat,Premier League,Matchweek 5,Away,L 1-3,Crystal Palace,Aston Villa,LB,90,0,0,0,0,0,0,0,0,52,0,1,0,0.0,0.0,0.0,0,0,35,46,76.1,0,23,2,1,1,Match Report
Y,6,Sat,Premier League,Matchweek 6,Home,D 0-0,Crystal Palace,Fulham,LB,90,0,0,0,0,0,0,1,0,58,1,0,3,0.0,0.0,0.0,0,0,32,47,68.1,1,21,0,1,0,Match Report
Y,7,Sat,Premier League,Matchweek 7,Away,W 1-0,Crystal Palace,Manchester Utd,LB,90,0,0,0,0,0,0,0,0,43,3,3,4,0.0,0.0,0.0,0,0,15,24,62.5,0,12,2,1,0,Match Report
Y,8,Sat,Premier League,Matchweek 8,Home,D 0-0,Crystal Palace,Nott'ham Forest,LB,90,0,0,0,0,0,0,0,0,66,4,1,0,0.0,0.0,0.1,4,0,50,58,86.2,10,35,1,1,1,Match Report
Y,9,Sat,Premier League,Matchweek 9,Away,L 0-4,Crystal Palace,Newcastle Utd,LB,90,0,0,0,0,1,0,1,0,77,5,1,1,0.0,0.0,0.1,2,0,38,61,62.3,4,38,0,1,0,Match Report
Y,10,Fri,Premier League,Matchweek 10,Home,L 1-2,Crystal Palace,Tottenham,LB,69,0,0,0,0,0,0,0,0,26,1,2,1,0.0,0.0,0.0,0,0,13,19,68.4,1,9,0,1,1,Match Report
Y,11,Sat,Premier League,Matchweek 11,Away,W 2-0,Crystal Palace,Burnley,LB,90,1,0,0,0,1,1,0,0,45,1,0,2,0.4,0.4,0.0,1,0,19,34,55.9,2,13,1,1,0,Match Report
Y,12,Sat,Premier League,Matchweek 12,Home,L 2-3,Crystal Palace,Everton,LB,90,0,0,0,0,0,0,0,0,80,4,1,0,0.0,0.0,0.0,1,0,56,70,80.0,8,37,1,0,0,Match Report
Y,13,Sat,Premier League,Matchweek 13,Away,L 1-2,Crystal Palace,Luton Town,LB,90,0,0,0,0,0,0,0,0,71,3,1,1,0.0,0.0,0.0,0,0,41,58,70.7,4,27,0,1,1,Match Report
Y,14,Sun,Premier League,Matchweek 14,Away,D 1-1,Crystal Palace,West Ham,LB,90,0,0,0,0,0,0,0,0,47,3,3,2,0.0,0.0,0.0,0,0,22,33,66.7,2,18,0,0,0,Match Report
Y,15,Wed,Premier League,Matchweek 15,Home,L 0-2,Crystal Palace,Bournemouth,LB,28,0,0,0,0,0,0,0,0,21,2,0,1,0.0,0.0,0.2,1,0,11,15,73.3,0,4,0,0,0,Match Report
