game_started,game_count,dayofweek,comp,round,venue,result,team,opponent,position,minutes,goals,assists,pens_made,pens_att,shots,shots_on_target,cards_yellow,cards_red,touches,tackles,interceptions,blocks,xg,npxg,xg_assist,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,take_ons,take_ons_won,match_report
N,1,Mon,Premier League,Matchweek 1,Home,W 1-0,Manchester Utd,Wolves,CB,45,0,0,0,0,0,0,0,0,18,1,0,0,0.0,0.0,0.0,0,0,11,15,73.3,0,10,0,0,0,Match Report
N,2,Sat,Premier League,Matchweek 3,Home,W 3-2,Manchester Utd,Nott'ham Forest,CB,45,0,0,0,0,0,0,0,0,24,0,0,1,0.0,0.0,0.1,2,0,19,20,95.0,2,15,1,0,0,Match Report
Y,3,Sun,Premier League,Matchweek 4,Away,L 1-3,Manchester Utd,Arsenal,CB,83,0,0,0,0,0,0,1,0,72,0,0,3,0.0,0.0,0.0,0,0,67,69,97.1,0,49,0,0,0,Match Report
Y,4,Sat,Premier League,Matchweek 5,Home,L 1-3,Manchester Utd,Brighton,CB,90,0,0,0,0,1,0,0,0,69,0,1,0,0.1,0.1,0.1,3,0,62,66,93.9,3,54,0,1,1,Match Report
Y,5,Sat,Premier League,Matchweek 6,Away,W 1-0,Manchester Utd,Burnley,"CB,LB",90,0,0,0,0,0,0,0,0,68,1,0,0,0.0,0.0,0.0,1,1,57,64,89.1,1,40,0,0,0,Match Report
Y,6,Sat,Premier League,Matchweek 7,Home,L 0-1,Manchester Utd,Crystal Palace,CB,87,0,0,0,0,0,0,0,0,103,2,0,0,0.0,0.0,0.0,0,0,91,96,94.8,6,80,3,0,0,Match Report
Y,7,Sat,Premier League,Matchweek 8,Home,W 2-1,Manchester Utd,Brentford,LB,70,0,0,0,0,0,0,0,0,67,0,2,2,0.0,0.0,0.0,1,0,53,58,91.4,3,40,2,0,0,Match Report
Y,8,Sat,Premier League,Matchweek 9,Away,W 2-1,Manchester Utd,Sheffield Utd,LB,90,0,1,0,0,0,0,0,0,82,1,1,1,0.0,0.0,0.0,3,2,56,72,77.8,1,52,1,0,0,Match Report
Y,9,Sun,Premier League,Matchweek 10,Home,L 0-3,Manchester Utd,Manchester City,LB,72,0,0,0,0,0,0,0,0,47,0,2,1,0.0,0.0,0.0,0,0,36,42,85.7,1,24,0,0,0,Match Report
Y,10,Sat,Premier League,Matchweek 12,Home,W 1-0,Manchester Utd,Luton Town,"CB,LB",90,1,0,0,0,1,1,0,0,119,1,1,1,0.1,0.1,0.0,0,0,109,115,94.8,10,81,6,0,0,Match Report
Y,11,Sun,Premier League,Matchweek 13,Away,W 3-0,Manchester Utd,Everton,CB,90,0,0,0,0,0,0,0,0,68,3,1,4,0.0,0.0,0.0,2,0,41,52,78.8,0,27,0,0,0,Match Report
Y,12,Wed,Premier League,Matchweek 15,Home,W 2-1,Manchester Utd,Chelsea,CB,45,0,0,0,0,1,0,0,0,39,2,0,0,0.0,0.0,0.0,0,0,32,35,91.4,0,28,0,0,0,Match Report
N,13,Sun,Premier League,Matchweek 23,Home,W 3-0,Manchester Utd,West Ham,LB,3,0,0,0,0,0,0,0,0,8,0,0,0,0.0,0.0,0.0,1,0,8,8,100.0,0,6,0,0,0,Match Report
N,14,Sun,Premier League,Matchweek 24,Away,W 2-1,Manchester Utd,Aston Villa,LB,45,0,0,0,0,0,0,0,0,37,1,1,0,0.0,0.0,0.0,1,0,24,31,77.4,1,12,0,0,0,Match Report
N,15,Sun,Premier League,Matchweek 25,Away,W 2-1,Manchester Utd,Luton Town,LB,46,0,0,0,0,0,0,1,0,14,0,0,0,0.0,0.0,0.0,0,0,8,14,57.1,0,4,0,0,0,Match Report
Y,16,Sat,Premier League,Matchweek 26,Home,L 1-2,Manchester Utd,Fulham,LB,89,0,0,0,0,1,1,0,0,65,0,0,0,0.1,0.1,0.0,4,0,55,58,94.8,4,34,3,0,0,Match Report
Y,17,Sun,Premier League,Matchweek 27,Away,L 1-3,Manchester Utd,Manchester City,"LB,CB",90,0,0,0,0,0,0,0,0,37,0,2,1,0.0,0.0,0.0,0,0,21,30,70.0,2,20,0,0,0,Match Report
Y,18,Sat,Premier League,Matchweek 28,Home,W 2-0,Manchester Utd,Everton,"LB,CB",90,0,0,0,0,2,2,0,0,52,2,0,1,0.4,0.4,0.0,0,0,44,47,93.6,2,20,0,0,0,Match Report
Y,19,Sat,Premier League,Matchweek 30,Away,D 1-1,Manchester Utd,Brentford,CB,68,0,0,0,0,0,0,0,0,48,1,1,3,0.0,0.0,0.0,1,0,32,35,91.4,4,24,1,0,0,Match Report
