game_started,game_count,dayofweek,comp,round,venue,result,team,opponent,position,minutes,goals,assists,pens_made,pens_att,shots,shots_on_target,cards_yellow,cards_red,touches,tackles,interceptions,blocks,xg,npxg,xg_assist,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,take_ons,take_ons_won,match_report
Y,1,Sun,Premier League,Matchweek 5,Home,L 0-1,Everton,Arsenal,LB,90,0,0,0,0,1,0,0,0,37,5,1,1,0.0,0.0,0.0,0,0,17,24,70.8,1,15,0,1,0,Match Report
Y,2,Sat,Premier League,Matchweek 6,Away,W 3-1,Everton,Brentford,LB,90,0,0,0,0,1,1,0,0,65,2,1,2,0.1,0.1,0.0,0,0,37,49,75.5,2,27,1,2,2,Match Report
Y,3,Sat,Premier League,Matchweek 7,Home,L 1-2,Everton,Luton Town,LB,90,0,0,0,0,0,0,0,0,114,8,0,4,0.0,0.0,0.3,6,0,75,98,76.5,3,48,0,1,1,Match Report
Y,4,Sat,Premier League,Matchweek 8,Home,W 3-0,Everton,Bournemouth,LB,90,0,0,0,0,1,0,0,0,54,3,1,1,0.1,0.1,0.0,1,0,32,43,74.4,2,19,1,1,1,Match Report
Y,5,Sat,Premier League,Matchweek 9,Away,L 0-2,Everton,Liverpool,LB,87,0,0,0,0,0,0,0,0,33,3,3,2,0.0,0.0,0.0,0,0,13,23,56.5,1,7,0,1,0,Match Report
Y,6,Sun,Premier League,Matchweek 10,Away,W 1-0,Everton,West Ham,LB,90,0,0,0,0,0,0,0,0,59,6,4,0,0.0,0.0,0.0,2,0,35,46,76.1,2,21,0,0,0,Match Report
Y,7,Sat,Premier League,Matchweek 11,Home,D 1-1,Everton,Brighton,LB,90,1,0,0,0,3,2,0,0,36,2,2,0,0.2,0.2,0.0,3,1,16,25,64.0,1,10,1,1,1,Match Report
Y,8,Sat,Premier League,Matchweek 12,Away,W 3-2,Everton,Crystal Palace,LB,90,1,0,0,0,3,1,1,0,58,3,2,2,0.5,0.5,0.0,1,1,27,39,69.2,0,26,0,1,1,Match Report
Y,9,Sun,Premier League,Matchweek 13,Home,L 0-3,Everton,Manchester Utd,LB,90,0,0,0,0,4,0,0,0,63,2,0,1,0.1,0.1,0.0,1,0,42,52,80.8,4,27,1,0,0,Match Report
Y,10,Sat,Premier League,Matchweek 14,Away,W 1-0,Everton,Nott'ham Forest,LB,90,0,0,0,0,0,0,0,0,64,2,2,2,0.0,0.0,0.0,0,0,29,48,60.4,3,23,0,1,1,Match Report
Y,11,Thu,Premier League,Matchweek 15,Home,W 3-0,Everton,Newcastle Utd,LB,90,0,0,0,0,0,0,0,0,41,0,1,0,0.0,0.0,0.0,0,0,31,35,88.6,2,19,0,1,1,Match Report
Y,12,Sun,Premier League,Matchweek 16,Home,W 2-0,Everton,Chelsea,LB,90,0,0,0,0,1,0,0,0,47,7,1,3,0.1,0.1,0.0,2,0,17,24,70.8,0,15,0,2,0,Match Report
Y,13,Sat,Premier League,Matchweek 18,Away,L 1-2,Everton,Tottenham,LB,90,0,0,0,0,2,1,0,0,47,3,2,1,0.1,0.1,0.2,1,0,30,32,93.8,4,16,1,3,0,Match Report
Y,14,Wed,Premier League,Matchweek 19,Home,L 1-3,Everton,Manchester City,LB,90,0,0,0,0,1,0,0,0,45,3,2,0,0.0,0.0,0.0,1,0,26,37,70.3,1,25,2,2,1,Match Report
Y,15,Sat,Premier League,Matchweek 20,Away,L 0-3,Everton,Wolves,LB,90,0,0,0,0,0,0,0,0,53,3,5,1,0.0,0.0,0.0,0,0,31,41,75.6,1,19,1,2,2,Match Report
Y,16,Sun,Premier League,Matchweek 21,Home,D 0-0,Everton,Aston Villa,LB,90,0,0,0,0,1,0,0,0,37,2,1,2,0.0,0.0,0.0,1,0,16,25,64.0,3,12,0,0,0,Match Report
Y,17,Tue,Premier League,Matchweek 22,Away,D 0-0,Everton,Fulham,LB,90,0,0,0,0,0,0,0,0,44,0,1,1,0.0,0.0,0.1,1,0,24,34,70.6,2,17,2,2,1,Match Report
Y,18,Sat,Premier League,Matchweek 23,Home,D 2-2,Everton,Tottenham,LB,90,0,0,0,0,0,0,0,0,59,4,2,1,0.0,0.0,0.0,3,0,29,43,67.4,2,22,0,0,0,Match Report
Y,19,Sat,Premier League,Matchweek 24,Away,L 0-2,Everton,Manchester City,LB,90,0,0,0,0,0,0,0,0,45,0,0,0,0.0,0.0,0.0,0,0,31,37,83.8,1,23,0,2,2,Match Report
Y,20,Mon,Premier League,Matchweek 25,Home,D 1-1,Everton,Crystal Palace,LB,90,0,0,0,0,1,0,0,0,76,0,1,1,0.0,0.0,0.1,4,0,53,69,76.8,6,42,1,0,0,Match Report
Y,21,Sat,Premier League,Matchweek 26,Away,D 1-1,Everton,Brighton,LB,90,0,0,0,0,1,0,0,0,49,1,0,2,0.0,0.0,0.0,1,0,27,38,71.1,4,23,1,2,1,Match Report
Y,22,Sat,Premier League,Matchweek 27,Home,L 1-3,Everton,West Ham,LB,90,0,0,0,0,2,0,0,0,68,1,0,1,0.0,0.0,0.0,2,0,45,58,77.6,1,21,0,1,1,Match Report
Y,23,Sat,Premier League,Matchweek 28,Away,L 0-2,Everton,Manchester Utd,LB,87,0,0,0,0,2,0,0,0,58,0,0,0,0.1,0.1,0.0,3,0,39,50,78.0,0,35,0,1,0,Match Report
Y,24,Tue,Premier League,Matchweek 31,Away,D 1-1,Everton,Newcastle Utd,LB,90,0,0,0,0,0,0,0,0,67,0,1,6,0.0,0.0,0.0,2,1,46,55,83.6,3,29,0,0,0,Match Report
Y,25,Sat,Premier League,Matchweek 32,Home,W 1-0,Everton,Burnley,LB,90,0,0,0,0,0,0,0,0,46,5,1,1,0.0,0.0,0.1,2,0,23,30,76.7,3,10,1,2,1,Match Report
Y,26,Mon,Premier League,Matchweek 33,Away,L 0-6,Everton,Chelsea,LB,90,0,0,0,0,1,0,0,0,58,2,1,1,0.0,0.0,0.0,0,0,35,50,70.0,3,32,0,1,1,Match Report
Y,27,Sun,Premier League,Matchweek 34,Home,W 2-0,Everton,Nott'ham Forest,LB,90,0,0,0,0,1,0,0,0,59,2,0,0,0.0,0.0,0.0,0,0,33,47,70.2,0,22,1,1,0,Match Report
Y,28,Wed,Premier League,Matchweek 29,Home,W 2-0,Everton,Liverpool,LB,45,0,0,0,0,0,0,0,0,19,0,1,0,0.0,0.0,0.0,0,0,10,14,71.4,0,3,0,0,0,Match Report
