game_started,game_count,games,minutes,gk_saves,clearances,tackles,assisted_shots,fouled,shots,crosses,shots_on_target,passes,interceptions,fouls,goals,assists,cards_yellow,dayofweek,comp,round,venue,result,team,opponent,position,pens_made,pens_att,cards_red,touches,blocks,xg,npxg,xg_assist,sca,gca,passes_completed,passes_pct,progressive_passes,carries,progressive_carries,take_ons,take_ons_won,match_report
Y,1,0,90,0,0,1,0,0,1,0,1,25,0,0,0,0,0,Sun,Premier League,Matchweek 1,Home,D 2-2,Brentford,Tottenham,CM,0,0,0,31,1,0.0,0.0,0.0,4,0,20,80.0,3,13,0,0,0,Match Report
Y,2,0,90,0,0,1,0,0,0,0,0,26,1,0,0,0,0,Sat,Premier League,Matchweek 2,Away,W 3-0,Brentford,Fulham,"RM,CM",0,0,0,29,0,0.0,0.0,0.1,3,0,21,80.8,6,21,0,0,0,Match Report
Y,3,0,90,0,0,1,0,0,1,0,0,33,1,0,0,0,0,Sat,Premier League,Matchweek 3,Home,D 1-1,Brentford,Crystal Palace,LM,0,0,0,43,4,0.0,0.0,0.0,0,0,22,66.7,5,23,1,1,0,Match Report
Y,4,0,70,0,0,0,0,0,2,0,1,23,0,0,0,0,0,Sat,Premier League,Matchweek 4,Home,D 2-2,Brentford,Bournemouth,LM,0,0,0,32,2,0.2,0.2,0.0,1,0,20,87.0,0,9,0,0,0,Match Report
Y,5,0,71,0,0,2,0,0,0,0,0,29,0,0,0,0,0,Sat,Premier League,Matchweek 5,Away,L 0-1,Brentford,Newcastle Utd,CM,0,0,0,34,1,0.0,0.0,0.1,2,0,22,75.9,3,22,0,1,1,Match Report
Y,6,0,60,0,0,2,0,0,1,0,0,31,1,0,0,1,0,Sat,Premier League,Matchweek 6,Home,L 1-3,Brentford,Everton,LM,0,0,0,35,0,0.0,0.0,0.1,4,1,22,71.0,4,19,0,0,0,Match Report
Y,7,0,88,0,0,2,0,0,1,0,0,51,0,0,0,0,0,Sun,Premier League,Matchweek 7,Away,D 1-1,Brentford,Nott'ham Forest,"LM,CM,DM",0,0,0,56,2,0.0,0.0,0.2,3,0,45,88.2,4,41,0,0,0,Match Report
Y,8,0,69,0,0,2,0,0,0,0,0,19,2,0,0,0,1,Sat,Premier League,Matchweek 8,Away,L 1-2,Brentford,Manchester Utd,CM,0,0,0,28,0,0.0,0.0,0.0,2,0,17,89.5,3,9,0,0,0,Match Report
Y,9,0,90,0,0,0,0,0,0,0,0,49,0,0,0,0,1,Sat,Premier League,Matchweek 9,Home,W 3-0,Brentford,Burnley,LB,0,0,0,53,0,0.0,0.0,0.2,2,0,34,69.4,4,30,1,0,0,Match Report
Y,10,0,75,0,0,2,0,0,1,0,1,23,0,0,0,0,0,Sat,Premier League,Matchweek 10,Away,W 2-0,Brentford,Chelsea,CM,0,0,0,30,1,0.3,0.3,0.0,0,0,17,73.9,4,11,1,0,0,Match Report
Y,11,0,89,0,0,0,0,0,1,0,0,72,1,0,0,0,0,Sat,Premier League,Matchweek 11,Home,W 3-2,Brentford,West Ham,LB,0,0,0,81,0,0.0,0.0,0.2,2,0,53,73.6,1,51,4,0,0,Match Report
Y,12,0,45,0,0,3,0,0,0,0,0,10,0,0,0,0,0,Sun,Premier League,Matchweek 12,Away,L 0-3,Brentford,Liverpool,CM,0,0,0,16,0,0.0,0.0,0.1,2,0,8,80.0,2,7,0,0,0,Match Report
Y,13,0,90,0,0,2,0,0,0,0,0,34,2,0,0,0,0,Sat,Premier League,Matchweek 13,Home,L 0-1,Brentford,Arsenal,"LB,LM",0,0,0,42,0,0.0,0.0,0.4,1,0,22,64.7,1,22,0,1,1,Match Report
Y,14,0,90,0,0,1,0,0,0,0,0,97,1,0,0,0,0,Sat,Premier League,Matchweek 14,Home,W 3-1,Brentford,Luton Town,LB,0,0,0,106,1,0.0,0.0,0.9,8,0,79,81.4,11,65,2,0,0,Match Report
Y,15,0,90,0,0,4,0,0,0,0,0,39,0,0,0,0,0,Wed,Premier League,Matchweek 15,Away,L 1-2,Brentford,Brighton,CM,0,0,0,50,2,0.0,0.0,0.1,2,1,33,84.6,2,18,0,0,0,Match Report
Y,16,0,90,0,0,4,0,0,0,0,0,72,0,0,0,0,0,Sat,Premier League,Matchweek 16,Away,L 0-1,Brentford,Sheffield Utd,"LB,CB",0,0,0,82,0,0.0,0.0,0.2,3,0,61,84.7,6,46,1,1,0,Match Report
Y,17,0,87,0,0,0,0,0,0,0,0,25,0,0,0,0,1,Sun,Premier League,Matchweek 17,Home,L 1-2,Brentford,Aston Villa,"CM,CB",0,0,0,28,1,0.0,0.0,0.0,2,0,15,60.0,1,14,0,0,0,Match Report
Y,18,0,90,0,0,4,0,0,2,0,1,72,0,0,0,0,0,Wed,Premier League,Matchweek 19,Home,L 1-4,Brentford,Wolves,"LB,LM",0,0,0,86,1,0.5,0.5,0.1,2,0,58,80.6,9,50,3,2,1,Match Report
Y,19,0,79,0,0,2,0,0,0,0,0,45,3,0,0,0,0,Sat,Premier League,Matchweek 20,Away,L 1-3,Brentford,Crystal Palace,CM,0,0,0,52,0,0.0,0.0,0.6,2,0,35,77.8,4,29,0,0,0,Match Report
Y,20,0,90,0,0,1,0,0,1,0,0,61,3,0,0,0,0,Sat,Premier League,Matchweek 21,Home,W 3-2,Brentford,Nott'ham Forest,CM,0,0,0,67,0,0.1,0.1,0.0,3,0,51,83.6,1,33,4,1,1,Match Report
Y,21,0,87,0,0,1,0,0,0,0,0,19,2,0,0,0,0,Wed,Premier League,Matchweek 22,Away,L 2-3,Brentford,Tottenham,CM,0,0,0,28,1,0.0,0.0,0.0,0,0,14,73.7,1,18,1,1,0,Match Report
Y,22,0,75,0,0,2,0,0,0,0,0,21,0,0,0,0,0,Mon,Premier League,Matchweek 23,Home,L 1-3,Brentford,Manchester City,CM,0,0,0,26,1,0.0,0.0,0.0,1,0,15,71.4,1,6,0,0,0,Match Report
Y,23,0,84,0,0,1,0,0,0,0,0,25,1,0,0,1,1,Sat,Premier League,Matchweek 24,Away,W 2-0,Brentford,Wolves,CM,0,0,0,34,1,0.0,0.0,0.4,1,1,16,64.0,1,15,0,1,0,Match Report
Y,24,0,90,0,0,3,0,0,1,0,0,31,1,0,0,0,0,Sat,Premier League,Matchweek 25,Home,L 1-4,Brentford,Liverpool,CM,0,0,0,39,1,0.0,0.0,0.0,1,0,23,74.2,4,13,0,1,0,Match Report
Y,25,0,76,0,0,0,0,0,0,0,0,21,0,0,0,0,0,Tue,Premier League,Matchweek 18,Away,L 0-1,Brentford,Manchester City,CM,0,0,0,28,1,0.0,0.0,0.0,0,0,17,81.0,0,8,0,0,0,Match Report
N,26,0,18,0,0,0,0,0,0,0,0,19,0,0,0,0,0,Mon,Premier League,Matchweek 26,Away,L 2-4,Brentford,West Ham,CM,0,0,0,21,0,0.0,0.0,0.0,2,0,17,89.5,1,16,1,0,0,Match Report
Y,27,0,86,0,0,1,0,0,2,0,1,18,1,0,0,0,1,Sat,Premier League,Matchweek 27,Home,D 2-2,Brentford,Chelsea,CM,0,0,0,28,0,0.1,0.1,0.0,2,0,13,72.2,3,9,0,1,0,Match Report
Y,28,0,89,0,0,4,0,0,1,0,0,24,1,0,0,0,0,Sat,Premier League,Matchweek 28,Away,L 1-2,Brentford,Arsenal,CM,0,0,0,34,1,0.1,0.1,0.1,3,0,17,70.8,1,15,0,0,0,Match Report
Y,29,0,79,0,0,0,0,0,0,0,0,27,2,0,0,0,1,Sat,Premier League,Matchweek 29,Away,L 1-2,Brentford,Burnley,CM,0,0,0,34,0,0.0,0.0,0.0,0,0,18,66.7,2,10,0,0,0,Match Report
Y,30,0,90,0,0,5,0,0,3,0,0,57,2,0,0,0,0,Sat,Premier League,Matchweek 30,Home,D 1-1,Brentford,Manchester Utd,CM,0,0,0,79,4,0.1,0.1,0.1,10,0,41,71.9,9,21,1,1,1,Match Report
Y,31,0,90,0,0,4,0,0,0,0,0,38,3,0,0,0,1,Wed,Premier League,Matchweek 31,Home,D 0-0,Brentford,Brighton,CM,0,0,0,50,2,0.0,0.0,0.0,1,0,33,86.8,7,22,0,1,0,Match Report
Y,32,0,90,0,0,1,0,0,0,0,0,28,2,0,0,0,0,Sat,Premier League,Matchweek 32,Away,D 3-3,Brentford,Aston Villa,CM,0,0,0,39,1,0.0,0.0,0.0,0,0,24,85.7,3,17,1,0,0,Match Report
Y,33,0,90,0,0,1,0,0,1,0,1,46,2,0,0,0,1,Sat,Premier League,Matchweek 33,Home,W 2-0,Brentford,Sheffield Utd,CM,0,0,0,57,1,0.0,0.0,0.0,1,0,32,69.6,1,33,1,2,2,Match Report
Y,34,0,90,0,0,4,0,0,1,0,0,34,1,0,0,1,0,Sat,Premier League,Matchweek 34,Away,W 5-1,Brentford,Luton Town,"CM,LM,RM",0,0,0,48,0,0.0,0.0,0.5,4,1,25,73.5,4,29,0,2,0,Match Report
Y,35,0,67,0,0,1,0,0,0,0,0,38,1,0,0,0,0,Sat,Premier League,Matchweek 35,Away,L 0-1,Brentford,Everton,LM,0,0,0,45,1,0.0,0.0,0.1,1,0,30,78.9,2,31,0,0,0,Match Report
Y,36,0,65,0,0,0,0,0,0,0,0,36,1,0,0,0,0,Sat,Premier League,Matchweek 36,Home,D 0-0,Brentford,Fulham,LM,0,0,0,40,2,0.0,0.0,0.0,2,0,30,83.3,1,30,0,0,0,Match Report
Y,37,0,82,0,0,0,0,0,0,0,0,42,1,0,0,0,0,Sat,Premier League,Matchweek 37,Away,W 2-1,Brentford,Bournemouth,"LM,CM",0,0,0,46,0,0.0,0.0,0.0,2,0,36,85.7,5,40,3,1,1,Match Report
Y,38,0,73,0,0,1,0,0,1,0,1,38,0,0,1,0,0,Sun,Premier League,Matchweek 38,Home,L 2-4,Brentford,Newcastle Utd,LM,0,0,0,46,2,0.2,0.2,0.1,1,0,32,84.2,3,27,0,0,0,Match Report
