game_started,game_count,dayofweek,comp,round,venue,result,team,opponent,position,minutes,goals,assists,pens_made,pens_att,shots,shots_on_target,cards_yellow,cards_red,touches,tackles,interceptions,blocks,xg,npxg,xg_assist,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,take_ons,take_ons_won,match_report
N,1,Sat,Premier League,Matchweek 2,Home,W 3-1,Liverpool,Bournemouth,CM,28,0,0,0,0,0,0,0,0,25,1,1,2,0.0,0.0,0.0,1,0,15,17,88.2,2,10,0,0,0,Match Report
Y,2,Sun,Premier League,Matchweek 3,Away,W 2-1,Liverpool,Newcastle Utd,CM,57,0,0,0,0,0,0,0,0,36,2,0,1,0.0,0.0,0.0,1,0,28,32,87.5,1,17,0,0,0,Match Report
N,3,Sun,Premier League,Matchweek 4,Home,W 3-0,Liverpool,Aston Villa,CM,4,0,0,0,0,0,0,0,0,7,0,0,0,0.0,0.0,0.0,0,0,6,7,85.7,0,6,0,0,0,Match Report
N,4,Sun,Premier League,Matchweek 6,Home,W 3-1,Liverpool,West Ham,CM,3,0,0,0,0,0,0,0,0,4,0,0,0,0.0,0.0,0.0,0,0,4,4,100.0,1,3,0,0,0,Match Report
N,5,Sat,Premier League,Matchweek 7,Away,L 1-2,Liverpool,Tottenham,CM,18,0,0,0,0,0,0,0,0,9,0,0,0,0.0,0.0,0.0,1,0,4,8,50.0,1,5,0,0,0,Match Report
N,6,Sun,Premier League,Matchweek 10,Home,W 3-0,Liverpool,Nott'ham Forest,FW,11,0,0,0,0,0,0,0,0,6,0,0,0,0.0,0.0,0.0,0,0,3,3,100.0,0,4,0,0,0,Match Report
Y,7,Sun,Premier League,Matchweek 12,Home,W 3-0,Liverpool,Brentford,CM,90,0,0,0,0,0,0,0,0,65,1,0,0,0.0,0.0,0.0,1,0,49,57,86.0,4,49,2,0,0,Match Report
N,8,Sat,Premier League,Matchweek 13,Away,D 1-1,Liverpool,Manchester City,CM,6,0,0,0,0,0,0,1,0,5,0,0,0,0.0,0.0,0.0,0,0,4,4,100.0,0,3,0,0,0,Match Report
N,9,Sun,Premier League,Matchweek 14,Home,W 4-3,Liverpool,Fulham,DM,8,1,0,0,0,2,1,0,0,12,0,0,0,0.1,0.1,0.0,1,0,6,8,75.0,0,5,0,0,0,Match Report
Y,10,Wed,Premier League,Matchweek 15,Away,W 2-0,Liverpool,Sheffield Utd,CM,90,0,0,0,0,0,0,1,0,80,2,1,0,0.0,0.0,0.0,1,0,55,69,79.7,6,52,1,0,0,Match Report
Y,11,Sat,Premier League,Matchweek 16,Away,W 2-1,Liverpool,Crystal Palace,CM,45,0,0,0,0,0,0,0,0,45,1,0,0,0.0,0.0,0.0,0,0,39,42,92.9,5,36,0,0,0,Match Report
Y,12,Sun,Premier League,Matchweek 17,Home,D 0-0,Liverpool,Manchester Utd,CM,90,0,0,0,0,1,0,1,0,76,4,1,3,0.0,0.0,0.0,4,0,55,63,87.3,5,40,1,2,1,Match Report
Y,13,Sat,Premier League,Matchweek 18,Home,D 1-1,Liverpool,Arsenal,CM,90,0,0,0,0,0,0,1,0,57,3,2,0,0.0,0.0,0.0,3,0,43,49,87.8,4,31,0,0,0,Match Report
Y,14,Tue,Premier League,Matchweek 19,Away,W 2-0,Liverpool,Burnley,CM,90,0,0,0,0,1,1,0,0,86,1,1,2,0.0,0.0,0.0,3,0,63,75,84.0,6,36,0,0,0,Match Report
Y,15,Mon,Premier League,Matchweek 20,Home,W 4-2,Liverpool,Newcastle Utd,CM,74,0,0,0,0,2,0,1,0,80,1,3,1,0.1,0.1,0.3,5,0,64,71,90.1,3,48,0,1,0,Match Report
Y,16,Sat,Premier League,Matchweek 24,Home,W 3-1,Liverpool,Burnley,CM,89,0,0,0,0,1,0,1,0,79,4,0,2,0.0,0.0,0.6,5,1,60,68,88.2,7,52,0,1,0,Match Report
Y,17,Sat,Premier League,Matchweek 25,Away,W 4-1,Liverpool,Brentford,CM,90,0,0,0,0,1,0,1,0,88,1,1,0,0.0,0.0,0.0,0,0,69,80,86.3,2,57,2,0,0,Match Report
Y,18,Wed,Premier League,Matchweek 26,Home,W 4-1,Liverpool,Luton Town,CM,90,0,0,0,0,0,0,0,0,64,3,0,3,0.0,0.0,0.7,6,0,50,54,92.6,5,35,0,1,1,Match Report
N,19,Sat,Premier League,Matchweek 27,Away,W 1-0,Liverpool,Nott'ham Forest,CM,31,0,0,0,0,0,0,0,0,34,2,0,1,0.0,0.0,0.0,2,0,21,26,80.8,2,14,0,1,0,Match Report
Y,20,Sun,Premier League,Matchweek 28,Home,D 1-1,Liverpool,Manchester City,CM,90,0,0,0,0,0,0,0,0,71,4,2,1,0.0,0.0,0.0,1,0,59,62,95.2,5,44,0,0,0,Match Report
Y,21,Sun,Premier League,Matchweek 30,Home,W 2-1,Liverpool,Brighton,CM,90,0,0,0,0,0,0,1,0,78,2,2,1,0.0,0.0,0.0,4,1,64,69,92.8,3,50,0,1,1,Match Report
Y,22,Sun,Premier League,Matchweek 32,Away,D 2-2,Liverpool,Manchester Utd,CM,68,0,0,0,0,0,0,0,0,48,2,1,0,0.0,0.0,0.0,3,0,34,43,79.1,5,27,1,1,1,Match Report
Y,23,Sun,Premier League,Matchweek 33,Home,L 0-1,Liverpool,Crystal Palace,CM,45,0,0,0,0,1,0,0,0,63,2,0,3,0.1,0.1,0.0,0,0,42,53,79.2,2,39,1,2,1,Match Report
Y,24,Sun,Premier League,Matchweek 34,Away,W 3-1,Liverpool,Fulham,CM,90,0,0,0,0,0,0,0,0,84,1,1,1,0.0,0.0,0.0,0,0,69,76,90.8,5,46,1,2,2,Match Report
N,25,Wed,Premier League,Matchweek 29,Away,L 0-2,Liverpool,Everton,RM,28,0,0,0,0,0,0,0,0,36,1,1,0,0.0,0.0,0.0,1,0,28,30,93.3,5,25,0,0,0,Match Report
Y,26,Sat,Premier League,Matchweek 35,Away,D 2-2,Liverpool,West Ham,CM,78,0,0,0,0,0,0,1,0,82,2,2,0,0.0,0.0,0.0,2,0,64,73,87.7,4,57,0,1,1,Match Report
Y,27,Sun,Premier League,Matchweek 36,Home,W 4-2,Liverpool,Tottenham,CM,64,0,0,0,0,0,0,0,0,49,1,0,3,0.0,0.0,0.0,4,1,40,44,90.9,5,27,0,1,1,Match Report
Y,28,Mon,Premier League,Matchweek 37,Away,D 3-3,Liverpool,Aston Villa,CM,75,0,0,0,0,0,0,0,0,64,4,1,0,0.0,0.0,0.0,0,0,50,55,90.9,7,28,1,1,1,Match Report
