game_started,game_count,dayofweek,comp,round,venue,result,team,opponent,position,minutes,goals,assists,pens_made,pens_att,shots,shots_on_target,cards_yellow,cards_red,touches,tackles,interceptions,blocks,xg,npxg,xg_assist,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,take_ons,take_ons_won,match_report
N,1,Sun,Premier League,Matchweek 4,Home,W 3-2,Crystal Palace,Wolves,AM,1,0,0,0,0,0,0,0,0,5,0,0,0,0.0,0.0,0.1,1,0,4,4,100.0,0,4,0,0,0,Match Report
Y,2,Sat,Premier League,Matchweek 5,Away,L 1-3,Crystal Palace,Aston Villa,"DM,CM",90,0,0,0,0,0,0,1,0,57,5,1,6,0.0,0.0,0.0,0,0,33,39,84.6,0,20,0,3,2,Match Report
Y,3,Sat,Premier League,Matchweek 6,Home,D 0-0,Crystal Palace,Fulham,DM,90,0,0,0,0,1,1,0,0,72,4,2,2,0.0,0.0,0.0,2,0,54,58,93.1,8,34,1,2,2,Match Report
Y,4,Sat,Premier League,Matchweek 7,Away,W 1-0,Crystal Palace,Manchester Utd,LM,90,0,0,0,0,1,1,1,0,37,1,1,2,0.1,0.1,0.0,2,0,25,27,92.6,2,11,0,0,0,Match Report
Y,5,Sat,Premier League,Matchweek 8,Home,D 0-0,Crystal Palace,Nott'ham Forest,CM,90,0,0,0,0,0,0,0,0,68,2,0,2,0.0,0.0,0.0,2,0,53,61,86.9,6,33,3,0,0,Match Report
Y,6,Sat,Premier League,Matchweek 9,Away,L 0-4,Crystal Palace,Newcastle Utd,LM,69,0,0,0,0,0,0,0,0,41,2,0,0,0.0,0.0,0.1,2,0,22,32,68.8,1,15,1,0,0,Match Report
Y,7,Fri,Premier League,Matchweek 10,Home,L 1-2,Crystal Palace,Tottenham,AM,69,0,0,0,0,1,0,0,0,35,2,1,2,0.0,0.0,0.3,4,0,18,27,66.7,1,7,0,0,0,Match Report
Y,8,Sat,Premier League,Matchweek 11,Away,W 2-0,Crystal Palace,Burnley,"AM,DM,CM",90,0,0,0,0,0,0,0,0,26,0,0,0,0.0,0.0,0.0,2,0,15,18,83.3,0,9,0,0,0,Match Report
Y,9,Sat,Premier League,Matchweek 12,Home,L 2-3,Crystal Palace,Everton,DM,88,0,0,0,0,0,0,0,0,60,3,0,0,0.0,0.0,0.0,0,0,43,52,82.7,4,34,0,1,1,Match Report
N,10,Sat,Premier League,Matchweek 13,Away,L 1-2,Crystal Palace,Luton Town,DM,37,0,0,0,0,0,0,0,0,26,1,0,0,0.0,0.0,0.0,1,0,22,25,88.0,8,11,0,0,0,Match Report
Y,11,Sun,Premier League,Matchweek 14,Away,D 1-1,Crystal Palace,West Ham,LM,81,0,0,0,0,0,0,0,0,42,2,1,2,0.0,0.0,0.0,2,0,26,31,83.9,1,21,0,0,0,Match Report
N,12,Wed,Premier League,Matchweek 15,Home,L 0-2,Crystal Palace,Bournemouth,DM,22,0,0,0,0,0,0,0,0,25,0,0,0,0.0,0.0,0.0,1,0,22,23,95.7,2,16,1,1,0,Match Report
Y,13,Sat,Premier League,Matchweek 16,Home,L 1-2,Crystal Palace,Liverpool,"RM,CM",89,0,0,0,0,0,0,0,0,36,3,0,4,0.0,0.0,0.1,4,1,15,24,62.5,3,10,1,0,0,Match Report
Y,14,Thu,Premier League,Matchweek 18,Home,D 1-1,Crystal Palace,Brighton,LM,58,0,0,0,0,0,0,1,0,23,3,0,1,0.0,0.0,0.0,1,1,18,18,100.0,2,9,0,0,0,Match Report
N,15,Sat,Premier League,Matchweek 20,Home,W 3-1,Crystal Palace,Brentford,LM,5,0,0,0,0,0,0,0,0,3,2,0,0,0.0,0.0,0.0,0,0,0,2,0.0,0,1,0,0,0,Match Report
Y,16,Sat,Premier League,Matchweek 21,Away,L 0-5,Crystal Palace,Arsenal,CM,67,0,0,0,0,1,0,0,0,32,1,1,0,0.0,0.0,0.0,3,0,24,27,88.9,0,14,0,1,1,Match Report
Y,17,Tue,Premier League,Matchweek 22,Home,W 3-2,Crystal Palace,Sheffield Utd,CM,90,0,0,0,0,0,0,0,0,61,5,2,2,0.0,0.0,0.0,1,0,38,47,80.9,3,33,2,2,1,Match Report
Y,18,Sat,Premier League,Matchweek 23,Away,L 1-4,Crystal Palace,Brighton,LM,79,0,0,0,0,0,0,0,0,35,1,3,0,0.0,0.0,0.0,0,0,19,27,70.4,1,10,0,0,0,Match Report
Y,19,Mon,Premier League,Matchweek 24,Home,L 1-3,Crystal Palace,Chelsea,CM,78,0,0,0,0,0,0,0,0,22,3,0,1,0.0,0.0,0.2,6,0,14,17,82.4,0,5,0,1,0,Match Report
N,20,Sat,Premier League,Matchweek 27,Away,L 1-3,Crystal Palace,Tottenham,CM,20,0,0,0,0,0,0,0,0,9,0,0,0,0.0,0.0,0.0,0,0,7,8,87.5,0,3,0,0,0,Match Report
N,21,Sat,Premier League,Matchweek 28,Home,D 1-1,Crystal Palace,Luton Town,CM,10,0,0,0,0,0,0,0,0,10,2,0,0,0.0,0.0,0.0,2,0,9,9,100.0,1,3,0,0,0,Match Report
