game_started,game_count,dayofweek,comp,round,venue,result,team,opponent,position,minutes,goals,assists,pens_made,pens_att,shots,shots_on_target,cards_yellow,cards_red,touches,tackles,interceptions,blocks,xg,npxg,xg_assist,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,take_ons,take_ons_won,match_report
Y,1,Sat,Premier League,Matchweek 1,Away,W 1-0,Fulham,Everton,LW,45,0,0,0,0,0,0,1,0,33,1,0,0,0.0,0.0,0.0,1,0,23,28,82.1,1,25,2,2,1,Match Report
N,2,Sat,Premier League,Matchweek 2,Home,L 0-3,Fulham,Brentford,LM,23,0,0,0,0,1,0,0,0,14,0,0,0,0.1,0.1,0.0,0,0,8,10,80.0,0,8,0,1,0,Match Report
N,3,Sat,Premier League,Matchweek 4,Away,L 1-5,Fulham,Manchester City,LW,18,0,0,0,0,0,0,0,0,8,0,0,0,0.0,0.0,0.0,0,0,3,7,42.9,0,7,0,0,0,Match Report
Y,4,Sat,Premier League,Matchweek 5,Home,W 1-0,Fulham,Luton Town,LW,89,0,0,0,0,2,0,0,0,58,2,2,1,0.1,0.1,0.1,4,0,39,45,86.7,7,43,6,5,1,Match Report
Y,5,Sat,Premier League,Matchweek 6,Away,D 0-0,Fulham,Crystal Palace,LW,90,0,0,0,0,2,2,0,0,50,0,0,1,0.1,0.1,0.0,4,0,37,42,88.1,5,35,2,4,2,Match Report
Y,6,Mon,Premier League,Matchweek 7,Home,L 0-2,Fulham,Chelsea,LW,90,0,0,0,0,1,1,0,0,46,0,0,1,0.0,0.0,0.0,3,0,38,41,92.7,9,32,5,3,0,Match Report
Y,7,Sat,Premier League,Matchweek 8,Home,W 3-1,Fulham,Sheffield Utd,LW,90,1,0,0,0,5,3,0,0,69,0,1,2,0.6,0.6,0.1,8,0,41,56,73.2,9,46,8,4,3,Match Report
Y,8,Mon,Premier League,Matchweek 9,Away,L 0-2,Fulham,Tottenham,LW,90,0,0,0,0,0,0,0,0,59,0,1,2,0.0,0.0,0.2,7,0,38,51,74.5,5,47,4,3,1,Match Report
Y,9,Sun,Premier League,Matchweek 10,Away,D 1-1,Fulham,Brighton,LW,85,0,0,0,0,1,1,0,0,36,0,0,0,0.0,0.0,0.1,4,0,18,27,66.7,2,24,2,1,0,Match Report
Y,10,Sat,Premier League,Matchweek 11,Home,L 0-1,Fulham,Manchester Utd,LW,75,0,0,0,0,5,0,0,0,34,0,0,0,0.3,0.3,0.2,5,0,17,27,63.0,1,22,5,4,3,Match Report
Y,11,Sun,Premier League,Matchweek 12,Away,L 1-3,Fulham,Aston Villa,LW,81,0,0,0,0,3,1,0,0,39,1,0,0,0.2,0.2,0.0,2,0,23,31,74.2,2,25,4,1,1,Match Report
Y,12,Mon,Premier League,Matchweek 13,Home,W 3-2,Fulham,Wolves,LW,89,2,0,2,2,0,0,0,0,59,0,0,0,1.6,0.0,0.1,4,2,51,57,89.5,11,44,3,1,0,Match Report
