game_started,game_count,games,minutes,gk_saves,clearances,tackles,assisted_shots,fouled,shots,crosses,shots_on_target,passes,interceptions,fouls,goals,assists,cards_yellow,dayofweek,comp,round,venue,result,team,opponent,position,pens_made,pens_att,cards_red,touches,blocks,xg,npxg,xg_assist,sca,gca,passes_completed,passes_pct,progressive_passes,carries,progressive_carries,take_ons,take_ons_won,match_report
N,1,0,45,0,0,0,0,0,0,0,0,24,0,0,0,0,0,Sat,Premier League,Matchweek 1,Away,L 1-5,Aston Villa,Newcastle Utd,"CM,LW",0,0,0,25,0,0.0,0.0,0.1,1,0,21,87.5,4,18,1,1,0,Match Report
N,2,0,28,0,0,0,0,0,0,0,0,30,0,0,0,0,0,Sun,Premier League,Matchweek 2,Home,W 4-0,Aston Villa,Everton,CM,0,0,0,32,2,0.0,0.0,0.0,0,0,29,96.7,3,23,0,0,0,Match Report
N,3,0,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Sun,Premier League,Matchweek 3,Away,W 3-1,Aston Villa,Burnley,CM,0,0,0,1,0,0.0,0.0,0.0,0,0,1,100.0,0,1,0,0,0,Match Report
N,4,0,19,0,0,1,0,0,0,0,0,10,0,0,0,0,0,Sun,Premier League,Matchweek 4,Away,L 0-3,Aston Villa,Liverpool,CM,0,0,0,12,0,0.0,0.0,0.0,0,0,9,90.0,0,9,0,2,1,Match Report
N,5,0,33,0,0,0,0,0,1,0,0,24,1,0,0,0,0,Sat,Premier League,Matchweek 5,Home,W 3-1,Aston Villa,Crystal Palace,"CM,DM",0,0,0,28,0,0.1,0.1,0.0,2,2,17,70.8,3,13,1,0,0,Match Report
N,6,0,10,0,0,1,0,0,0,0,0,11,0,0,0,0,0,Sun,Premier League,Matchweek 6,Away,W 1-0,Aston Villa,Chelsea,FW,0,0,0,12,1,0.0,0.0,0.0,0,0,8,72.7,1,9,1,0,0,Match Report
N,7,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,Sat,Premier League,Matchweek 7,Home,W 6-1,Aston Villa,Brighton,DM,0,0,0,3,0,0.0,0.0,0.0,1,0,3,100.0,1,2,0,0,0,Match Report
N,8,0,9,0,0,0,0,0,0,0,0,11,0,0,0,0,0,Sun,Premier League,Matchweek 8,Away,D 1-1,Aston Villa,Wolves,DM,0,0,0,12,0,0.0,0.0,0.0,1,0,11,100.0,2,8,1,0,0,Match Report
N,9,0,6,0,0,1,0,0,0,0,0,8,0,0,0,1,0,Sun,Premier League,Matchweek 9,Home,W 4-1,Aston Villa,West Ham,FW,0,0,0,9,0,0.0,0.0,0.3,1,1,7,87.5,2,5,1,0,0,Match Report
N,10,0,12,0,0,1,0,0,0,0,0,15,0,0,0,0,0,Sun,Premier League,Matchweek 10,Home,W 3-1,Aston Villa,Luton Town,CM,0,0,0,16,0,0.0,0.0,0.0,1,0,13,86.7,2,11,0,0,0,Match Report
N,11,0,32,0,0,0,0,0,1,0,0,44,0,0,0,0,0,Sun,Premier League,Matchweek 11,Away,L 0-2,Aston Villa,Nott'ham Forest,CM,0,0,0,46,0,0.1,0.1,0.0,1,0,40,90.9,14,37,3,1,1,Match Report
