name,team,games,minutes,gk_saves,clearances,tackles,assisted_shots,fouled,shots,crosses,shots_on_target,passes,interceptions,fouls,goals,assists,cards_yellow
Jordan Pickford,England Men,,,,,,,,,,,,,,,,
Declan Rice,England Men,,,,,,,,,,,,,,,,
John Stones,England Men,,,,,,,,,,,,,,,,
Kyle Walker,England Men,,,,,,,,,,,,,,,,
Jude Bellingham,England Men,,,,,,,,,,,,,,,,
Harry Kane,England Men,,,,,,,,,,,,,,,,
Bukayo Saka,England Men,,,,,,,,,,,,,,,,
Phil Foden,England Men,,,,,,,,,,,,,,,,
Kieran Trippier,England Men,,,,,,,,,,,,,,,,
Marc Guehi,England Men,,,,,,,,,,,,,,,,
Kobbie Mainoo,England Men,,,,,,,,,,,,,,,,
Trent Alexander-Arnold,England Men,,,,,,,,,,,,,,,,
Conor Gallagher,England Men,,,,,,,,,,,,,,,,
Ezri Konsa,England Men,,,,,,,,,,,,,,,,
Cole Palmer,England Men,,,,,,,,,,,,,,,,
Theo Hernandez,France Men,,,,,,,,,,,,,,,,
Jules Kounde,France Men,,,,,,,,,,,,,,,,
Mike Maignan,France Men,,,,,,,,,,,,,,,,
William Saliba,France Men,,,,,,,,,,,,,,,,
Dayot Upamecano,France Men,,,,,,,,,,,,,,,,
N'Golo Kante,France Men,,,,,,,,,,,,,,,,
Aurelien Tchouameni,France Men,,,,,,,,,,,,,,,,
Kylian Mbappe,France Men,,,,,,,,,,,,,,,,
Antoine Griezmann,France Men,,,,,,,,,,,,,,,,
Adrien Rabiot,France Men,,,,,,,,,,,,,,,,
Ousmane Dembele,France Men,,,,,,,,,,,,,,,,
Marcus Thuram,France Men,,,,,,,,,,,,,,,,
Eduardo Camavinga,France Men,,,,,,,,,,,,,,,,
Randal Kolo Muani,France Men,,,,,,,,,,,,,,,,
Bradley Barcola,France Men,,,,,,,,,,,,,,,,
Virgil van Dijk,Netherlands Men,,,,,,,,,,,,,,,,
Bart Verbruggen,Netherlands Men,,,,,,,,,,,,,,,,
Stefan de Vrij,Netherlands Men,,,,,,,,,,,,,,,,
Cody Gakpo,Netherlands Men,,,,,,,,,,,,,,,,
Memphis,Netherlands Men,,,,,,,,,,,,,,,,
Jerdy Schouten,Netherlands Men,,,,,,,,,,,,,,,,
Tijjani Reijnders,Netherlands Men,,,,,,,,,,,,,,,,
Nathan Ake,Netherlands Men,,,,,,,,,,,,,,,,
Xavi Simons,Netherlands Men,,,,,,,,,,,,,,,,
Denzel Dumfries,Netherlands Men,,,,,,,,,,,,,,,,
Joey Veerman,Netherlands Men,,,,,,,,,,,,,,,,
Steven Bergwijn,Netherlands Men,,,,,,,,,,,,,,,,
Donyell Malen,Netherlands Men,,,,,,,,,,,,,,,,
Lutsharel Geertruida,Netherlands Men,,,,,,,,,,,,,,,,
Jeremie Frimpong,Netherlands Men,,,,,,,,,,,,,,,,
Unai Simon,Spain Men,,,,,,,,,,,,,,,,
Rodri,Spain Men,,,,,,,,,,,,,,,,
Dani Carvajal,Spain Men,,,,,,,,,,,,,,,,
Marc Cucurella,Spain Men,,,,,,,,,,,,,,,,
Robin Le Normand,Spain Men,,,,,,,,,,,,,,,,
Fabian Ruiz Pena,Spain Men,,,,,,,,,,,,,,,,
Aymeric Laporte,Spain Men,,,,,,,,,,,,,,,,
Lamine Yamal,Spain Men,,,,,,,,,,,,,,,,
Nico Williams,Spain Men,,,,,,,,,,,,,,,,
Alvaro Morata,Spain Men,,,,,,,,,,,,,,,,
Pedri,Spain Men,,,,,,,,,,,,,,,,
Dani Olmo,Spain Men,,,,,,,,,,,,,,,,
Mikel Merino,Spain Men,,,,,,,,,,,,,,,,
Nacho,Spain Men,,,,,,,,,,,,,,,,
Mikel Oyarzabal,Spain Men,,,,,,,,,,,,,,,,
