providerOutcomeId,providerId,providerOfferId,label,oddsAmerican,oddsDecimal,oddsDecimalDisplay,oddsFractional,line,participant,participantType,main,sortOrder,tags,participants,category,prop_label
0HC78206917N550_3,2,2_78206917,MIN Timberwolves,-115,1.86956522,1.86,20/23,-5.5,MIN Timberwolves,Team,True,-5501,"['ProgressiveParlayTeamEligible', 'MainPointLine', 'SGP']","[{'id': '32935', 'name': 'MIN Timberwolves', 'type': 'Team'}]",Game Lines,Spread
0HC78206917P550_1,2,2_78206917,ORL Magic,-105,1.95238096,1.95,20/21,5.5,ORL Magic,Team,True,-5499,"['ProgressiveParlayTeamEligible', 'MainPointLine', 'SGP']","[{'id': '32945', 'name': 'ORL Magic', 'type': 'Team'}]",Game Lines,Spread
0OU78206917O19900_1,2,3_78206917,Over,-110,1.90909091,1.90,10/11,199,,Unknown,True,199000,"['ProgressiveParlayTeamEligible', 'MainPointLine', 'SGP']",Game Lines,Total
0OU78206917U19900_3,2,3_78206917,Under,-110,1.90909091,1.90,10/11,199,,Unknown,True,199002,"['ProgressiveParlayTeamEligible', 'MainPointLine', 'SGP']",Game Lines,Total
0ML78206917_3,2,1_78206917,MIN Timberwolves,-218,1.4587156,1.45,50/109,MIN Timberwolves,Team,True,1258141649,['SGP'],"[{'id': '32935', 'name': 'MIN Timberwolves', 'type': 'Team'}]",Game Lines,Moneyline
0ML78206917_1,2,1_78206917,ORL Magic,+180,2.8,2.80,9/5,ORL Magic,Team,True,1258143645,['SGP'],"[{'id': '32945', 'name': 'ORL Magic', 'type': 'Team'}]",Game Lines,Moneyline
0HC78206910P1350_3,2,2_78206910,TOR Raptors,-108,1.92592593,1.92,25/27,13.5,TOR Raptors,Team,True,13499,"['ProgressiveParlayTeamEligible', 'MainPointLine', 'SGP']","[{'id': '32957', 'name': 'TOR Raptors', 'type': 'Team'}]",Game Lines,Spread
0HC78206910N1350_1,2,2_78206910,CLE Cavaliers,-112,1.89285715,1.89,25/28,-13.5,CLE Cavaliers,Team,True,13501,"['ProgressiveParlayTeamEligible', 'MainPointLine', 'SGP']","[{'id': '32908', 'name': 'CLE Cavaliers', 'type': 'Team'}]",Game Lines,Spread
0OU78206910O23450_1,2,3_78206910,Over,-110,1.90909091,1.90,10/11,234.5,,Unknown,True,234500,"['ProgressiveParlayTeamEligible', 'MainPointLine', 'SGP']",Game Lines,Total
0OU78206910U23450_3,2,3_78206910,Under,-110,1.90909091,1.90,10/11,234.5,,Unknown,True,234502,"['ProgressiveParlayTeamEligible', 'MainPointLine', 'SGP']",Game Lines,Total
0ML78206910_3,2,1_78206910,TOR Raptors,+675,7.75,7.75,27/4,TOR Raptors,Team,True,1258141600,['SGP'],"[{'id': '32957', 'name': 'TOR Raptors', 'type': 'Team'}]",Game Lines,Moneyline
0ML78206910_1,2,1_78206910,CLE Cavaliers,-1050,1.0952381,1.09,2/21,CLE Cavaliers,Team,True,1258143596,['SGP'],"[{'id': '32908', 'name': 'CLE Cavaliers', 'type': 'Team'}]",Game Lines,Moneyline
0HC78206913N300_3,2,2_78206913,GS Warriors,-110,1.90909091,1.90,10/11,-3,GS Warriors,Team,True,-3001,"['ProgressiveParlayTeamEligible', 'MainPointLine', 'SGP']","[{'id': '32917', 'name': 'GS Warriors', 'type': 'Team'}]",Game Lines,Spread
0HC78206913P300_1,2,2_78206913,DET Pistons,-110,1.90909091,1.90,10/11,3,DET Pistons,Team,True,-2999,"['ProgressiveParlayTeamEligible', 'MainPointLine', 'SGP']","[{'id': '32915', 'name': 'DET Pistons', 'type': 'Team'}]",Game Lines,Spread
0OU78206913O22200_1,2,3_78206913,Over,-112,1.89285715,1.89,25/28,222,,Unknown,True,222000,"['ProgressiveParlayTeamEligible', 'MainPointLine', 'SGP']",Game Lines,Total
0OU78206913U22200_3,2,3_78206913,Under,-108,1.92592593,1.92,25/27,222,,Unknown,True,222002,"['ProgressiveParlayTeamEligible', 'MainPointLine', 'SGP']",Game Lines,Total
0ML78206913_3,2,1_78206913,GS Warriors,-155,1.6451613,1.64,20/31,GS Warriors,Team,True,1258141621,['SGP'],"[{'id': '32917', 'name': 'GS Warriors', 'type': 'Team'}]",Game Lines,Moneyline
0ML78206913_1,2,1_78206913,DET Pistons,+130,2.3,2.30,13/10,DET Pistons,Team,True,1258143617,['SGP'],"[{'id': '32915', 'name': 'DET Pistons', 'type': 'Team'}]",Game Lines,Moneyline
0HC78206919P750_3,2,2_78206919,POR Trail Blazers,-108,1.92592593,1.92,25/27,7.5,POR Trail Blazers,Team,True,7499,"['ProgressiveParlayTeamEligible', 'MainPointLine', 'SGP']","[{'id': '32952', 'name': 'POR Trail Blazers', 'type': 'Team'}]",Game Lines,Spread
0HC78206919N750_1,2,2_78206919,DAL Mavericks,-112,1.89285715,1.89,25/28,-7.5,DAL Mavericks,Team,True,7501,"['ProgressiveParlayTeamEligible', 'MainPointLine', 'SGP']","[{'id': '32911', 'name': 'DAL Mavericks', 'type': 'Team'}]",Game Lines,Spread
0OU78206919O22100_1,2,3_78206919,Over,-110,1.90909091,1.90,10/11,221,,Unknown,True,221000,"['ProgressiveParlayTeamEligible', 'MainPointLine', 'SGP']",Game Lines,Total
0OU78206919U22100_3,2,3_78206919,Under,-110,1.90909091,1.90,10/11,221,,Unknown,True,221002,"['ProgressiveParlayTeamEligible', 'MainPointLine', 'SGP']",Game Lines,Total
0ML78206919_3,2,1_78206919,POR Trail Blazers,+250,3.5,3.50,5/2,POR Trail Blazers,Team,True,1258141663,['SGP'],"[{'id': '32952', 'name': 'POR Trail Blazers', 'type': 'Team'}]",Game Lines,Moneyline
0ML78206919_1,2,1_78206919,DAL Mavericks,-310,1.32258065,1.32,10/31,DAL Mavericks,Team,True,1258143659,['SGP'],"[{'id': '32911', 'name': 'DAL Mavericks', 'type': 'Team'}]",Game Lines,Moneyline
0HC78206918P250_3,2,2_78206918,HOU Rockets,-110,1.90909091,1.90,10/11,2.5,HOU Rockets,Team,True,2499,"['ProgressiveParlayTeamEligible', 'MainPointLine', 'SGP']","[{'id': '32919', 'name': 'HOU Rockets', 'type': 'Team'}]",Game Lines,Spread
0HC78206918N250_1,2,2_78206918,MEM Grizzlies,-110,1.90909091,1.90,10/11,-2.5,MEM Grizzlies,Team,True,2501,"['ProgressiveParlayTeamEligible', 'MainPointLine', 'SGP']","[{'id': '32929', 'name': 'MEM Grizzlies', 'type': 'Team'}]",Game Lines,Spread
0OU78206918O23350_1,2,3_78206918,Over,-108,1.92592593,1.92,25/27,233.5,,Unknown,True,233500,"['ProgressiveParlayTeamEligible', 'MainPointLine', 'SGP']",Game Lines,Total
0OU78206918U23350_3,2,3_78206918,Under,-112,1.89285715,1.89,25/28,233.5,,Unknown,True,233502,"['ProgressiveParlayTeamEligible', 'MainPointLine', 'SGP']",Game Lines,Total
0HC78206920P650_3,2,2_78206920,ATL Hawks,-110,1.90909091,1.90,10/11,6.5,ATL Hawks,Team,True,6499,"['ProgressiveParlayTeamEligible', 'MainPointLine', 'SGP']","[{'id': '32892', 'name': 'ATL Hawks', 'type': 'Team'}]",Game Lines,Spread
0HC78206920N650_1,2,2_78206920,PHO Suns,-110,1.90909091,1.90,10/11,-6.5,PHO Suns,Team,True,6501,"['ProgressiveParlayTeamEligible', 'MainPointLine', 'SGP']","[{'id': '32949', 'name': 'PHO Suns', 'type': 'Team'}]",Game Lines,Spread
0OU78206920O23750_1,2,3_78206920,Over,-112,1.89285715,1.89,25/28,237.5,,Unknown,True,237500,"['ProgressiveParlayTeamEligible', 'MainPointLine', 'SGP']",Game Lines,Total
0OU78206920U23750_3,2,3_78206920,Under,-108,1.92592593,1.92,25/27,237.5,,Unknown,True,237502,"['ProgressiveParlayTeamEligible', 'MainPointLine', 'SGP']",Game Lines,Total
0ML78206920_3,2,1_78206920,ATL Hawks,+195,2.95,2.95,39/20,ATL Hawks,Team,True,1258141670,['SGP'],"[{'id': '32892', 'name': 'ATL Hawks', 'type': 'Team'}]",Game Lines,Moneyline
0ML78206920_1,2,1_78206920,PHO Suns,-238,1.42016807,1.42,50/119,PHO Suns,Team,True,1258143666,['SGP'],"[{'id': '32949', 'name': 'PHO Suns', 'type': 'Team'}]",Game Lines,Moneyline
0HC78206923N550_3,2,2_78206923,MIA Heat,-112,1.89285715,1.89,25/28,-5.5,MIA Heat,Team,True,-5501,"['ProgressiveParlayTeamEligible', 'MainPointLine', 'SGP']","[{'id': '32931', 'name': 'MIA Heat', 'type': 'Team'}]",Game Lines,Spread
0HC78206923P550_1,2,2_78206923,UTA Jazz,-108,1.92592593,1.92,25/27,5.5,UTA Jazz,Team,True,-5499,"['ProgressiveParlayTeamEligible', 'MainPointLine', 'SGP']","[{'id': '32959', 'name': 'UTA Jazz', 'type': 'Team'}]",Game Lines,Spread
0OU78206923O22250_1,2,3_78206923,Over,-115,1.86956522,1.86,20/23,222.5,,Unknown,True,222500,"['ProgressiveParlayTeamEligible', 'MainPointLine', 'SGP']",Game Lines,Total
0OU78206923U22250_3,2,3_78206923,Under,-105,1.95238096,1.95,20/21,222.5,,Unknown,True,222502,"['ProgressiveParlayTeamEligible', 'MainPointLine', 'SGP']",Game Lines,Total
0ML78206923_3,2,1_78206923,MIA Heat,-225,1.44444445,1.44,4/9,MIA Heat,Team,True,1258141691,['SGP'],"[{'id': '32931', 'name': 'MIA Heat', 'type': 'Team'}]",Game Lines,Moneyline
0ML78206923_1,2,1_78206923,UTA Jazz,+185,2.85,2.85,37/20,UTA Jazz,Team,True,1258143687,['SGP'],"[{'id': '32959', 'name': 'UTA Jazz', 'type': 'Team'}]",Game Lines,Moneyline
0HC78219187N250_3,2,2_78219187,OKC Thunder,-112,1.89285715,1.89,25/28,-2.5,OKC Thunder,Team,True,-2501,"['ProgressiveParlayTeamEligible', 'MainPointLine', 'SGP']","[{'id': '32942', 'name': 'OKC Thunder', 'type': 'Team'}]",Game Lines,Spread
0HC78219187P250_1,2,2_78219187,NY Knicks,-108,1.92592593,1.92,25/27,2.5,NY Knicks,Team,True,-2499,"['ProgressiveParlayTeamEligible', 'MainPointLine', 'SGP']","[{'id': '32940', 'name': 'NY Knicks', 'type': 'Team'}]",Game Lines,Spread
0OU78219187O22450_1,2,3_78219187,Over,-110,1.90909091,1.90,10/11,224.5,,Unknown,True,224500,"['ProgressiveParlayTeamEligible', 'MainPointLine', 'SGP']",Game Lines,Total
0OU78219187U22450_3,2,3_78219187,Under,-110,1.90909091,1.90,10/11,224.5,,Unknown,True,224502,"['ProgressiveParlayTeamEligible', 'MainPointLine', 'SGP']",Game Lines,Total
0ML78219187_3,2,1_78219187,OKC Thunder,-142,1.70422536,1.70,50/71,OKC Thunder,Team,True,1258426423,['SGP'],"[{'id': '32942', 'name': 'OKC Thunder', 'type': 'Team'}]",Game Lines,Moneyline
0ML78219187_1,2,1_78219187,NY Knicks,+120,2.2,2.20,6/5,NY Knicks,Team,True,1258428419,['SGP'],"[{'id': '32940', 'name': 'NY Knicks', 'type': 'Team'}]",Game Lines,Moneyline
0QA228822097#128907009_13L42648Q1-1665381124Q20,2,228822097,6+,-575,1.17391305,1.17,4/23,Anthony Black,Unknown,11709,['SGP'],"[{'id': '713759', 'name': 'Anthony Black', 'type': 'Player'}]",Player Points,Anthony Black Points
0QA228822097#128907012_13L42648Q1258387513Q20,2,228822097,8+,-245,1.40816327,1.40,20/49,Anthony Black,Unknown,14012,['SGP'],"[{'id': '713759', 'name': 'Anthony Black', 'type': 'Player'}]",Player Points,Anthony Black Points
0QA228822097#128907016_13L42648Q1243631508Q20,2,228822097,10+,-120,1.83333334,1.83,5/6,Anthony Black,Unknown,True,18316,"['MostBalancedOdds', 'SGP', 'MostBalancedGlobalProbability']","[{'id': '713759', 'name': 'Anthony Black', 'type': 'Player'}]",Player Points,Anthony Black Points
0QA228822097#128907020_13L42648Q12000308824Q20,2,228822097,12+,+155,2.55,2.55,31/20,Anthony Black,Unknown,25520,['SGP'],"[{'id': '713759', 'name': 'Anthony Black', 'type': 'Player'}]",Player Points,Anthony Black Points
0QA228822097#128907023_13L42648Q11337895931Q20,2,228822097,15+,+380,4.8,4.80,19/5,Anthony Black,Unknown,48023,['SGP'],"[{'id': '713759', 'name': 'Anthony Black', 'type': 'Player'}]",Player Points,Anthony Black Points
0QA228822097#128907026_13L42648Q1-1088221744Q20,2,228822097,18+,+900,10,10.00,9/1,Anthony Black,Unknown,100026,['SGP'],"[{'id': '713759', 'name': 'Anthony Black', 'type': 'Player'}]",Player Points,Anthony Black Points
0QA228822097#129159195_13L42648Q1-1697847620Q20,2,228822097,20+,+1700,18,18.00,17/1,Anthony Black,Unknown,180095,['SGP'],"[{'id': '713759', 'name': 'Anthony Black', 'type': 'Player'}]",Player Points,Anthony Black Points
0QA228822102#128906992_13L42648Q1-1088221744Q20,2,228822102,18+,-575,1.17391305,1.17,4/23,Anthony Edwards,Unknown,11792,['SGP'],"[{'id': '509114', 'name': 'Anthony Edwards', 'type': 'Player'}]",Player Points,Anthony Edwards Points
0QA228822102#128906995_13L42648Q1-1697847620Q20,2,228822102,20+,-340,1.29411765,1.29,5/17,Anthony Edwards,Unknown,12995,['SGP'],"[{'id': '509114', 'name': 'Anthony Edwards', 'type': 'Player'}]",Player Points,Anthony Edwards Points
0QA228822102#128907001_13L42648Q11520391110Q20,2,228822102,25+,-115,1.86956522,1.86,20/23,Anthony Edwards,Unknown,True,18601,"['MostBalancedOdds', 'SGP', 'MostBalancedGlobalProbability']","[{'id': '509114', 'name': 'Anthony Edwards', 'type': 'Player'}]",Player Points,Anthony Edwards Points
0QA228822102#128907005_13L42648Q1-1786549384Q20,2,228822102,30+,+240,3.4,3.40,12/5,Anthony Edwards,Unknown,34005,['SGP'],"[{'id': '509114', 'name': 'Anthony Edwards', 'type': 'Player'}]",Player Points,Anthony Edwards Points
0QA228822102#128907014_13L42648Q147078906Q20,2,228822102,35+,+650,7.5,7.50,13/2,Anthony Edwards,Unknown,75014,['SGP'],"[{'id': '509114', 'name': 'Anthony Edwards', 'type': 'Player'}]",Player Points,Anthony Edwards Points
0QA228822102#128907018_13L42648Q11296223914Q20,2,228822102,40+,+1800,19,19.00,18/1,Anthony Edwards,Unknown,190018,['SGP'],"[{'id': '509114', 'name': 'Anthony Edwards', 'type': 'Player'}]",Player Points,Anthony Edwards Points
0QA228822095#128906945_13L42648Q1243631508Q20,2,228822095,10+,-900,1.11111112,1.11,1/9,Cole Anthony,Unknown,11145,['SGP'],"[{'id': '527225', 'name': 'Cole Anthony', 'type': 'Player'}]",Player Points,Cole Anthony Points
0QA228822095#128906946_13L42648Q12000308824Q20,2,228822095,12+,-425,1.23529412,1.23,4/17,Cole Anthony,Unknown,12346,['SGP'],"[{'id': '527225', 'name': 'Cole Anthony', 'type': 'Player'}]",Player Points,Cole Anthony Points
0QA228822095#128906947_13L42648Q11337895931Q20,2,228822095,15+,-185,1.54054055,1.54,20/37,Cole Anthony,Unknown,15447,['SGP'],"[{'id': '527225', 'name': 'Cole Anthony', 'type': 'Player'}]",Player Points,Cole Anthony Points
0QA228822095#128906948_13L42648Q1-998499840Q20,2,228822095,17+,-115,1.86956522,1.86,20/23,Cole Anthony,Unknown,18648,"['SGP', 'MostBalancedGlobalProbability']","[{'id': '527225', 'name': 'Cole Anthony', 'type': 'Player'}]",Player Points,Cole Anthony Points
0QA228822095#128906949_13L42648Q1-1088221744Q20,2,228822095,18+,+110,2.1,2.10,11/10,Cole Anthony,Unknown,True,21049,"['MostBalancedOdds', 'SGP']","[{'id': '527225', 'name': 'Cole Anthony', 'type': 'Player'}]",Player Points,Cole Anthony Points
0QA228822095#128906950_13L42648Q1-1697847620Q20,2,228822095,20+,+170,2.7,2.70,17/10,Cole Anthony,Unknown,27050,['SGP'],"[{'id': '527225', 'name': 'Cole Anthony', 'type': 'Player'}]",Player Points,Cole Anthony Points
0QA228822095#128906951_13L42648Q11520391110Q20,2,228822095,25+,+500,6,6.00,5/1,Cole Anthony,Unknown,60051,['SGP'],"[{'id': '527225', 'name': 'Cole Anthony', 'type': 'Player'}]",Player Points,Cole Anthony Points
0QA228822095#128906952_13L42648Q1-1786549384Q20,2,228822095,30+,+1400,15,15.00,14/1,Cole Anthony,Unknown,150052,['SGP'],"[{'id': '527225', 'name': 'Cole Anthony', 'type': 'Player'}]",Player Points,Cole Anthony Points
0QA228822099#128907002_13L42648Q1-1665381124Q20,2,228822099,6+,-700,1.14285715,1.14,1/7,Donte DiVincenzo,Unknown,11401,['SGP'],"[{'id': '33185', 'name': 'Donte DiVincenzo', 'type': 'Player'}]",Player Points,Donte DiVincenzo Points
0QA228822099#128907006_13L42648Q1258387513Q20,2,228822099,8+,-350,1.28571429,1.28,2/7,Donte DiVincenzo,Unknown,12806,['SGP'],"[{'id': '33185', 'name': 'Donte DiVincenzo', 'type': 'Player'}]",Player Points,Donte DiVincenzo Points
0QA228822099#128907010_13L42648Q1243631508Q20,2,228822099,10+,-170,1.5882353,1.58,10/17,Donte DiVincenzo,Unknown,15810,['SGP'],"[{'id': '33185', 'name': 'Donte DiVincenzo', 'type': 'Player'}]",Player Points,Donte DiVincenzo Points
0QA228822099#128907013_13L42648Q1476483878Q20,2,228822099,11+,-130,1.76923077,1.76,10/13,Donte DiVincenzo,Unknown,17613,"['SGP', 'MostBalancedGlobalProbability']","[{'id': '33185', 'name': 'Donte DiVincenzo', 'type': 'Player'}]",Player Points,Donte DiVincenzo Points
0QA228822099#128907017_13L42648Q12000308824Q20,2,228822099,12+,+105,2.05,2.05,21/20,Donte DiVincenzo,Unknown,True,20517,"['MostBalancedOdds', 'SGP']","[{'id': '33185', 'name': 'Donte DiVincenzo', 'type': 'Player'}]",Player Points,Donte DiVincenzo Points
0QA228822099#128907021_13L42648Q11337895931Q20,2,228822099,15+,+225,3.25,3.25,9/4,Donte DiVincenzo,Unknown,32521,['SGP'],"[{'id': '33185', 'name': 'Donte DiVincenzo', 'type': 'Player'}]",Player Points,Donte DiVincenzo Points
0QA228822099#128907024_13L42648Q1-1088221744Q20,2,228822099,18+,+475,5.75,5.75,19/4,Donte DiVincenzo,Unknown,57524,['SGP'],"[{'id': '33185', 'name': 'Donte DiVincenzo', 'type': 'Player'}]",Player Points,Donte DiVincenzo Points
0QA228822099#128907027_13L42648Q1-1697847620Q20,2,228822099,20+,+750,8.5,8.50,15/2,Donte DiVincenzo,Unknown,85027,['SGP'],"[{'id': '33185', 'name': 'Donte DiVincenzo', 'type': 'Player'}]",Player Points,Donte DiVincenzo Points
0QA228822109#128907057_13L42648Q1258387513Q20,2,228822109,8+,-475,1.21052632,1.21,4/19,Goga Bitadze,Unknown,12157,['SGP'],"[{'id': '33097', 'name': 'Goga Bitadze', 'type': 'Player'}]",Player Points,Goga Bitadze Points
0QA228822109#128907058_13L42648Q1243631508Q20,2,228822109,10+,-230,1.43478261,1.43,10/23,Goga Bitadze,Unknown,14358,['SGP'],"[{'id': '33097', 'name': 'Goga Bitadze', 'type': 'Player'}]",Player Points,Goga Bitadze Points
0QA228822109#128907060_13L42648Q12000308824Q20,2,228822109,12+,-120,1.83333334,1.83,5/6,Goga Bitadze,Unknown,True,18360,"['MostBalancedOdds', 'SGP', 'MostBalancedGlobalProbability']","[{'id': '33097', 'name': 'Goga Bitadze', 'type': 'Player'}]",Player Points,Goga Bitadze Points
0QA228822109#128907061_13L42648Q11337895931Q20,2,228822109,15+,+205,3.05,3.05,41/20,Goga Bitadze,Unknown,30561,['SGP'],"[{'id': '33097', 'name': 'Goga Bitadze', 'type': 'Player'}]",Player Points,Goga Bitadze Points
0QA228822109#128907062_13L42648Q1-1088221744Q20,2,228822109,18+,+450,5.5,5.50,9/2,Goga Bitadze,Unknown,55062,['SGP'],"[{'id': '33097', 'name': 'Goga Bitadze', 'type': 'Player'}]",Player Points,Goga Bitadze Points
0QA228822109#128907063_13L42648Q1-1697847620Q20,2,228822109,20+,+750,8.5,8.50,15/2,Goga Bitadze,Unknown,85063,['SGP'],"[{'id': '33097', 'name': 'Goga Bitadze', 'type': 'Player'}]",Player Points,Goga Bitadze Points
0QA228822107#128907029_13L42648Q1-1665381124Q20,2,228822107,6+,-425,1.23529412,1.23,4/17,Jaden McDaniels,Unknown,12329,['SGP'],"[{'id': '527235', 'name': 'Jaden McDaniels', 'type': 'Player'}]",Player Points,Jaden McDaniels Points
0QA228822107#128907031_13L42648Q1258387513Q20,2,228822107,8+,-195,1.51282052,1.51,20/39,Jaden McDaniels,Unknown,15131,['SGP'],"[{'id': '527235', 'name': 'Jaden McDaniels', 'type': 'Player'}]",Player Points,Jaden McDaniels Points
0QA228822107#129249083_13L42648Q1-618540100Q20,2,228822107,9+,-135,1.74074075,1.74,20/27,Jaden McDaniels,Unknown,17483,"['SGP', 'MostBalancedGlobalProbability']","[{'id': '527235', 'name': 'Jaden McDaniels', 'type': 'Player'}]",Player Points,Jaden McDaniels Points
0QA228822107#128907033_13L42648Q1243631508Q20,2,228822107,10+,+100,2,2.00,1/1,Jaden McDaniels,Unknown,True,20033,"['MostBalancedOdds', 'SGP']","[{'id': '527235', 'name': 'Jaden McDaniels', 'type': 'Player'}]",Player Points,Jaden McDaniels Points
0QA228822107#128907035_13L42648Q12000308824Q20,2,228822107,12+,+190,2.9,2.90,19/10,Jaden McDaniels,Unknown,29035,['SGP'],"[{'id': '527235', 'name': 'Jaden McDaniels', 'type': 'Player'}]",Player Points,Jaden McDaniels Points
0QA228822107#128907037_13L42648Q11337895931Q20,2,228822107,15+,+450,5.5,5.50,9/2,Jaden McDaniels,Unknown,55037,['SGP'],"[{'id': '527235', 'name': 'Jaden McDaniels', 'type': 'Player'}]",Player Points,Jaden McDaniels Points
0QA228822107#128907039_13L42648Q1-1088221744Q20,2,228822107,18+,+1100,12,12.00,11/1,Jaden McDaniels,Unknown,120039,['SGP'],"[{'id': '527235', 'name': 'Jaden McDaniels', 'type': 'Player'}]",Player Points,Jaden McDaniels Points
