game_started,game_count,dayofweek,comp,round,venue,result,team,opponent,position,minutes,goals,assists,pens_made,pens_att,shots,shots_on_target,cards_yellow,cards_red,touches,tackles,interceptions,blocks,xg,npxg,xg_assist,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,take_ons,take_ons_won,match_report,Name,games_szn,minutes_szn,gk_saves_szn,clearances_szn,tackles_szn,assisted_shots_szn,fouled_szn,shots_szn,crosses_szn,shots_on_target_szn,passes_szn,interceptions_szn,fouls_szn,goals_szn,assists_szn,cards_yellow_szn,game_count_szn,player_name,name_prev_yr,same_team_prev_yr,same_league_prev_yr,gk_saves_prev_yr,games_prev_yr,minutes_prev_yr,goals_prev_yr,assists_prev_yr,cards_yellow_prev_yr,passes_prev_yr,assisted_shots_prev_yr,tackles_prev_yr,interceptions_prev_yr,clearances_prev_yr,fouls_prev_yr,fouled_prev_yr,team_prev_yr,crosses_prev_yr,shots_prev_yr,shots_on_target_prev_yr,games,gk_saves,clearances,assisted_shots,fouled,crosses,fouls
Y,1,Mon,Premier League,Matchweek 1,Home,W 1-0,Manchester Utd,Wolves,RB,90,0,1,0,0,0,0,0,0,68,2,2,3,0.0,0.0,1.0,3,1,47,51,92.2,3,42,1,4,3,Match Report,Aaron Wan Bissaka,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Aaron Wan Bissaka,Aaron Wan Bissaka,False,False,0.0,1.0,0.0,0.0,0.0,0.10526315789473684,44.21052631578947,0.7894736842105263,2.1052631578947367,1.1578947368421053,2.1578947368421053,0.5789473684210527,0.10526315789473684,0.0,0.0,0.5263157894736842,0.0,,,,,,,
Y,2,Sat,Premier League,Matchweek 2,Away,L 0-2,Manchester Utd,Tottenham,RB,65,0,0,0,0,0,0,1,0,50,0,2,1,0.0,0.0,0.1,1,0,38,44,86.4,1,29,1,2,1,Match Report,Aaron Wan Bissaka,0.0,90.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,51.0,2.0,0.0,0.0,1.0,0.0,1.0,Aaron Wan Bissaka,Aaron Wan Bissaka,False,False,0.0,1.0,0.0,0.0,0.0,0.10526315789473684,44.21052631578947,0.7894736842105263,2.1052631578947367,1.1578947368421053,2.1578947368421053,0.5789473684210527,0.10526315789473684,0.0,0.0,0.5263157894736842,0.0,,,,,,,
Y,3,Sat,Premier League,Matchweek 3,Home,W 3-2,Manchester Utd,Nott'ham Forest,RB,90,0,0,0,0,0,0,1,0,79,4,2,3,0.0,0.0,0.0,3,0,58,69,84.1,9,55,7,2,1,Match Report,Aaron Wan Bissaka,0.0,77.5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,47.5,2.0,0.0,0.0,0.5,0.5,1.5,Aaron Wan Bissaka,Aaron Wan Bissaka,False,False,0.0,1.0,0.0,0.0,0.0,0.10526315789473684,44.21052631578947,0.7894736842105263,2.1052631578947367,1.1578947368421053,2.1578947368421053,0.5789473684210527,0.10526315789473684,0.0,0.0,0.5263157894736842,0.0,,,,,,,
Y,4,Sun,Premier League,Matchweek 4,Away,L 1-3,Manchester Utd,Arsenal,RB,90,0,0,0,0,0,0,0,0,72,5,1,0,0.0,0.0,0.0,0,0,44,54,81.5,2,30,2,0,0,Match Report,Aaron Wan Bissaka,0.0,81.66666666666667,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,54.666666666666664,2.0,0.0,0.0,0.3333333333333333,0.6666666666666666,2.0,Aaron Wan Bissaka,Aaron Wan Bissaka,False,False,0.0,1.0,0.0,0.0,0.0,0.10526315789473684,44.21052631578947,0.7894736842105263,2.1052631578947367,1.1578947368421053,2.1578947368421053,0.5789473684210527,0.10526315789473684,0.0,0.0,0.5263157894736842,0.0,,,,,,,
N,5,Sat,Premier League,Matchweek 5,Home,L 1-3,Manchester Utd,Brighton,CB,6,0,0,0,0,0,0,0,0,11,1,0,0,0.0,0.0,0.0,0,0,10,11,90.9,1,5,0,0,0,Match Report,Aaron Wan Bissaka,0.0,83.75,0.0,0.0,2.75,0.0,0.0,0.0,0.0,0.0,54.5,1.75,0.0,0.0,0.25,0.5,2.5,Aaron Wan Bissaka,Aaron Wan Bissaka,False,False,0.0,1.0,0.0,0.0,0.0,0.10526315789473684,44.21052631578947,0.7894736842105263,2.1052631578947367,1.1578947368421053,2.1578947368421053,0.5789473684210527,0.10526315789473684,0.0,0.0,0.5263157894736842,0.0,,,,,,,
Y,6,Sat,Premier League,Matchweek 11,Away,W 1-0,Manchester Utd,Fulham,RB,90,0,0,0,0,0,0,0,0,57,2,1,2,0.0,0.0,0.0,0,0,39,47,83.0,7,34,0,0,0,Match Report,Aaron Wan Bissaka,0.0,68.2,0.0,0.0,2.4,0.0,0.0,0.0,0.0,0.0,45.8,1.4,0.0,0.0,0.2,0.4,3.0,Aaron Wan Bissaka,Aaron Wan Bissaka,False,False,0.0,1.0,0.0,0.0,0.0,0.10526315789473684,44.21052631578947,0.7894736842105263,2.1052631578947367,1.1578947368421053,2.1578947368421053,0.5789473684210527,0.10526315789473684,0.0,0.0,0.5263157894736842,0.0,,,,,,,
N,7,Sun,Premier League,Matchweek 13,Away,W 3-0,Manchester Utd,Everton,RB,15,0,0,0,0,0,0,0,0,13,1,1,0,0.0,0.0,0.0,0,0,6,7,85.7,0,5,0,1,1,Match Report,Aaron Wan Bissaka,0.0,71.83333333333333,0.0,0.0,2.3333333333333335,0.0,0.0,0.0,0.0,0.0,46.0,1.3333333333333333,0.0,0.0,0.16666666666666666,0.3333333333333333,3.5,Aaron Wan Bissaka,Aaron Wan Bissaka,False,False,0.0,1.0,0.0,0.0,0.0,0.10526315789473684,44.21052631578947,0.7894736842105263,2.1052631578947367,1.1578947368421053,2.1578947368421053,0.5789473684210527,0.10526315789473684,0.0,0.0,0.5263157894736842,0.0,,,,,,,
Y,8,Sat,Premier League,Matchweek 14,Away,L 0-1,Manchester Utd,Newcastle Utd,RB,79,0,0,0,0,1,0,0,0,42,2,0,1,0.0,0.0,0.0,0,0,21,34,61.8,1,19,1,0,0,Match Report,Aaron Wan Bissaka,0.0,63.714285714285715,0.0,0.0,2.142857142857143,0.0,0.0,0.0,0.0,0.0,40.42857142857143,1.2857142857142858,0.0,0.0,0.14285714285714285,0.2857142857142857,4.0,Aaron Wan Bissaka,Aaron Wan Bissaka,False,False,0.0,1.0,0.0,0.0,0.0,0.10526315789473684,44.21052631578947,0.7894736842105263,2.1052631578947367,1.1578947368421053,2.1578947368421053,0.5789473684210527,0.10526315789473684,0.0,0.0,0.5263157894736842,0.0,,,,,,,
Y,9,Sat,Premier League,Matchweek 18,Away,L 0-2,Manchester Utd,West Ham,RB,90,0,0,0,0,0,0,0,0,78,3,1,0,0.0,0.0,0.0,0,0,62,69,89.9,6,38,1,3,1,Match Report,Aaron Wan Bissaka,0.0,65.625,0.0,0.0,2.125,0.0,0.0,0.125,0.0,0.0,39.625,1.125,0.0,0.0,0.125,0.25,4.5,Aaron Wan Bissaka,Aaron Wan Bissaka,False,False,0.0,1.0,0.0,0.0,0.0,0.10526315789473684,44.21052631578947,0.7894736842105263,2.1052631578947367,1.1578947368421053,2.1578947368421053,0.5789473684210527,0.10526315789473684,0.0,0.0,0.5263157894736842,0.0,,,,,,,
Y,10,Tue,Premier League,Matchweek 19,Home,W 3-2,Manchester Utd,Aston Villa,RB,90,0,0,0,0,0,0,0,0,43,2,4,1,0.0,0.0,0.0,0,0,29,36,80.6,0,24,0,0,0,Match Report,Aaron Wan Bissaka,0.0,68.33333333333333,0.0,0.0,2.2222222222222223,0.0,0.0,0.1111111111111111,0.0,0.0,42.888888888888886,1.1111111111111112,0.0,0.0,0.1111111111111111,0.2222222222222222,5.0,Aaron Wan Bissaka,Aaron Wan Bissaka,False,False,0.0,1.0,0.0,0.0,0.0,0.10526315789473684,44.21052631578947,0.7894736842105263,2.1052631578947367,1.1578947368421053,2.1578947368421053,0.5789473684210527,0.10526315789473684,0.0,0.0,0.5263157894736842,0.0,,,,,,,
